Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,307461.375,331315.385,323831.005,330311.637,334968.962,345105.808,340507.922,344777.074,333104.264,328403.635,352253.712,360149.919,352125.029,369721.915,370145.455,375365.752,390093.92,390019.665,401975.526,407417.594,410959.44,432955.923,429031.052,445468.034,455970.664,439348.683,466935.892,486682.223,486464.961,476156.112,488029.03,469661.57,499515.551,510905.697,530062.5140000001,541029.394,560060.261,578962.41,594040.6259999999,592193.0869999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,2680.957,2879.982,2920.31,3030.194,3130.056,3256.393,3308.731,3404.45,3423.64,3479.07,3663.896,3771.609,3800.949,3888.789,3664.412,4500.368,4669.412,4020.957,4284.932,4345.064,4228.043,5029.187,5095.086,5262.297,5186.673,5587.146,5752.838,6041.207,6566.041,6216.043,6516.928,6908.651,7251.295,7270.858,7781.787,8007.901,8266.058,8674.138,8982.086,9056.085
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,8766.77,9549.276,9308.724,9522.651,9677.704,10010.502,9865.974,10009.242,9634.79,9485.364,10270.637,10546.921,10294.109,9851.061,9483.544,11555.923,11539.76,12660.957,13030.871,12951.505,11933.369,11811.96,11566.077,11067.628,12588.134,12935.505,12500.92,11854.491,11634.057,13217.606,13323.311,13184.158,13219.844,14181.789,14087.132,14860.531,13841.08,15072.724,15613.143,15472.148
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2633.208,2878.516,2733.413,2763.45,2768.925,2845.644,2727.116,2724.398,2497.25,2356.024,2635.314,2703.167,2562.235,2482.609,2360.103,2658.683,2854.948,3015.148,2347.82,2476.979,2650.103,2853.824,2936.138,3448.593,3209.62,3687.31,3414.949,3353.161,3265.225,3082.843,3805.176,3660.129,3895.906,3772.298,4662.307,4938.918,5307.818,5167.254,5415.541,5336.115
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,2043.484,2254.081,2257.268,2345.644,2416.325,2516.664,2515.336,2565.169,2508.679,2493.783,2643.94,2691.138,2653.345,2748.899,2989.602,2593.695,3256.107,2857.295,3259.007,3155.848,3467.759,3042.247,2433.371,3010.18,3500.141,3295.505,3859.856,2934.92,3321.391,3543.657,4239.031,3803.433,4014.807,4031.378,4564.131,4905.284,5325.443,5317.245,5895.532,5741.95
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,8371.214,8839.408,8608.527,8682.072,8722.916,8872.959,8743.904,8790.178,8580.073,8527.449,8896.73,9030.595,9012.56,9294.919,9025.205,10151.015,9066.031,9286.026,10022.298,9831.906,10154.457,10082.323,10109.888,11281.167,12051.455,13495.313,12459.641,12894.454,12417.341,13485.376,13637.196,13153.989,13283.091,13260.842,14398.809,13680.923,12717.142,13042.671,13704.378,14029.685
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,3193.85,3463.984,3378.064,3451.418,3505.838,3622.237,3577.614,3632.652,3519.638,3488.647,3758.345,3870.863,3825.094,4011.825,3570.539,3561.504,4143.801,4112.187,4450.559,4542.302,4619.23,4308.423,4669.59,4467.823,4604.776,4458.715,4666.687,4866.399,5061.178,4162.321,4510.975,4795.777,4281.133,4400.007,4477.096,4374.565,4594.434,4816.622,5049.752,5047.55
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,16252.275,16714.118,16314.339,16321.699,16308.119,16456.298,16263.282,16316.979,16043.047,15983.892,16542.051,16790.771,16815.078,17318.342,16347.664,16519.338,16990.808,17176.361,17342.326,20012.543,20972.363,20265.995,20962.529,21940.471,20617.682,18740.146,19719.962,20309.059,19961.21,20026.696,20757.394,20808.961,20576.267,20772.068,19840.699,19706.462,20259.536,19023.042,19292.146,19514.943
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,17930.142,19601.991,18859.938,19196.969,19386.801,20009.509,19454.168,19601.344,18419.908,17765.927,19559.489,20043.032,19186.262,19413.183,18355.16,18758.961,20686.468,25798.172,22753.732,22531.743,19884.613,22085.132,20679.579,21364.726,22263.946,22405.672,24744.761,26362.801,24549.046,25320.964,27231.784,25440.858,25774.944,29128.57,30992.817,32658.72,30116.264,34680.2,35709.455,33798.711
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1052.356,1132.049,1095.906,1113.346,1125.467,1159.664,1140.845,1157.532,1118.636,1111.635,1217.921,1281.032,1320.671,1459.388,1402.817,1551.773,1411.621,1549.128,1430.732,1400.478,1418.524,1527.01,1434.819,1513.951,1364.238,1500.58,1311.591,1293.484,1218.942,1312.468,1295.982,1367.89,1342.476,1195.825,1215.705,1187.927,1222.638,1143.245,1197.56,1235.503
