Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,2928846.957,3252881.231,3217709.022,2908089.424,3038140.124,3146659.421,2941596.813,3044010.776,3102456.029,3226680.418,3429034.357,3530898.205,3666119.537,3683940.187,3888576.356,3465384.444,3875010.979,4180869.464,4430591.775,4498700.051,4696501.735,4593954.783,4524900.909,4604522.23,4781935.701,4884760.028,5086479.816,5133607.878,5079733.56,4699986.664,4913184.23,5053169.757,5196909.908,5185312.409,5318730.110999999,5377312.159000001,5394332.891,5380885.569,5404453.392,5306376.931000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,22042.922,24896.909,24456.869,21405.002,22480.429,23374.687,21165.936,22026.529,22461.974,23675.163,25972.205,27392.819,29338.944,30272.036,33036.124,28857.1,31749.834,33604.492,34358.736,35682.854,39844.119,42482.867,44458.078,43925.787,46551.131,47602.807,53051.356,60930.738,58002.397,55708.956,60666.425,62344.234,66713.275,69596.84,82484.41,83610.493,89510.717,90967.50899999999,94010.889,91912.665
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,118219.868,137083.918,134551.139,114425.782,121383.1,126852.559,110502.731,114624.487,115157.242,120335.294,131575.654,135419.605,142486.58,144047.481,157397.747,129754.242,158973.83,181816.384,189732.057,209640.495,231660.956,201011.124,183440.527,171695.068,185061.624,185575.038,200378.652,199964.956,194805.809,158703.06,165601.271,164846.857,169744.725,170405.104,177990.05,196397.434,203620.02000000002,209214.17200000002,215667.819,221202.21099999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,11478.013,12649.978,12642.388,11810.533,12481.588,13149.854,12936.228,13683.112,14263.714,14912.239,15547.448,15412.172,14421.403,13179.522,13239.711,10822.395,13634.244,14902.151,16970.383,18406.255,19813.539,23062.611,20871.223,21687.383,23371.647,23290.563,24919.818,31602.2,34943.323,37856.568,33633.028,34057.864,32288.743,30272.174,28575.17,38119.975,35997.047999999995,45909.606999999996,63856.835,45540.77200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,503894.78,555342.415,553512.142,513562.206,537613.997,559149.977,540103.247,563202.186,581967.525,609592.777,645803.758,668084.045,689088.616,682396.553,718736.358,663426.44,734912.543,778064.037,806943.526,761405.544,820858.474,885628.371,910226.177,987337.433,995877.706,972612.473,945550.348,878777.888,795328.554,711627.949,681558.808,650719.507,636346.779,640980.907,604173.5049999999,554527.4,519756.63099999994,457544.857,446922.61600000004,435219.867
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,122055.716,138665.953,137264.459,121273.491,127690.802,132634.871,119462.606,122672.634,122654.874,126225.685,134873.293,138350.031,147183.725,148674.761,152042.987,140851.64,179902.649,200737.921,207932.2,211559.815,213823.798,212343.833,227763.089,241604.351,245449.524,246635.079,260161.326,272421.484,267058.753,199970.038,252720.22,274893.522,291311.573,276370.022,291208.03,287540.723,288045.19800000003,307684.22299999994,305578.763,298752.385
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,13862.1,15353.748,15083.196,13502.671,14042.514,14479.741,13507.547,13951.075,14219.564,14746.294,15502.123,15806.381,16130.134,16357.272,17389.738,15700.31,17220.174,18046.396,19539.313,20510.377,22474.599,21402.64,21652.033,19339.098,18046.508,16966.626,18476.503,20895.005,20810.208,20611.687,21972.852,24938.551,25347.492,25359.659,24691.362999999998,25264.255999999998,25391.416,25036.507,24606.865999999995,28668.853
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,55987.394,60532.334,60969.8,58617.412,61146.318,63515.027,63036.278,65611.196,67908.849,70789.272,74196.234,76637.298,80420.947,85144.764,89622.509,87857.056,86163.544,87305.248,93650.612,85545.291,82489.326,80547.551,81168.721,81794.783,68697.106,67797.588,73137.71,69330.669,74678.646,75768.908,84566.691,85043.298,85582.327,76769.782,82870.872,76366.744,70164.538,60263.332,53803.474,47080.23700000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,81500.327,92717.82,91715.425,80871.229,85280.508,88755.052,80124.083,82563.774,82849.574,85406.817,90989.756,92778.709,97229.443,99999.264,107496.538,99946.902,114288.849,121306.034,135400.28,144786.614,160332.962,142816.014,136894.759,139939.229,148417.154,153423.304,167674.674,173214.597,172747.002,151840.34,154263.031,155271.109,176407.669,186862.407,191047.83500000002,200746.41400000002,214336.39099999997,219396.40499999997,221010.70500000005,227786.355
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,252862.689,269131.507,263325.484,240953.565,245363.34,248520.099,233205.133,236342.037,237096.553,241801.446,251044.595,254420.291,259254.347,258875.357,265319.745,222875.3,235040.32,260828.287,264956.93,268998.086,292565.812,291513.199,299108.473,287794.358,297595.987,299594.705,329315.63,319063.923,306961.046,297600.008,283406.687,297198.112,306702.268,290198.067,302019.51599999995,284173.64599999995,298503.44100000005,301768.142,302595.8190000001,294371.7540000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,31777.921,35257.29,34625.611,30919.274,32179.069,33203.808,30894.051,31947.955,32601.926,33899.921,35738.951,36360.198,36664.673,36211.167,39536.113,35703.761,38634.961,41673.272,44588.979,45870.828,44786.228,47680.78,46907.862,50110.117,50705.738,47611.223,48037.634,48728.858,49537.434,49546.625,50604.067,55425.118,56363.727,59411.167,61055.778000000006,59031.053,60583.888999999996,58958.337999999996,60161.590000000004,62117.079
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,77602.269,87024.309,85380.292,75150.117,78550.431,81300.606,74183.112,76785.216,77998.702,81247.085,86800.72,88735.699,91173.173,89800.778,94229.676,88699.146,100278.105,109311.628,121722.389,124586.744,133303.85,129629.931,140206.468,149363.013,153284.384,153069.946,164007.543,163302.611,166996.143,157349.272,169926.764,182392.259,191930.408,206339.715,225432.50499999998,245761.472,254430.837,262856.12799999997,253438.36099999998,244559.423
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,18476.362,20949.781,20573.366,18016.632,18938.926,19713.63,18099.307,18998.627,19726.688,21173.886,23452.637,25188.445,26910.233,26877.12,32088.316,24839.552,26286.791,28356.908,28762.454,26005.38,24201.923,27532.767,28893.954,28001.112,30731.83,31416.524,33701.241,37045.71,39942.722,36614.763,38657.264,38047.191,39336.803,41978.604,45575.628,42404.697,43636.021,41656.905,43692.659999999996,43949.89199999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,43714.396,49186.71,48539.831,43228.146,45340.243,47063.138,43586.177,45268.867,46357.725,48725.38,52704.342,55742.789,60041.926,62166.859,64687.144,49763.057,60330.86,61512.859,70001.641,69711.538,67862.15,66262.885,65251.703,65078.822,74253.757,71022.176,70076.389,74125.087,75881.564,69870.736,70683.702,72819.796,74831.688,75661.767,81101.855,88010.897,90305.581,86820.629,87483.48800000001,85428.095
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,197765.651,220616.189,215974.968,190437.925,198279.048,204471.822,187345.441,193312.342,196157.363,203732.116,216573.976,221780.114,229340.922,228934.464,236986.231,204893.07,222808.608,246231.445,271406.737,280705.564,298815.472,275519.387,265074.978,256279.691,257616.373,270439.665,289305.508,297560.385,287315.605,264119.718,283245.139,289495.552,301333.246,310653.507,336331.99,355392.87599999993,356082.161,362417.7139999999,363683.28300000005,364220.053
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,284630.985,307535.458,304898.268,282403.874,290421.615,296554.941,279998.262,285032.97,286603.338,292601.946,304026.011,307582.713,312591.792,310657.382,316147.943,274938.591,311728.631,342925.366,356603.967,368958.526,384199.5,368030.33,348426.038,333112.582,337044.492,340528.528,348648.686,351911.728,348496.193,322571.924,357699.011,371542.845,377182.262,382416.135,376975.699,377591.89300000004,380010.63099999994,406527.007,416107.08300000004,387652.57200000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,39819.847,44849.001,44291.329,39475.488,41515.39,43236.219,40164.386,41828.039,42811.309,44709.637,47620.121,48909.69,49513.686,45601.101,51263.882,47407.161,53426.33,57803.358,58556.236,64950.099,69064.1,62554.555,60285.836,62920.685,67431.774,67491.648,69989.451,73824.211,73008.125,60790.66,66485.293,66962.787,67719.208,68417.837,73054.11000000002,70765.09199999999,70069.117,68298.232,67998.766,66418.62100000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,33838.544,38055.618,37605.821,33607.769,35351.039,36847.813,34366.847,35869.729,36823.451,38537.703,41034.245,41984.762,43453.322,45849.737,47031.405,36689.656,42014.809,45796.718,51554.238,54224.647,51418.394,54089.241,49685.256,53199.839,52038.303,60804.927,54497.191,55524.17,56967.156,60724.166,62962.832,58397.593,54868.363,55777.993,58884.787000000004,55625.86100000001,57387.67899999999,63920.663,60754.009999999995,61684.310999999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,10068.13,11398.266,11167.31,9698.729,10190.813,10604.083,9544.44,9972.52,10230.227,10938.389,12311.291,13365.683,14822.808,15286.144,17001.982,11661.758,11585.156,11358.944,12743.798,13374.334,12953.922,14169.97,13380.156,12816.746,20621.012,22020.459,21054.208,20576.559,22933.924,20239.989,20077.607,20061.298,20655.25,21059.554,24614.390999999996,24290.908,24749.390000000003,22824.213999999996,21484.637,22130.762
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,162282.845,182387.347,181054.21,162916.644,171436.003,178537.836,165520.04,171423.051,173886.827,180161.618,191477.245,195943.681,202849.207,205684.04,218184.104,190114.002,215790.029,240893.667,258444.854,275533.645,291480.976,287741.086,290069.409,303749.704,322967.946,342797.192,368939.253,392755.054,391188.157,361886.21,392824.53,401705.249,410827.732,407371.037,418977.151,449083.91300000006,442567.559,454895.32399999996,473632.59400000004,481032.65800000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,33383,37020.359,36808.464,33751.933,35376.798,36808.826,35058.149,36524.985,37572.768,39345.485,42107.71,43937.832,46777.119,47279.545,59049.241,43549.832,48303.099,49965.984,48284.51,49948.751,52111.779,51989.044,54935.005,54970.524,56426.537,54197.605,54586.496,54440.609,58286.944,61021.766,59466.75,62519.185,63785.017,68077.11,70159.191,72004.421,66303.985,55455.12,62722.344000000005,54980.142
