Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,4121007.378,4471204.194,4513249.911,4464959.955,4598845.893,4629949.076,4538429.834,4593658.864,4648994.697,4824957.709,5035222.489,5281437.706,5476019.709,5717226.118,5983809.181,5769328.855,5998666.776,6393396.659,6701969.675,6939095.166,7337041.346,7361070.403,7425741.024,7509114.892,7812780.832,8023613.163,8377968.038,8634174.109,8836558.096,8472404.203,8951187.403,9352965.276,9734567.062,9946401.736,10218365.158,10661071.980999995,11028157.161,11369961.377000004,11702770.589,11771273.854999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,26326.145,28959.525,29602.034,29682.622,31019.037,31714.26,31624.945,32573.411,33570.629,35443.199,37634.704,40121.59,42318.61,44660.51,47338.565,46624.407,49644.869,54740.991,59526.925,60179.817,64818.739,67079.184,70391.762,72009.55,74816.343,76438.075,79307.629,83333.172,86381.545,81328.948,85021.859,89681.609,93741.397,95952.793,100216.665,106602.247,113895.694,117063.91299999999,121898.61700000001,121682.823
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,102955.542,111982.738,112697.594,111161.97,114601.743,115458.18,113540.977,115393.533,117729.791,123541.179,128526.493,136509.607,143507.063,142957.433,151939.234,146199.61,154097.218,171189.381,178648.919,192799.383,211491.517,208348.346,208352.064,216751.928,225355.741,234497.623,243139.724,249761.827,251116.699,235825.282,249237.964,262669.647,273059.903,280937.802,286044.75700000004,300201.56299999997,318091.55100000004,329040.317,334764.951,339109.6539999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,25302.91,27435.568,27877.275,27815.869,28785.357,29146.96,28820.391,29247.047,29710.817,31296.154,32351.773,34888.642,38031.107,37646.742,39471.945,39007.038,42849.94,44139.919,44410.999,44922.885,47824.621,48194.25,48244.359,50911.617,54964.742,60419.797,65320.855,71244.065,70766.808,67399.4,73218.196,76989.769,81161.184,80983.172,82789.54100000001,87461.74899999998,92643.80900000001,97299.76900000001,103928.21800000001,108132.901
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,36458.555,38184.32,38485.84,38385.847,39134.351,39425.945,39179.684,39612.643,40059.262,41048.706,42207.034,43513.332,44596.254,45639.889,46938.441,47995.339,47984.1,50504.681,49348.221,49786.372,52970.052,54367.43,54736.608,57163.709,60183.178,62625.797,64870.146,65862.685,68581.099,65585.823,68170.752,71980.916,74425.479,76072.778,77243.63399999999,78171.959,75530.19799999999,75020.47499999999,76647.547,76471.33399999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,88640.876,94322.958,95758.098,96027.786,98960.062,100560.098,100558.871,102728.619,105014.085,109085.082,113786.554,119061.049,123732.866,128740.412,133634.543,133767.32,141641.816,150414.55,160729.983,166964.932,173576.364,174404.209,180000.66,183688,191642.903,198737.515,207867.227,215162.719,218850.681,207872.075,223594.36,235159.601,244957.138,248576.123,253610.314,262706.794,271481.275,280995.158,288855.661,291410.293
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,23413.67,24979.678,25768.434,26312.805,27291.33,27992.46,28360.562,29076.001,29766.586,30739.932,31785.874,32893.338,33839.587,34623.763,36677.017,35126.299,37405.093,39223.707,41637.615,42727.184,43256.425,43231.556,43196.17,43926.009,45142.767,46832.83,49390.595,51764.966,53082.331,51672.892,55508.351,58210.641,60911.664,61662.78,64534.799000000006,66239.24500000001,68590.361,72186.30000000002,75374.41199999998,75847.68400000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,86343.811,90927.252,92181.599,92480.782,94744.131,95922.452,95821.341,97294.118,98781.739,101529.229,104660.013,108124.05,111044.701,113208.742,119211.852,117895.862,118893.524,124321.693,130053.203,135048.647,140954.103,141768.487,144082.184,144387.973,149061.102,153741.825,155556.63,162896.576,163650.034,160902.758,165665.246,173594.325,178575.031,183383.423,191317.594,191738.62499999994,196610.19499999998,198294.461,194568.508,194017.266
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,94920.432,102921.102,103810.024,102696.858,105945.193,106910.112,105136.4,106905.999,108793.926,113587.733,119360.36,126015.752,131589.874,138373.42,144596.829,140711.057,147477.114,154025.236,167510.495,177233.984,193262.797,191194.067,193593.069,199122.708,205981.537,213381.818,227212.104,235072.522,243496.839,223917.875,236301.605,246718.06,256983.607,260299.22,263652.865,277237.78,289752.891,297420.69800000003,307357.50899999996,311202.15699999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1107583.846,1235233.724,1237523.904,1201980.051,1239046.99,1233138.461,1175691.526,1176748.448,1176223.532,1223505.121,1284713.813,1358146.091,1408468.564,1500006.249,1569877.797,1495097.306,1558321.946,1661224.137,1717270.489,1778106.433,1882153.367,1855591.859,1867348.048,1843621.063,1927989.511,1956996.298,2044095.665,2088208.458,2142211.214,2063603.963,2162207.77,2235240.891,2325889.898,2381672.439,2445316.7669999995,2584431.3349999995,2657507.5150000006,2742628.472000001,2822666.187,2838002.042
