Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,51050.024,56736.416,56979.213,54117.818,56629.522,58345.34,56099.612,58004.39,59456.243,62597.432,67270.805,71286.018,75458.503,78821.33499999999,84039.101,79981.875,86064.11499999999,92366.44,98170.593,100207.735,108890.901,114591.23799999998,119944.926,121197.634,126554.147,129628.028,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,190482.862,198220.641,211672.469,216705.56,224891.592,222651.573
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2680.957,2879.982,2920.31,3030.194,3130.056,3256.393,3308.731,3404.45,3423.64,3479.07,3663.896,3771.609,3800.949,3888.789,3664.412,4500.368,4669.412,4020.957,4284.932,4345.064,4228.043,5029.187,5095.086,5262.297,5186.673,5587.146,5752.838,6041.207,6566.041,6216.043,6516.928,6908.651,7251.295,7270.858,7781.787,8007.901,8266.058,8674.138,8982.086,9056.085
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,22042.922,24896.909,24456.869,21405.002,22480.429,23374.687,21165.936,22026.529,22461.974,23675.163,25972.205,27392.819,29338.944,30272.036,33036.124,28857.1,31749.834,33604.492,34358.736,35682.854,39844.119,42482.867,44458.078,43925.787,46551.131,47602.807,53051.356,60930.738,58002.397,55708.956,60666.425,62344.234,66713.275,69596.84,82484.41,83610.493,89510.717,90967.50899999999,94010.889,91912.665
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,26326.145,28959.525,29602.034,29682.622,31019.037,31714.26,31624.945,32573.411,33570.629,35443.199,37634.704,40121.59,42318.61,44660.51,47338.565,46624.407,49644.869,54740.991,59526.925,60179.817,64818.739,67079.184,70391.762,72009.55,74816.343,76438.075,79307.629,83333.172,86381.545,81328.948,85021.859,89681.609,93741.397,95952.793,100216.665,106602.247,113895.694,117063.91299999999,121898.61700000001,121682.823
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.251627305797,5.076073187281,5.125219963989,5.5992538354,5.527251316019,5.581239221504,5.897957012608,5.869297134234,5.758251492614,5.557847804364,5.446487521593,5.290811726922,5.037138094298,4.933675634903,4.360365539846,5.626734807105,5.425503997804,4.35326618629,4.3647816205,4.336056493044,3.882824883596,4.388805887585,4.247854552847,4.341913968387,4.098382489197,4.310137310737,4.165347958661,4.019295630501,4.349812348107,4.33917747481,4.281672036303,4.346854371336,4.32381454859,4.207173557909,4.085295085497,4.039892596251,3.905117202559,4.002729786905,3.99396256664,4.067379753028
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43.179062952057,43.881709059663,42.922440855756,39.552596152343,39.697366684465,40.062645962814,37.729202119972,37.973899906542,37.778999927728,37.821300720451,38.608434966699,38.426636482908,38.880898551619,38.405890993853,39.310420514851,36.079549272882,36.890908597619,36.381711799221,34.999010345186,35.608881889208,36.590861710291,37.073399102294,37.065409503025,36.243106032912,36.783568222383,36.722619123698,38.411885997624,40.538033046473,38.424911250238,38.88825206331,39.858309845526,39.226370834263,39.779905386432,40.271173630678,43.30279854783,42.180517920936,42.287368509884,41.977468875279,41.802758459729,41.280941230988
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,51.569309742146,51.042217753057,51.952339180255,54.848150012257,54.775381999516,54.356114815682,56.37284086742,56.156802959224,56.462748579657,56.620851475185,55.945077511708,56.28255179017,56.081963354084,56.660433371244,56.329213945304,58.293715920013,57.683587404576,59.265022014489,60.636208034314,60.055061617748,59.526313406113,58.537795010121,58.686735944128,59.414979998702,59.11804928842,58.967243565566,57.422766043715,55.442671323026,57.225276401654,56.772570461881,55.860018118171,56.426774794401,55.896280064978,55.521652811413,52.611906366674,53.779589482813,53.807514287557,54.019801337815,54.203278973631,54.651679015984
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,29.539335124329,32.829681059059,32.970171922495,31.314468375165,32.767828439974,33.760660939217,32.461203920547,33.563375305999,34.403468394266,36.221070567379,38.925248164004,41.24859129118,43.662937515899,45.608790105798,48.627972593829,46.280319270705,49.799716747709,53.446463128033,56.804949709349,57.983711549575,63.0080960712,66.306511072232,69.404342798679,70.129203602367,73.228669972937,75.007325375554,79.91634684107,86.971814586501,87.344956681092,82.891760213782,88.071276223836,91.965074905383,97.040556955714,100,110.220067596035,114.697418027819,122.48111770496,125.393440758133,130.130166103972,128.834012513018
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,36.872635939252,39.609933243092,40.164585802666,41.675879242862,43.049334755266,44.786915106855,45.506747621808,46.823222238696,47.087152575391,47.84951102057,50.391521880911,51.872956396618,52.276485113586,53.484595628191,50.398618704973,61.895968811384,64.220921382318,55.30237284238,58.932962244621,59.759989811381,58.150537391873,69.169099437783,70.075443640902,72.375185982177,71.335088651161,76.84300807415,79.121858795757,83.087951930845,90.30627472026,85.492564976513,89.63079735569,95.01837334741,99.730939594749,100,107.027079885207,110.136946698725,113.687518034323,119.300060598075,123.535434194974,124.553182031612
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,31.672302937892,35.773045155498,35.140775069673,30.755709598309,32.300933490659,33.585845276883,30.41220837038,31.648748707556,32.274416482128,34.017583269585,37.318080820911,39.359285565264,42.155569132162,43.496279428779,47.467850551835,41.463233100813,45.619648823136,48.284508319631,49.368241431651,51.270796202816,57.249896690712,61.041373430173,63.879449124414,63.114628480259,66.886845724605,68.39794306753,76.226673509889,87.54813867986,83.340561151914,80.045237686079,87.168361379626,89.579115948368,95.856758726402,100,118.517464298666,120.135473104813,128.613191346044,130.706378335568,135.079249287755,132.064422752527
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,27.436559350597,30.181013073794,30.850622555614,30.934609688746,32.327393534027,33.051940447424,32.958858216873,33.947329704097,34.986609509116,36.938162915174,39.222103727611,41.813884458788,44.103572889223,46.544252234534,49.335265311141,48.590984735588,51.738847247521,57.04991932856,62.037719944223,62.718150372131,67.552738146976,69.908526789835,73.360826505592,75.046851424116,77.972032559803,79.662167832884,82.652757174041,86.848094145629,90.025044919745,84.759333686097,88.608008523525,93.464302805652,97.695329202142,100,104.44371848561,111.098638890063,118.699717266177,122.001569042394,127.040196735076,126.81530072814
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,11.138862540006,0.427938557134,-5.021822607483,4.641177513846,3.029900199405,-3.849027188804,3.395349686197,2.503005375972,5.283194567137,7.465758339735,5.968730417304,5.853160433228,4.456531558809,6.619738171144,-4.827783676553,7.604522899719,7.322825546977,6.283833175772,2.075104099656,8.665165418618,5.234906633751,4.671987224713,1.044402661935,4.419651459533,2.428905786865,6.544722719997,8.828566400141,0.429037954842,-5.098401369148,6.248529403521,4.421190254641,5.51892341256,3.04969709277,10.220067596035,4.062191694705,6.786290233014,2.377773086778,3.777490526777,-0.996043907235
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,7.423655060488,1.400286529569,3.762751214768,3.295564574413,4.036253664471,1.607238438358,2.892921787839,0.563674014892,1.619037048288,5.312511676971,2.939848729331,0.777917329182,2.311001805076,-5.76984248824,22.812827815213,3.756226157505,-13.887294588698,6.564979431513,1.403336155626,-2.693193932241,18.948340875436,1.310331073392,3.281809178491,-1.437091064985,7.721192371295,2.965592808922,5.012638979231,8.687568560389,-5.330426660449,4.84045879348,6.010853580092,4.95963683793,0.269786293345,7.027079885208,2.905682203843,3.223778615645,4.936815105822,3.55018562075,0.823850940639
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,12.947407789221,-1.767448320593,-12.478567882095,5.024185468425,3.977940100698,-9.449328669086,4.06593405555,1.976911568772,5.401079174965,9.702328131806,5.469747370314,7.104507936916,3.180387133225,9.130829522005,-12.649861708958,10.024340630209,5.84147306093,2.24447374476,3.853803003696,11.661805415004,6.622678744635,4.649429615944,-1.19728747608,5.976771685388,2.259184637211,11.445856543712,14.852366827344,-4.806015971774,-3.954045209545,8.898872561891,2.765630247703,7.007931158477,4.322325654077,18.517464298667,1.365207073676,7.056798481023,1.62750567622,3.345568141258,-2.231894647864
