Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,229942.18,258615.93200000003,256557.457,235110.403,245662.54700000002,252321.24099999998,233909.682,240027.262,242521.823,253361.837,270372.784,282476.13300000003,296287.752,296855.975,318820.525,287509.775,324610.80799999996,365666.72199999995,381411.847,415391.38300000003,455085.842,421171.43,403358.668,399514.624,423005.499,433008.166,456019.296,461581.274,457556.565,407745.948,428162.546,440700.662,456024.472,465524.695,478121.939,511459.52799999993,535552.6510000001,553327.213,566045.913,575784.0129999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8766.77,9549.276,9308.724,9522.651,9677.704,10010.502,9865.974,10009.242,9634.79,9485.364,10270.637,10546.921,10294.109,9851.061,9483.544,11555.923,11539.76,12660.957,13030.871,12951.505,11933.369,11811.96,11566.077,11067.628,12588.134,12935.505,12500.92,11854.491,11634.057,13217.606,13323.311,13184.158,13219.844,14181.789,14087.132,14860.531,13841.08,15072.724,15613.143,15472.148
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,118219.868,137083.918,134551.139,114425.782,121383.1,126852.559,110502.731,114624.487,115157.242,120335.294,131575.654,135419.605,142486.58,144047.481,157397.747,129754.242,158973.83,181816.384,189732.057,209640.495,231660.956,201011.124,183440.527,171695.068,185061.624,185575.038,200378.652,199964.956,194805.809,158703.06,165601.271,164846.857,169744.725,170405.104,177990.05,196397.434,203620.02000000002,209214.17200000002,215667.819,221202.21099999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,102955.542,111982.738,112697.594,111161.97,114601.743,115458.18,113540.977,115393.533,117729.791,123541.179,128526.493,136509.607,143507.063,142957.433,151939.234,146199.61,154097.218,171189.381,178648.919,192799.383,211491.517,208348.346,208352.064,216751.928,225355.741,234497.623,243139.724,249761.827,251116.699,235825.282,249237.964,262669.647,273059.903,280937.802,286044.75700000004,300201.56299999997,318091.55100000004,329040.317,334764.951,339109.6539999999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3.812597584314,3.69245464738,3.62831940605,4.05028908908,3.939429969355,3.967363968379,4.217856189467,4.170043817773,3.972751763457,3.743801399735,3.798694842007,3.73373880759,3.474361977676,3.318464787512,2.974571351703,4.019314821557,3.554952489444,3.462430743151,3.416483022878,3.117904109243,2.62222374301,2.804549206958,2.867442283402,2.770268554675,2.975879516876,2.987358210699,2.741313823703,2.568234819682,2.542648907245,3.241627799082,3.111741352547,2.991635624092,2.898933020419,3.046409600247,2.946347124222,2.905514549335,2.584448041505,2.724016394979,2.75828208303,2.687144424067
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,51.412867356481,53.006756753099,52.444836557606,48.668957451449,49.410502936779,50.274229191826,47.241623371537,47.7547783718,47.483249373398,47.495430024057,48.664533483518,47.940193587966,48.09060753885,48.524366403607,49.368762252681,45.130375828091,48.973671264821,49.721884180645,49.744667999261,50.468185807311,50.904891917073,47.726676047328,45.478265760239,42.975915695141,43.749224167887,42.857168194837,43.940827451302,43.3217219293,42.575240724609,38.92204466493,38.677196907363,37.405629538174,37.222722775281,36.604954759704,37.226915454302,38.399408603842,38.020541886926,37.810208333274,38.100764274929,38.417567352639
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,44.774535059205,43.300788599521,43.926844036344,47.280753459472,46.650067093866,45.758406839795,48.540520438996,48.075177810427,48.543998863146,48.760768576208,47.536771674475,48.326067604444,48.435030483474,48.157168808881,47.656666395616,50.850309350352,47.471376245735,46.815685076205,46.838848977861,46.413910083445,46.472884339918,49.468774745713,51.654291956359,54.253815750184,53.274896315237,54.155473594463,53.317858724996,54.110043251018,54.882110368147,57.836327535988,58.21106174009,59.602734837734,59.8783442043,60.348635640049,59.826737421476,58.695076846823,59.395010071568,59.465775271747,59.140953642041,58.895288223294
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,49.394195940561,55.553644044598,55.11146019869,50.504389031392,52.771109597097,54.201472813381,50.24646050195,51.560586275665,52.09644635501,54.425004671342,58.079149592698,60.679086637928,63.645979511356,63.7680402755,68.486275470306,61.76037019905,69.730094125297,78.549371478564,81.93160343513,89.230794297604,97.757615629822,90.472414143357,86.646030239062,85.820285860453,90.866393027764,93.015079683367,97.958132167403,99.152908311341,98.288355035601,87.58846788998,91.974185386664,94.667515329128,97.959244031082,100,102.706031309467,109.867324653958,115.042801542462,118.860979652218,121.593101092091,123.684955746547
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,61.817095149279,67.334777015791,65.638573525526,67.147036244863,68.240360930486,70.587018323288,69.567908533966,70.578133689621,67.937761589881,66.884114550005,72.4213073541,74.369467773072,72.586815386973,69.462752548356,66.871281190265,81.484240105392,81.370269999081,89.276162549027,91.884535864974,91.324902662139,84.145723787034,83.289632922899,81.555838970669,78.041127251294,88.762665979588,91.212081917169,88.147694201345,83.589531616921,82.035186110864,93.201259728233,93.94661703118,92.965407960872,93.217040529936,100,99.332545421456,104.78601113019,97.597559800107,106.28224690129,110.092901537317,109.098703978743
