Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,39414.131,42964.062,43253.076,42389.852,44035.869999999995,45142.458,44483.735,45654.557,46471.781,48564.417,50534.535,53003.981,55014.745,53308.873,55071.759,52488.116,59339.132,62057.218,63729.202000000005,65806.119,70288.263,74110.685,72051.72,76047.593,81546.009,87397.67,93655.622,106199.426,108975.356,108338.811,110656.4,114707.762,117345.833,115027.644,116027.01800000001,130520.64199999998,133948.675,148376.63,173200.594,159009.788
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2633.208,2878.516,2733.413,2763.45,2768.925,2845.644,2727.116,2724.398,2497.25,2356.024,2635.314,2703.167,2562.235,2482.609,2360.103,2658.683,2854.948,3015.148,2347.82,2476.979,2650.103,2853.824,2936.138,3448.593,3209.62,3687.31,3414.949,3353.161,3265.225,3082.843,3805.176,3660.129,3895.906,3772.298,4662.307,4938.918,5307.818,5167.254,5415.541,5336.115
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,11478.013,12649.978,12642.388,11810.533,12481.588,13149.854,12936.228,13683.112,14263.714,14912.239,15547.448,15412.172,14421.403,13179.522,13239.711,10822.395,13634.244,14902.151,16970.383,18406.255,19813.539,23062.611,20871.223,21687.383,23371.647,23290.563,24919.818,31602.2,34943.323,37856.568,33633.028,34057.864,32288.743,30272.174,28575.17,38119.975,35997.047999999995,45909.606999999996,63856.835,45540.77200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,25302.91,27435.568,27877.275,27815.869,28785.357,29146.96,28820.391,29247.047,29710.817,31296.154,32351.773,34888.642,38031.107,37646.742,39471.945,39007.038,42849.94,44139.919,44410.999,44922.885,47824.621,48194.25,48244.359,50911.617,54964.742,60419.797,65320.855,71244.065,70766.808,67399.4,73218.196,76989.769,81161.184,80983.172,82789.54100000001,87461.74899999998,92643.80900000001,97299.76900000001,103928.21800000001,108132.901
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.680872908247,6.699822749534,6.319580600464,6.51913104108,6.287885308045,6.303697508009,6.130591327369,5.967417447507,5.373691186916,4.851337966232,5.21487731113,5.099932022087,4.6573604949,4.657027733451,4.285505026269,5.065304687255,4.811239908262,4.858658021054,3.684056800209,3.764055740774,3.770335027343,3.850759171906,4.075042205793,4.534782580167,3.935962089819,4.219002634738,3.646282974876,3.157419137086,2.996296704,2.845557350634,3.438731063002,3.19082940525,3.320020745858,3.279470802688,4.018294256257,3.784012953292,3.962575964264,3.482525516316,3.126745050309,3.355840585109
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,29.121568099523,29.443161123825,29.228876115077,27.861699068919,28.344138539786,29.129680975724,29.080804478311,29.970966534622,30.693280294121,30.706101135735,30.765986072693,29.077385715613,26.21370507125,24.722942464006,24.040835521524,20.618753014492,22.97681738924,24.013565996465,26.628896122064,27.970430834859,28.188972318181,31.119144290732,28.967001759292,28.518171508729,28.66068773519,26.648951854209,26.607925362986,29.757411306536,32.065344204978,34.942757494357,30.394110055993,29.690984643219,27.515883755327,26.317303343186,24.628031033255,29.206089102749,26.873761909179,30.941265480959,36.868715935235,28.640231883084
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,64.197558992231,63.857016126641,64.451543284459,65.619169890001,65.367976152169,64.566621516267,64.78860419432,64.061616017871,63.933028518963,64.442560898034,64.019136616177,65.8226822623,69.12893443385,70.620029802543,71.673659452207,74.315942298253,72.211942702499,71.127775982481,69.687047077727,68.265513424367,68.040692654476,65.030096537362,66.957956034915,66.947045911105,67.403350174991,69.132045511053,69.745791662139,67.085169556378,64.938359091022,62.211685155009,66.167158881005,67.118185951531,69.164095498815,70.403225854126,71.353674710489,67.009897943959,69.163662126557,65.576209002725,60.004539014456,68.003927531807
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,34.26492070028,37.35107536411,37.602331488246,36.851882317958,38.28285833621,39.244877518312,38.672212568311,39.690073979086,40.400532762368,42.21977892549,43.93251330089,46.079341588532,47.827411817632,46.344401351035,47.876977294258,45.63087113216,51.586844637103,53.949829660077,55.403379382438,57.208960134835,61.105539986545,64.42858640137,62.63861233218,66.112449456063,70.892531711768,75.979709712215,81.420099328471,92.325133600059,94.738405665337,94.185021298011,96.199831755226,99.72190858747,102.015332070959,100,100.868812022265,113.468934476307,116.449116353283,128.992149052449,150.573017039278,138.236151302899
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,69.803817195778,76.306696872835,72.46015558686,73.256407632695,73.401544628765,75.435291697528,72.293228159599,72.221176587852,66.199701084061,62.455935347632,69.859645234814,71.658363151586,67.922391073028,65.811582223886,62.564065723334,70.479134999409,75.681931809205,79.928680077767,62.23845518037,65.662336326558,70.251687432965,75.65213564782,77.834200797498,91.418891084427,85.083946178165,97.747049676351,90.527020929948,88.889080343069,86.557981368386,81.723209566158,100.871564229549,97.026507449836,103.276729463049,100,123.593284517819,130.925976685829,140.705161681288,136.978944929589,143.560795037932,141.455287996866
