Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,542396.819,595780.816,594255.25,554293.6969999999,579164.673,601092.5859999999,581798.267,605379.998,624535.466,653135.2660000001,690654.732,714288.5150000001,736338.215,730785.3409999999,768664.401,714015.4739999999,786152.7499999999,831426.013,859550.754,814347.764,877296.285,943038.0480000001,967396.1560000001,1047511.322,1059561.025,1038533.775,1014280.35,947575.493,867231.044,780757.429,753968.591,726503.856,714787.065,721085.063,685981.2699999999,637604.643,600612.2719999999,537882.577,529465.6950000001,517433.151
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2043.484,2254.081,2257.268,2345.644,2416.325,2516.664,2515.336,2565.169,2508.679,2493.783,2643.94,2691.138,2653.345,2748.899,2989.602,2593.695,3256.107,2857.295,3259.007,3155.848,3467.759,3042.247,2433.371,3010.18,3500.141,3295.505,3859.856,2934.92,3321.391,3543.657,4239.031,3803.433,4014.807,4031.378,4564.131,4905.284,5325.443,5317.245,5895.532,5741.95
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,503894.78,555342.415,553512.142,513562.206,537613.997,559149.977,540103.247,563202.186,581967.525,609592.777,645803.758,668084.045,689088.616,682396.553,718736.358,663426.44,734912.543,778064.037,806943.526,761405.544,820858.474,885628.371,910226.177,987337.433,995877.706,972612.473,945550.348,878777.888,795328.554,711627.949,681558.808,650719.507,636346.779,640980.907,604173.5049999999,554527.4,519756.63099999994,457544.857,446922.61600000004,435219.867
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,36458.555,38184.32,38485.84,38385.847,39134.351,39425.945,39179.684,39612.643,40059.262,41048.706,42207.034,43513.332,44596.254,45639.889,46938.441,47995.339,47984.1,50504.681,49348.221,49786.372,52970.052,54367.43,54736.608,57163.709,60183.178,62625.797,64870.146,65862.685,68581.099,65585.823,68170.752,71980.916,74425.479,76072.778,77243.63399999999,78171.959,75530.19799999999,75020.47499999999,76647.547,76471.33399999999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,0.376750734595,0.378340648014,0.379848221787,0.423177101363,0.417208630403,0.418681590593,0.432338173328,0.423728733766,0.401687195776,0.381817232941,0.382816460599,0.376757842732,0.360343242541,0.376156833721,0.38893462428,0.363254732488,0.414182485528,0.343661968152,0.379152363585,0.387530750315,0.395277976129,0.32260066351,0.251538212645,0.287364913083,0.33033878346,0.317322852596,0.380551195732,0.309729411712,0.382988019511,0.453874259581,0.562229123415,0.52352550762,0.561678742746,0.559071073145,0.665343384667,0.769330031369,0.886669028967,0.98855126144,1.113487059818,1.109698902922
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,92.901499851901,93.212537242891,93.143837096938,92.651640958494,92.825757865242,93.022271447547,92.833423135652,93.032836872817,93.18406346518,93.333312214686,93.506020892651,93.531399563382,93.583166262802,93.378522353256,93.50457196469,92.914854671623,93.482156362107,93.581873171438,93.879683339793,93.498819258746,93.566847145603,93.912262912217,94.090323943772,94.255538079998,93.989650666888,93.652464312006,93.223766782034,92.739617528289,91.708958010964,91.145844095452,90.396180442482,89.568623982637,89.026062467988,88.891164148272,88.074344216424,86.970414360675,86.537797382868,85.064078400145,84.410117637555,84.11132262378
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,6.721749413505,6.409122109095,6.476314681275,6.925181940144,6.757033504355,6.55904696186,6.73423869102,6.543434393417,6.414249339044,6.284870552373,6.111162646751,6.091842593885,6.056490494657,6.245320813024,6.10649341103,6.721890595889,6.103661152365,6.074464860411,5.741164296623,6.113649990939,6.037874878269,5.765136424273,5.658137843583,5.457097006919,5.680010549652,6.030212835399,6.395682022234,6.950653059998,7.908053969526,8.400281644967,9.041590434103,9.907850509743,10.412258789266,10.549764778583,11.260312398909,12.260255607957,12.575533588165,13.947370338415,14.476395302627,14.778978473299
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,75.219533288266,82.622820325984,82.41125499503,76.869391066557,80.318495378402,83.359456025787,80.683721914789,83.954033866875,86.610512135931,90.576729364314,95.779924926832,99.057455444754,102.115305500372,101.345233523441,106.598297543712,99.019590147855,109.023579926797,115.302071234278,119.202407330964,112.933661475664,121.663355686512,130.780416401442,134.158396233483,145.268758950842,146.939810483912,144.02375368577,140.660291281058,131.409668792432,120.267509132969,108.275357383183,104.560284172743,100.751477638083,99.126594305837,100,95.131809712719,88.422944215113,83.292846131248,74.593498686853,73.426246384471,71.7575744597
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,50.689466480196,55.913412237701,55.992467091898,58.184670353413,59.937941815429,62.426892243794,62.393950654094,63.630078846489,62.228821013559,61.859319567652,65.584026107202,66.75479203389,65.817321025218,68.187577547925,74.15831509722,64.337678084268,80.769081936747,70.876385196327,80.841017637145,78.282115941497,86.019197405949,75.464196113587,60.360774901287,74.66876090508,86.822446319844,81.746365634778,95.745325791826,72.801905452677,82.388478579781,87.90187871244,105.150918618894,94.34572992163,99.588949485759,100,113.215158687675,121.67760006628,132.099817977873,131.896463194471,146.241111600053,142.431446517791
