Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,1361498.8909999998,1505497.2799999998,1501945.2940000002,1444046.962,1485535.797,1482818.224,1410037.5040000002,1414248.017,1414438.721,1466418.202,1536976.3290000001,1613847.414,1669043.582,1760340.994,1836600.359,1719524.3790000002,1794773.887,1923601.5520000001,1983658.151,2048504.997,2176137.703,2148632.068,2167891.34,2132929.372,2226949.736,2258091.583,2374722.886,2408565.865,2450391.202,2362516.439,2446910.439,2533806.893,2633934.642,2673066.331,2748551.9879999994,2869792.9079999994,2957233.5940000005,3045539.859000001,3126459.566,3133609.299
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1052.356,1132.049,1095.906,1113.346,1125.467,1159.664,1140.845,1157.532,1118.636,1111.635,1217.921,1281.032,1320.671,1459.388,1402.817,1551.773,1411.621,1549.128,1430.732,1400.478,1418.524,1527.01,1434.819,1513.951,1364.238,1500.58,1311.591,1293.484,1218.942,1312.468,1295.982,1367.89,1342.476,1195.825,1215.705,1187.927,1222.638,1143.245,1197.56,1235.503
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,252862.689,269131.507,263325.484,240953.565,245363.34,248520.099,233205.133,236342.037,237096.553,241801.446,251044.595,254420.291,259254.347,258875.357,265319.745,222875.3,235040.32,260828.287,264956.93,268998.086,292565.812,291513.199,299108.473,287794.358,297595.987,299594.705,329315.63,319063.923,306961.046,297600.008,283406.687,297198.112,306702.268,290198.067,302019.51599999995,284173.64599999995,298503.44100000005,301768.142,302595.8190000001,294371.7540000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,1107583.846,1235233.724,1237523.904,1201980.051,1239046.99,1233138.461,1175691.526,1176748.448,1176223.532,1223505.121,1284713.813,1358146.091,1408468.564,1500006.249,1569877.797,1495097.306,1558321.946,1661224.137,1717270.489,1778106.433,1882153.367,1855591.859,1867348.048,1843621.063,1927989.511,1956996.298,2044095.665,2088208.458,2142211.214,2063603.963,2162207.77,2235240.891,2325889.898,2381672.439,2445316.7669999995,2584431.3349999995,2657507.5150000006,2742628.472000001,2822666.187,2838002.042
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,0.077293930018,0.075194357043,0.072965773413,0.077099016119,0.075761688293,0.078206753952,0.080908840847,0.081847878596,0.079086918605,0.0758061376,0.079241363515,0.079377516665,0.079127412504,0.082903710416,0.07638117858,0.090244315169,0.078651746063,0.080532686116,0.072125935574,0.068365857152,0.065185396956,0.07106893836,0.066185005379,0.070979893656,0.061260385807,0.066453460581,0.055231328579,0.05370349297,0.04974479173,0.055553814498,0.052964014512,0.053985566295,0.050968462869,0.044736076547,0.044230744236,0.041394171569,0.04134397778,0.037538336483,0.038304029677,0.039427474267
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,18.572375686203,17.876585403064,17.532295287447,16.685992307777,16.516824468014,16.759984128709,16.538931222641,16.711498560298,16.762589250411,16.489255634594,16.333666970872,15.76482936323,15.533108290039,14.705977869195,14.446242684199,12.961450429078,13.095817902325,13.559371831906,13.35698541941,13.131434211483,13.444269248066,13.567385656277,13.797207797324,13.492915507565,13.363390389517,13.267606471566,13.867539321807,13.247049941065,12.527022042418,12.596738083481,11.582225588764,11.729311843813,11.644262659726,10.856373582448,10.988313749152,9.902235287007,10.094009536671,9.908527091124,9.678545735589,9.394015842816
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,81.35033038378,82.048220239893,82.39473893914,83.236908676104,83.407413843694,83.161809117339,83.380159936512,83.206653561106,83.158323830983,83.434938227806,83.587091665613,84.155793120105,84.387764297457,85.211118420389,85.477376137222,86.948305255752,86.825530351613,86.360095481977,86.570888645016,86.800199931365,86.490545354978,86.361545405363,86.136607197296,86.436104598779,86.575349224676,86.665940067852,86.077229349614,86.699246565964,87.423233165853,87.347708102022,88.364810396724,88.216702589892,88.304768877405,89.098890341004,88.967455506612,90.056370541424,89.864646485549,90.053934572393,90.283150234734,90.566556682917
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,50.933973287923,56.320984726061,56.188104147723,54.022114799515,55.574221251901,55.472556247614,52.749813487513,52.907329705916,52.914463984545,54.859027813627,57.498622880227,60.374387095597,62.439287893601,65.854744178438,68.707623813919,64.327785624262,67.142886287022,71.962357600022,74.209088191908,76.635022978784,81.409790612487,80.380798750931,81.101292356969,79.793357436142,83.31067995484,84.47570330794,88.838906033118,90.104979329075,91.669674395371,88.382260163225,91.539458285145,94.790273762196,98.536074898472,100,102.823935048846,107.359584560941,110.630759876942,113.934316693917,116.961540749735,117.229013835497
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,88.002508728284,94.666778165702,91.64434595363,93.102753329292,94.116363180231,96.976062550959,95.402337298518,96.797775594255,93.545125750005,92.959672192838,101.84776200531,107.125373695984,110.440156377396,122.040265088955,117.309556164154,129.765893838981,118.04578429118,129.544707628625,119.64392783225,117.113958982293,118.623042669287,127.69510588924,119.985700248782,126.603056467292,114.083415215437,125.484916271194,109.68084795016,108.166663182322,101.933142391236,109.754186440324,108.375556624088,114.388811071854,112.263583718353,100,101.662450609412,99.339535467146,102.242217715803,95.603035561223,100.145088119081,103.318044028181
