Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,194350.901,215240.913,214385.387,202765.05599999998,210612.502,215674.67299999998,204714.651,209071.117,210063.408,216760.47699999998,229909.60499999998,238837.49300000002,248005.57900000003,257785.86700000003,270448.527,259416.91999999998,282452.431,301129.44200000004,325664.507,344552.341,373480.372,356095.213,351167.407,360426.663,376662.637,389210.794,419631.539,434649.92,440792.887,401079.179,417796.42,427430.027,459166.22,476290.197,485693.517,510642.91400000005,534205.546,551497.3030000001,564077.669,572787.223
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,17930.142,19601.991,18859.938,19196.969,19386.801,20009.509,19454.168,19601.344,18419.908,17765.927,19559.489,20043.032,19186.262,19413.183,18355.16,18758.961,20686.468,25798.172,22753.732,22531.743,19884.613,22085.132,20679.579,21364.726,22263.946,22405.672,24744.761,26362.801,24549.046,25320.964,27231.784,25440.858,25774.944,29128.57,30992.817,32658.72,30116.264,34680.2,35709.455,33798.711
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,81500.327,92717.82,91715.425,80871.229,85280.508,88755.052,80124.083,82563.774,82849.574,85406.817,90989.756,92778.709,97229.443,99999.264,107496.538,99946.902,114288.849,121306.034,135400.28,144786.614,160332.962,142816.014,136894.759,139939.229,148417.154,153423.304,167674.674,173214.597,172747.002,151840.34,154263.031,155271.109,176407.669,186862.407,191047.83500000002,200746.41400000002,214336.39099999997,219396.40499999997,221010.70500000005,227786.355
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,94920.432,102921.102,103810.024,102696.858,105945.193,106910.112,105136.4,106905.999,108793.926,113587.733,119360.36,126015.752,131589.874,138373.42,144596.829,140711.057,147477.114,154025.236,167510.495,177233.984,193262.797,191194.067,193593.069,199122.708,205981.537,213381.818,227212.104,235072.522,243496.839,223917.875,236301.605,246718.06,256983.607,260299.22,263652.865,277237.78,289752.891,297420.69800000003,307357.50899999996,311202.15699999995
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,9.225654168694,9.107000489261,8.797212470456,9.46759238436,9.204962106191,9.277635023933,9.503065806462,9.375443285167,8.76873710437,8.196109939359,8.507469272543,8.39191190137,7.736221933943,7.530739844632,6.786932879098,7.231201804416,7.323876776971,8.567137051979,6.986862710219,6.539425311872,5.324138693961,6.20203001718,5.888809322216,5.927620843078,5.910845359477,5.756693376803,5.896782939378,6.065295261069,5.569292682348,6.313208295462,6.517955323791,5.952052123844,5.613423391642,6.115718984659,6.381146940448,6.395608184235,5.637579809027,6.288371640505,6.330591860391,5.900744577188
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,41.934627820429,43.076299346491,42.780632711688,39.88420420923,40.491664640117,41.15228309631,39.139398479105,39.490760457362,39.440269387613,39.401471237766,39.576317831523,38.845956652208,39.20453862048,38.791600627198,39.747503597977,38.527518559699,40.46304313805,40.283684383143,41.576615532131,42.021660215625,42.929421201283,40.106131390202,38.98276328361,38.825992459942,39.403205792349,39.419077365054,39.957595751639,39.851519356083,39.19006115904,37.857946248564,36.923014084228,36.326673184334,38.419130440388,39.232889565434,39.335059726564,39.312484026754,40.122457096318,39.781954291806,39.180899572183,39.76805798966
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,48.839718010878,47.816700164248,48.422154817856,50.648203406409,50.303373253692,49.570081879758,51.357535714432,51.133796257472,51.790993508017,52.402418822874,51.916212895934,52.762131446422,53.059239445577,53.67765952817,53.465563522925,54.241279635885,52.213080084979,51.149178564878,51.43652175765,51.438914472504,51.746440104756,53.691838592618,55.128427394174,55.24638669698,54.685948848173,54.824229258143,54.145621308984,54.083185382848,55.240646158612,55.828845455974,56.559030591981,57.721274691822,55.967446167969,54.651391449906,54.283793332988,54.291907789011,54.239963094655,53.92967406769,54.488508567426,54.331197433152
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,40.805144053805,45.19112808866,45.011505244144,42.571746653018,44.219365279105,45.282198617243,42.981075883869,43.895742200212,44.104079681489,45.510169716972,48.270908460457,50.145372402027,52.070267362652,54.123697826181,56.78229967853,54.466147242581,59.302591734845,63.223942860197,68.375227760566,72.340842446522,78.414457058414,74.76433805334,73.729715457486,75.673752109578,79.082592791638,81.717154048417,88.104172969153,91.25737265594,92.547125633997,84.208993073187,87.718878665059,89.74151256781,96.404717731362,100,101.974283757933,107.21256016109,112.159676887072,115.790185578814,118.431509309439,120.260132710647
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,61.555174181225,67.294724732453,64.747215534439,65.904261692215,66.555965500538,68.693756679439,66.787240156314,67.292503545488,63.236568084187,60.991414957892,67.148813003865,68.808843001905,65.867503966038,66.646536373052,63.014284600995,64.400555880361,71.017794557028,88.566558536859,78.114826783464,77.352726206608,68.264981768758,75.819485817532,70.994144237084,73.346291973825,76.43336421939,76.919917455611,84.950140017172,90.504961280283,84.278239542827,86.928276945968,93.488228224043,87.339879712598,88.486815521668,100,106.400063580189,112.119201182894,103.390808405631,119.059054392303,122.592544021214,116.032853655363
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43.615154224145,49.618230594664,49.081795783568,43.278490467053,45.638129878098,47.497542938104,42.878652954524,44.184261203485,44.337207965003,45.705724533453,48.693451754584,49.65081553295,52.032639716559,53.51491806482,57.52710763273,53.486896377183,61.162034052146,64.917302494129,72.45988220627,77.483008125867,85.802684752958,76.428435388826,73.25965730496,74.888914922304,79.425902931883,82.104959720443,89.731624831312,92.696331905861,92.446096983006,81.257831597984,82.554342243916,83.09381833019,94.40511434705,100,102.23984485012,107.430069655477,114.702788239263,117.410670515445,118.274568196052,121.900578429347
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,36.465891830179,39.539535308634,39.881035371524,39.453386760053,40.701310207537,41.072006285689,40.390593563822,41.07042618107,41.795717251861,43.637369716283,45.855058651348,48.411882294538,50.553310916568,53.159367899758,55.550235225446,54.057425527437,56.656763704478,59.172377082037,64.353052998007,68.088557468593,74.246398817484,73.451648068711,74.373280488509,76.497619931401,79.132598630146,81.975588709025,87.288814772476,90.308577182828,93.544974510488,86.023260077383,90.780758006113,94.782481484194,98.726230143909,100,101.288380733527,106.507341819926,111.315312815766,114.26107923028,118.078536309098,119.55554726595
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,10.748605688224,-0.397473690329,-5.420299938633,3.870216177683,2.403547250011,-5.08173808614,2.128067521655,0.474618882913,3.188117846779,6.066201819624,3.883216623333,3.838629305994,3.943575801575,4.912084648923,-4.079004283133,8.879725732616,6.612444769505,8.147680557918,5.79978278075,8.395830635207,-4.654905666636,-1.383845056069,2.636707113311,4.504653974504,3.331404755179,7.816007538578,3.578944765636,1.413313730738,-9.009607271635,4.168065029374,2.305813678346,7.424886179089,3.729363410052,1.974283757933,5.136860206433,4.614307053715,3.236910797628,2.281129197109,1.544034532592
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,9.324237365214,-3.785600146434,1.787020720853,0.988864440006,3.212020384384,-2.775385442991,0.756526827567,-6.027321391839,-3.550403183338,10.095515984052,2.472165811694,-4.274652657342,1.182726473765,-5.45002331663,2.199931790298,10.275126644807,24.71037588437,-11.800991171002,-0.975615780304,-11.748447512472,11.066441172378,-6.364249939733,3.31315739068,4.208900221796,0.636571791901,10.439718121376,6.538919490877,-6.879978345245,3.144391028474,7.546395153044,-6.576601812059,1.313186842991,13.01118636766,6.400063580189,5.375126113899,-7.784922372953,15.154389667988,2.967846206193,-5.350806950148
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,13.763739868185,-1.081124426782,-11.823742843693,5.452222075171,4.074253403838,-9.724481937096,3.04489100986,0.346156657035,3.086609715096,6.536877495388,1.96610374469,4.797150173754,2.848747163963,7.497329180343,-7.023143387185,14.349566332731,6.139868466083,11.618750968315,6.932285516692,10.737420794992,-10.925356696148,-4.146072162468,2.223949274786,6.058290488366,3.373026543819,9.288921323191,3.303971236586,-0.269951267444,-12.102474577243,1.595551616916,0.65347996436,13.612680514828,5.926464568839,2.23984485012,5.076518663506,6.769723418322,2.360781562287,0.735791454742,3.065756475461
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,8.428817517392,0.863692656536,-1.072310704793,3.16303250485,0.910771855406,-1.659068507944,1.683145894286,1.765969185696,4.40631860275,5.082086636943,5.575881305988,4.423353359824,5.155066870875,4.497546566385,-2.687314809649,4.80847571204,4.440093667686,8.755226968131,5.804704355987,9.043871067075,-1.070423295178,1.254747094218,2.856320749789,3.444523765717,3.592691416804,6.481473505864,3.459506717125,3.583709796588,-8.040746680905,5.530478529238,4.40811859911,4.16084132633,1.290204086831,1.288380733527,5.152576286247,4.514215558933,2.646326313962,3.340995117966,1.250871668146
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,10.748605688224,-0.397473690329,-5.420299938633,3.870216177683,2.403547250011,-5.08173808614,2.128067521655,0.474618882913,3.188117846779,6.066201819624,3.883216623333,3.838629305994,3.943575801575,4.912084648923,-4.079004283133,8.879725732616,6.612444769505,8.147680557918,5.79978278075,8.395830635207,-4.654905666636,-1.383845056069,2.636707113311,4.504653974504,3.331404755179,7.816007538578,3.578944765636,1.413313730738,-9.009607271635,4.168065029374,2.305813678346,7.424886179089,3.729363410052,1.974283757933,5.136860206433,4.614307053715,3.236910797628,2.281129197109,1.544034532592
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.860221893183,-0.344754623857,0.157208009705,0.093621654414,0.295665259226,-0.257490131908,0.071893242267,-0.565088098707,-0.311325521292,0.827439588998,0.210318746796,-0.358725085094,0.091498344882,-0.410427077447,0.149307893993,0.743015143345,1.809757480898,-1.011007087112,-0.068164935149,-0.768280950383,0.589192676503,-0.394712691631,0.195105521282,0.249487646812,0.037626774221,0.60098256165,0.385585888958,-0.417291000537,0.175120339453,0.47641964481,-0.428659967934,0.078161565378,0.730372979092,0.391409903404,0.342994695562,-0.497893132421,0.854340812104,0.186629199164,-0.338737749251
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,5.771773087895,-0.465708394389,-5.058271998735,2.174575386402,1.649733024871,-4.001846336403,1.191752025604,0.136699896237,1.217367186578,2.575625906193,0.778111466896,1.863498877038,1.116838182096,2.908333993345,-2.791524170512,5.528531832079,2.484377626051,4.680460969339,2.882209696865,4.512042482393,-4.690192393832,-1.662829149012,0.866956881337,2.352191408214,1.329080590491,3.661607082768,1.320187470466,-0.107579681598,-4.742967188579,0.6040430735,0.241284499278,4.945033962249,2.276896153206,0.878755856485,1.99685164832,2.661346437483,0.947203569466,0.292712220208,1.201190965778
