Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,158583.47999999998,168173.704,169465.738,167419.893,172198.568,175893.777,175120.901,179222.293,182733.635,188302.39299999998,195398.298,201552.119,208280.726,215671.848,225182.02500000002,222272.256,222047.876,228803.30200000003,241046.141,240606.481,244415.79200000002,242582.033,246213.434,248123.227,238375.89,240279.559,248414.302,252536.304,258289.89,256698.362,270989.331,279446.584,284733.625,280925.273,294029.16500000004,287811.83099999995,287034.269,277580.835,267664.128,260612.446
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,16252.275,16714.118,16314.339,16321.699,16308.119,16456.298,16263.282,16316.979,16043.047,15983.892,16542.051,16790.771,16815.078,17318.342,16347.664,16519.338,16990.808,17176.361,17342.326,20012.543,20972.363,20265.995,20962.529,21940.471,20617.682,18740.146,19719.962,20309.059,19961.21,20026.696,20757.394,20808.961,20576.267,20772.068,19840.699,19706.462,20259.536,19023.042,19292.146,19514.943
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,55987.394,60532.334,60969.8,58617.412,61146.318,63515.027,63036.278,65611.196,67908.849,70789.272,74196.234,76637.298,80420.947,85144.764,89622.509,87857.056,86163.544,87305.248,93650.612,85545.291,82489.326,80547.551,81168.721,81794.783,68697.106,67797.588,73137.71,69330.669,74678.646,75768.908,84566.691,85043.298,85582.327,76769.782,82870.872,76366.744,70164.538,60263.332,53803.474,47080.23700000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,86343.811,90927.252,92181.599,92480.782,94744.131,95922.452,95821.341,97294.118,98781.739,101529.229,104660.013,108124.05,111044.701,113208.742,119211.852,117895.862,118893.524,124321.693,130053.203,135048.647,140954.103,141768.487,144082.184,144387.973,149061.102,153741.825,155556.63,162896.576,163650.034,160902.758,165665.246,173594.325,178575.031,183383.423,191317.594,191738.62499999994,196610.19499999998,198294.461,194568.508,194017.266
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10.248403553762,9.938603718926,9.626924706161,9.748960358014,9.470531137053,9.355815925199,9.286888033999,9.104324426873,8.779471277962,8.488416820067,8.465811201692,8.330734047008,8.07327606492,8.02995020472,7.259755302405,7.43202876386,7.651866933418,7.507042446442,7.194608438058,8.317541122261,8.580608817617,8.354285249147,8.513966382517,8.84257038943,8.64923126244,7.79930930371,7.938336014164,8.042035413649,7.728219637246,7.801645419148,7.65985654247,7.446489666161,7.226497046143,7.394161364756,6.747867681766,6.846995111886,7.05822899495,6.853153965042,7.207594885483,7.488108607062
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,35.304682429721,35.993935175502,35.977655849231,35.012214468444,35.509190761679,36.109877269848,35.995862081591,36.608836379523,37.162752768531,37.593400100869,37.971791340782,38.023563523041,38.611804627568,39.478849367489,39.800027999571,39.526775667405,38.804038819088,38.157337432132,38.851736688869,35.554026077959,33.749589306406,33.204252600192,32.966812444523,32.965387395997,28.818814688012,28.216128031099,29.441827387217,27.453743442765,28.912725155445,29.516708797698,31.206649607914,30.432756336717,30.056979396094,27.327474377857,28.184575499509,26.533566648273,24.444655421963,21.710191915807,20.101114931621,18.065229701271
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,54.446914016517,54.067461105572,54.395419444608,55.238825173541,55.020278101267,54.534306804953,54.71724988441,54.286839193604,54.057775953507,53.918183079065,53.562397457525,53.645702429951,53.314919307512,52.491200427791,52.940216698025,53.041195568735,53.544094247495,54.335620121426,53.953654873073,56.12843279978,57.669801875977,58.441462150661,58.51922117296,58.192042214573,62.531954049548,63.984562665191,62.619836598619,64.504221143587,63.35905520731,62.681645783155,61.133493849616,62.120753997122,62.716523557764,65.278364257387,65.067556818726,66.619438239841,68.497115583087,71.436654119151,72.691290182897,74.446661691668
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,56.450414128458,59.864213071353,60.324133955723,59.595881570969,61.296930020248,62.612300816381,62.337182813737,63.797141170706,65.047061465346,67.02935303368,69.555257849656,71.745812275138,74.140971289543,76.77196348226,80.157268370796,79.12148794103,79.041616166731,81.446321848017,85.804362998697,85.647858745696,87.003846037021,86.35108917381,87.643746456375,88.323568880184,84.853842964851,85.531485449513,88.427181843479,89.894476671026,91.942560824707,91.376030094665,96.463137013664,99.473636179398,101.355645919404,100,104.664547215729,102.45138428681,102.174598224917,98.80949194628,95.279475976517,92.769313069245
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,78.241006143442,80.464390931129,78.539791993749,78.575224190485,78.50984793618,79.223204930775,78.293995571361,78.552501368665,77.233749668064,76.948968200951,79.63603335017,80.83341052032,80.950428238537,83.373220230167,78.700223781282,79.526689398475,81.796420077192,82.689701381682,83.488682975619,96.343527279037,100.964251609421,97.563685040892,100.916909187857,105.624875674391,99.25676153188,90.218008144399,94.93499636146,97.771001905058,96.096402149271,96.411662045397,99.929357057757,100.177608700299,99.05738321288,100,95.516243255125,94.870005239729,97.532590399762,91.579913949829,92.875422899636,93.94800267359
