Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,219067.80599999998,241828.31900000002,241631.084,225983.349,235373.78,242067.928,228765.381,234191.431,236249.032,243838.216,257556.57700000002,266441.675,279929.151,286710.092,294702.735,284769.97500000003,330610.496,360438.497,378684.481,388356.653,397554.619,396830.365,417873.637,436573.518,449143.882,458867.907,480488.194,500478.657,498326.775,421327.489,489951.776,523207.112,549551.802,538206.987,559217.153,563928.44,572243.615,601722.0519999999,608138.802,604192.363
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8371.214,8839.408,8608.527,8682.072,8722.916,8872.959,8743.904,8790.178,8580.073,8527.449,8896.73,9030.595,9012.56,9294.919,9025.205,10151.015,9066.031,9286.026,10022.298,9831.906,10154.457,10082.323,10109.888,11281.167,12051.455,13495.313,12459.641,12894.454,12417.341,13485.376,13637.196,13153.989,13283.091,13260.842,14398.809,13680.923,12717.142,13042.671,13704.378,14029.685
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,122055.716,138665.953,137264.459,121273.491,127690.802,132634.871,119462.606,122672.634,122654.874,126225.685,134873.293,138350.031,147183.725,148674.761,152042.987,140851.64,179902.649,200737.921,207932.2,211559.815,213823.798,212343.833,227763.089,241604.351,245449.524,246635.079,260161.326,272421.484,267058.753,199970.038,252720.22,274893.522,291311.573,276370.022,291208.03,287540.723,288045.19800000003,307684.22299999994,305578.763,298752.385
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,88640.876,94322.958,95758.098,96027.786,98960.062,100560.098,100558.871,102728.619,105014.085,109085.082,113786.554,119061.049,123732.866,128740.412,133634.543,133767.32,141641.816,150414.55,160729.983,166964.932,173576.364,174404.209,180000.66,183688,191642.903,198737.515,207867.227,215162.719,218850.681,207872.075,223594.36,235159.601,244957.138,248576.123,253610.314,262706.794,271481.275,280995.158,288855.661,291410.293
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3.821289012225,3.655241055536,3.562673666605,3.841907838971,3.70598458333,3.665483103569,3.82221469078,3.753415725958,3.631791811955,3.497174946523,3.454281813972,3.389332768607,3.219586087338,3.241922506167,3.062477516539,3.564636686153,2.742209067676,2.576313595049,2.646609117314,2.531669259185,2.554229410173,2.540713586774,2.419364876086,2.584024576589,2.683205868537,2.94100171185,2.593121153774,2.576424352897,2.491806907225,3.200687434852,2.783375154048,2.514107453493,2.417077143894,2.463892576705,2.574815332962,2.426003377308,2.222330082268,2.167557422343,2.253495082854,2.322055997255
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,55.715953078016,57.340659511428,56.80745073345,53.664790585965,54.250223623039,54.792418019127,52.220578777171,52.381350366316,51.91761970902,51.766161625789,52.366472085859,51.925071781657,52.578920228283,51.855433466918,51.591983698421,49.461548746493,54.415286621753,55.692697275896,54.909089342903,54.475651019683,53.784760075948,53.509975981803,54.505254419771,55.341045903751,54.648306219164,53.7486006839,54.145206739461,54.432188104277,53.59109050482,47.461901542342,51.580631478311,52.540096587984,53.008937818022,51.350136411366,52.074230634338,50.988867133568,50.33611392938,51.133944979633,50.248193668129,49.446567566098
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,40.462757909759,39.004099433036,39.629875599946,42.493301575064,42.043791793631,41.542098877304,43.95720653205,43.865233907726,44.450588479025,44.736663427689,44.179246100169,44.685595449736,44.201493684379,44.902644026915,45.345538785041,46.973814567354,42.842504310571,41.730989129055,42.444301539782,42.992679721133,43.661010513879,43.949310431423,43.075380704143,42.07492951966,42.668487912299,43.31039760425,43.261672106766,42.991387542826,43.917102587956,49.337411022807,45.635993367641,44.945795958523,44.573985038084,46.18597101193,45.350954032699,46.585129489125,47.441555988353,46.698497598024,47.498311249017,48.231376436647
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,40.703263110927,44.932214713147,44.89556803171,41.98818567177,43.732947673531,44.976734573682,42.505093119499,43.513264720958,43.895571351994,45.305657839778,47.854558417318,49.505428475606,52.011430130319,53.271343354002,54.756393379932,52.910865499411,61.428131552666,66.970237419084,70.360379955454,72.157490032733,73.866491629177,73.73192369946,77.641808280724,81.116285842644,83.451886142088,85.258630616774,89.275725809186,92.989996244698,92.590172003843,78.28354130973,91.034079421938,97.212991402507,102.107890695221,100,103.903733416229,104.779100535906,106.324077691693,111.801233825305,112.993479588551,112.260222849913
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,63.127318763017,66.657969380828,64.916895925613,65.471498717804,65.779503292476,66.910977447737,65.937773785405,66.286725986178,64.702324332045,64.305486785832,67.090234541668,68.099710410546,67.963708488496,70.092977504747,68.059064424416,76.548796826024,68.366933261101,70.025915398132,75.578142021449,74.142396086161,76.574752945552,76.030790503348,76.238658148555,85.071272246513,90.880013501405,101.768145642637,93.958143834306,97.237068355086,93.639159564679,101.693210732772,102.838085243758,99.194221603726,100.167779693024,100,108.581408329878,103.167830519359,95.899958690406,98.354772645659,103.344704657517,105.797844510929
