Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,40469.619999999995,43797.41,44229.694,43266.894,44839.682,46094.437999999995,45445.723,46659.728,47505.788,48974.873,51046.342000000004,52570.582,53794.815,54992.86,57637.294,54388.113,58769.068,61382.29,65627.487,67779.863,70350.254,68942.61899999999,69517.793,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.178,87944.969,90540.289,91422.446,93703.258,95878.066,98576.21100000001,102039.42900000002,105031.02999999997,109564.087
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3193.85,3463.984,3378.064,3451.418,3505.838,3622.237,3577.614,3632.652,3519.638,3488.647,3758.345,3870.863,3825.094,4011.825,3570.539,3561.504,4143.801,4112.187,4450.559,4542.302,4619.23,4308.423,4669.59,4467.823,4604.776,4458.715,4666.687,4866.399,5061.178,4162.321,4510.975,4795.777,4281.133,4400.007,4477.096,4374.565,4594.434,4816.622,5049.752,5047.55
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,13862.1,15353.748,15083.196,13502.671,14042.514,14479.741,13507.547,13951.075,14219.564,14746.294,15502.123,15806.381,16130.134,16357.272,17389.738,15700.31,17220.174,18046.396,19539.313,20510.377,22474.599,21402.64,21652.033,19339.098,18046.508,16966.626,18476.503,20895.005,20810.208,20611.687,21972.852,24938.551,25347.492,25359.659,24691.362999999998,25264.255999999998,25391.416,25036.507,24606.865999999995,28668.853
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,23413.67,24979.678,25768.434,26312.805,27291.33,27992.46,28360.562,29076.001,29766.586,30739.932,31785.874,32893.338,33839.587,34623.763,36677.017,35126.299,37405.093,39223.707,41637.615,42727.184,43256.425,43231.556,43196.17,43926.009,45142.767,46832.83,49390.595,51764.966,53082.331,51672.892,55508.351,58210.641,60911.664,61662.78,64534.799000000006,66239.24500000001,68590.361,72186.30000000002,75374.41199999998,75847.68400000001
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,7.891969334034,7.909106954041,7.637547752422,7.977041291663,7.818605850059,7.858295180863,7.872278762074,7.785411865238,7.408861421265,7.123340575074,7.362613759866,7.363173190664,7.110525428891,7.295174318993,6.194841485792,6.548313231606,7.050989816616,6.699305288219,6.781547189214,6.701550872123,6.566045944909,6.249288266812,6.717114854322,6.596234652775,6.79230099408,6.53213371334,6.433811499014,6.277088686082,6.410309979453,5.444721761118,5.501713834215,5.453156734867,4.728428688802,4.812830100827,4.777951263978,4.562633751916,4.66079387044,4.720353736985,4.807866779941,4.606938403092
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,34.253101462282,35.056292141476,34.101967786619,31.207858368572,31.317157869228,31.413206513116,29.722372334136,29.899606358614,29.932276883819,30.109917793968,30.368724560126,30.066969774084,29.98455148512,29.744355903657,30.170982697418,28.867171766007,29.301424347924,29.400004463828,29.773062924076,30.260280992306,31.94672047666,31.044135413539,31.146030484598,28.551987932605,26.619604130162,24.856549408568,25.472961324161,26.952126095934,26.357477254681,26.962096566375,26.79871731179,28.356995611654,27.99581521106,27.738985456591,26.35059177985,26.350402186878,25.75815781761,24.53611044805,23.428186889151,26.166286586224
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,57.854929203684,57.034600904483,58.26048446096,60.815100339766,60.864236280712,60.728498306021,62.40534890379,62.314981776148,62.658861694916,62.766741630958,62.268661680008,62.569857035252,62.904923085989,62.960469777349,63.63417581679,64.584515002387,63.64758583546,63.900690247953,63.44538988671,63.038168135572,61.487233578432,62.706576319649,62.136854661079,64.851777414619,66.588094875758,68.611316878092,68.093227176825,66.770785217985,67.232212765866,67.593181672507,67.699568853995,66.18984765348,67.275756100138,67.448184442582,68.871456956171,69.086964061207,69.58104831195,70.743535814964,71.763946330908,69.226775010684
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,44.266612599711,47.906626781786,48.379469085743,47.326336029119,49.046688162336,50.419169489296,49.709589918432,51.037496852797,51.962936979393,53.56985635672,55.835677378398,57.502926578884,58.842021137785,60.152470652557,63.045014131431,59.490984303789,64.282974883433,67.141377950006,71.784873268431,74.139192250446,76.950745771996,75.411041835394,76.040180548221,74.087855842317,74.154711415181,74.662376677168,79.339142818384,84.800148532451,86.361413913603,83.61939911343,89.684953299106,96.196254692201,99.035076134366,100,102.494805269157,104.87366089505,107.824954716263,111.613103197873,114.885386024347,119.843749312942
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,72.58738452007,78.726783843753,76.774059677632,78.441193389011,79.678009603167,82.323437212714,81.309279735237,82.560141381593,79.991645467837,79.287305679286,85.416795927825,87.974019132242,86.933816241656,91.177695853666,81.148484536502,80.943143954089,94.177145627268,93.458646770335,101.148907263102,103.233972127772,104.982332982652,97.918548765945,106.126876616333,101.541270275252,104.653833505265,101.334270604569,106.060899448569,110.599801318498,115.026589730425,94.59805404855,102.521995987734,108.99475841743,97.298322479942,100,101.752019939968,99.421773647178,104.418788424655,109.468507663738,114.766908325373,114.716862950445
