Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,90959.969,98389.173,97917.69,94055.557,96762.761,98520.791,95461.97,97371.557,98504.613,101602.066,106268.916,109644.65,112008.293,114416.089,120560.406,115479.546,122261.91200000001,126914.514,136337.46399999998,136602.066,138068.245,143477.073,144577.96000000002,152922.727,157662.281,155001.886,160388.081,162709.802,165722.989,163083.647,169268.084,176314.713,182943.056,189052.812,192968.62900000002,192888.101,200660.962,199559.31,202272.02899999998,204074.12300000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10635.667,11419.876,11161.75,11365.042,11519.115,11844.337,11737.874,11905.232,11665.74,11670.967,12360.427,12671.108,12716.913,13224.124,13485.97,13725.936,14770.958,12581.234,13930.774,12900.671,13717.601,14768.587,14647.624,17491.937,18053.12,15834.756,17864.576,17451.155,17530.643,18054.632,17428.203,16101.193,18153.313,18811.485,19290.955,18818.344,19945.798,19992.874,19539.744,19213.557
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,31777.921,35257.29,34625.611,30919.274,32179.069,33203.808,30894.051,31947.955,32601.926,33899.921,35738.951,36360.198,36664.673,36211.167,39536.113,35703.761,38634.961,41673.272,44588.979,45870.828,44786.228,47680.78,46907.862,50110.117,50705.738,47611.223,48037.634,48728.858,49537.434,49546.625,50604.067,55425.118,56363.727,59411.167,61055.778000000006,59031.053,60583.888999999996,58958.337999999996,60161.590000000004,62117.079
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,48546.381,51712.007,52130.329,51771.241,53064.577,53472.646,52830.045,53518.37,54236.947,56031.178,58169.538,60613.344,62626.707,64980.798,67538.323,66049.849,68855.993,72660.008,77817.711,77830.567,79564.416,81027.706,83022.474,85320.673,88903.423,91555.907,94485.871,96529.789,98654.912,95482.39,101235.814,104788.402,108426.016,110830.16,112621.89600000001,115038.704,120131.275,120608.098,122570.69499999999,122743.48700000001
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,11.69268978093,11.606842147154,11.399114909676,12.083328579937,11.904491853018,12.022170020945,12.29586399694,12.22660124455,11.842836233467,11.486938661267,11.631272309205,11.556521909642,11.353545937889,11.557923466515,11.186068832582,11.886032180972,12.081406022834,9.913156189528,10.217862054409,9.443979419755,9.935377247679,10.293342825582,10.131298020805,11.438415560036,11.450500326074,10.21584730911,11.138343877311,10.725324956145,10.578280723624,11.070780137754,10.296213313314,9.132075665177,9.922930881837,9.950386244453,9.996938414275,9.756093767547,9.940049026576,10.018512290907,9.66013150538,9.414989376189
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,34.936160763203,35.834522158246,35.361956557594,32.873415443173,33.255633331918,33.702335987132,32.362679085713,32.810356519204,33.096852022555,33.365385503086,33.630672397185,33.16185331432,32.733891409273,31.648666998223,32.793613020845,30.917822451432,31.600160972454,32.835702305884,32.704861665903,33.579893293854,32.437746999681,33.232333921392,32.444683823178,32.768260142261,32.160982118482,30.716544313532,29.950875214973,29.948323580407,29.891709230516,30.381111724832,29.895811309591,31.435333476679,30.809437773905,31.425698656098,31.640261070622,30.603781515792,30.192165130754,29.544268318025,29.742911215866,30.438488764203
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,53.371149455867,52.5586356946,53.23892853273,55.04325597689,54.839874815064,54.275493991923,55.341456917346,54.963042236246,55.060311743979,55.147675835647,54.73805529361,55.281624776038,55.912562652839,56.793409535262,56.020318146573,57.196145367596,56.318433004712,57.251141504588,57.077276279688,56.976127286391,57.62687575264,56.474323253026,57.424018156018,55.793324297702,56.388517555445,59.067608377359,58.910780907716,59.326351463448,59.53001004586,58.548108137415,59.807975377095,59.432590858144,59.267631344258,58.623915099449,58.362800515103,59.640124716662,59.867785842669,60.437219391067,60.596957278755,60.146521859609
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,48.113523431749,52.043221129131,51.79382891168,49.750943138577,51.182926070415,52.112840828837,50.494869126834,51.504950373338,52.104283431658,53.742689635317,56.2112326581,57.996836354912,59.247091759735,60.520702014208,63.770755232141,61.083220491849,64.670771466758,67.131777971121,72.116073047356,72.256034996189,73.031574372985,75.892588680458,76.474905858581,80.888893099353,83.395893101024,81.988669917272,84.837712437729,86.065793086431,87.6596265598,86.263539417758,89.534814219003,93.262147827772,96.768227917181,100,102.071282071171,102.028686566164,106.140162570023,105.557440743066,106.99234084918,107.945563380459
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,56.538157407563,60.706935151584,59.334762779228,60.415443012606,61.234479893533,62.963327988194,62.39738117432,63.287039805736,62.013923940614,62.041710157385,65.706811556876,67.358361128853,67.601855993825,70.298139673715,71.690087199389,72.965722801788,78.520956745308,66.88059980379,74.054621418777,68.578695408683,72.921414763375,78.508352743018,77.865325358418,92.985412900683,95.968606412519,84.176002054064,94.96632509342,92.76861980859,93.191170181408,95.97664405548,92.646609238984,85.5923548832,96.501222524431,100,102.548815258338,100.036461767904,106.029896098049,106.280147473737,103.871353059049,102.137375119508
