Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,139151.314,145785.435,146456.51,144558.661,147364.406,149342.372,147618.938,149621.937,150968.148,153964.434,158709.13199999998,162577.221,165304.512,165480.861,175171.74300000002,164039.448,168580.75100000002,173317.70799999998,180088.64,182253.97900000002,184156.398,185463.864,184012.581,182713.981,192557.837,195219.889,199540.65,204879.83,208284.821,201239.316,211890.535,214478.174,218118.481,218811.378,227659.00499999998,229580.566,234185.03000000003,234094.18200000003,240685.982,240613.45199999993
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8276.803,8873.592,8716.28,8889.305,9010.284,9261.116,9136.844,9226.545,8893.686,8718.163,9282.51,9372.247,8783.56,8875.524,8545.444,9548.806,9650.366,8479.159,9713.216,10599.671,10515.755,9908.767,9547.413,10982.639,10455.419,10817.27,11488.758,11576.74,12013.442,11609.041,12380.518,12281.079,11827.406,10921.653,12181.128,11448.252,12705.526,13141.454,13097.625,12615.175
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,18476.362,20949.781,20573.366,18016.632,18938.926,19713.63,18099.307,18998.627,19726.688,21173.886,23452.637,25188.445,26910.233,26877.12,32088.316,24839.552,26286.791,28356.908,28762.454,26005.38,24201.923,27532.767,28893.954,28001.112,30731.83,31416.524,33701.241,37045.71,39942.722,36614.763,38657.264,38047.191,39336.803,41978.604,45575.628,42404.697,43636.021,41656.905,43692.659999999996,43949.89199999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,112398.149,115962.062,117166.864,117652.724,119415.196,120367.626,120382.787,121396.765,122347.774,124072.385,125973.985,128016.529,129610.719,129728.217,134537.983,129651.09,132643.594,136481.641,141612.97,145648.928,149438.72,148022.33,145571.214,143730.23,151370.588,152986.095,154350.651,156257.38,156328.657,153015.512,160852.753,164149.904,166954.272,165911.121,169902.24899999998,175727.617,177843.48300000004,179295.82300000003,183895.697,184048.38499999995
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.948059534673,6.086747966283,5.951445927532,6.149271817065,6.114287869487,6.201264835944,6.18947956393,6.166572352288,5.891100949321,5.662452537578,5.848756075359,5.764797148304,5.313563370853,5.363474631668,4.878323326383,5.821042509238,5.724476811709,4.89226351874,5.39357507503,5.815879059628,5.710230605184,5.342694143372,5.18845665232,6.010836685782,5.429755113005,5.541069639682,5.757602774172,5.650502540929,5.767795244186,5.768773831452,5.842883921172,5.726027395216,5.422468534429,4.991355157043,5.350602318586,4.986594553478,5.425421940933,5.613746521902,5.441789709215,5.242921746536
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,13.277892582459,14.37028397247,14.047423361379,12.463197898603,12.851764217745,13.200292546579,12.260829975623,12.697755009013,13.066788101554,13.752452725543,14.777118811286,15.493219065419,16.279188434978,16.241829923764,18.318203296065,15.142425985242,15.592996735434,16.361229517298,15.971276144903,14.268758434075,13.142048423428,14.84535391757,15.702162234223,15.32510640223,15.959791862431,16.092891027102,16.889411255301,18.081677439892,19.17697209438,18.194636976405,18.243978665682,17.739423219819,18.034603404376,19.184835991481,20.019251160304,18.470508082988,18.633138505907,17.794933921083,18.153387927678,18.265766786805
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,80.774047882868,79.542968061247,80.00113071109,81.387530284332,81.033947912768,80.598442617478,81.549690460448,81.135672638699,81.042110949126,80.585094736879,79.374125113355,78.741983786277,78.407248194169,78.394695444569,76.803473377553,79.036531505519,78.682526452857,78.746506963962,78.635148780067,79.915362506297,81.147720971389,79.811951939058,79.109381113458,78.664056911989,78.610453024563,78.366039333216,77.352985970528,76.267820019179,75.055232661433,76.036589192144,75.913137413146,76.534549384965,76.542928061194,75.823808851476,74.63014652111,76.542897363534,75.94143955316,76.591319557015,76.404822363107,76.491311466659
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,63.594185673471,66.626075998662,66.932767088556,66.065422338321,67.347688839106,68.251648230103,67.464013685797,68.379413523917,68.994651640099,70.363998164666,72.532394544858,74.300167791092,75.546579666438,75.627173738653,80.056048547896,74.968426916081,77.043868806493,79.208727436468,82.303142389606,83.292733982051,84.162167289125,84.759698373638,84.096440816711,83.50296162387,88.001747788454,89.218344486638,91.192995457485,93.63307880635,95.189209493484,91.969310663543,96.837073527319,98.019662396167,99.683335936946,100,104.043494941109,104.921676422147,107.025983813328,106.984464948619,109.997013957839,109.963866687042
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,75.783427655136,81.247701240829,79.807333193977,81.391571404072,82.499270028081,84.795918713037,83.658068975456,84.479382379206,81.431684379645,79.824574173891,84.991804811964,85.813447836147,80.423357160313,81.265390870778,78.243137737484,87.430043785497,88.359939653824,77.636224113694,88.935401994552,97.051893152071,96.283547920814,90.725891034993,87.417289305932,100.558395327154,95.731104073715,99.044256395987,105.192483225753,105.998057253788,109.996554550854,106.293809188041,113.357547616647,112.447071885547,108.293186022299,100,111.531908219388,104.821605300956,116.333360893264,120.324771351003,119.923467628939,115.506096009459
