Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,227935.25,250563.94199999998,251216.458,241187.66100000002,250259.68,255789.67599999998,246924.70899999997,252722.158,256326.177,266019.918,280580.668,291809.824,301553.168,311369.97000000003,324348.05799999996,312602.564,333015.01,353328.823,377816.535,383909.774,405974.608,408016.98899999994,426071.07899999997,438354.387,450953.155,454625.559,477646.929,488729.604,503024.423,481674.906,517168.681,548163.17,570921.987,594575.532,620084.8039999999,653849.9260000001,673328.2939999999,704179.453,713090.078,702632.8110000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,13493.096,14756.446,14493.746,14921.045,15266.32,15887.243,15795.105,16145.108,15723.602,15652.584,16994.42,17600.506,17859.849,20280.06,19775.772,19471.042,19974.078,18346.568,19608.702,17785.261,18212.111,21171.902,21562.37,21768.244,23298.8,20878.187,20307.976,21992.044,22505.655,22648.509,22061.938,22204.227,21876.664,23507.447,23774.059,23084.637,23705.875,25123.915,26280.613,26592.2
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,77602.269,87024.309,85380.292,75150.117,78550.431,81300.606,74183.112,76785.216,77998.702,81247.085,86800.72,88735.699,91173.173,89800.778,94229.676,88699.146,100278.105,109311.628,121722.389,124586.744,133303.85,129629.931,140206.468,149363.013,153284.384,153069.946,164007.543,163302.611,166996.143,157349.272,169926.764,182392.259,191930.408,206339.715,225432.50499999998,245761.472,254430.837,262856.12799999997,253438.36099999998,244559.423
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,136839.885,148783.187,151342.42,151116.499,156442.929,158601.827,156946.492,159791.834,162603.873,169120.249,176785.528,185473.619,192520.146,201289.132,210342.61,204432.376,212762.827,225670.627,236485.444,241537.769,254458.647,257215.156,264302.241,267223.13,274369.971,280677.426,293331.41,303434.949,313522.625,301677.125,325179.979,343566.684,357114.915,364728.37,370878.23999999993,385003.8170000001,395191.5819999999,416199.41,433371.104,431481.18800000014
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.919705705897,5.889293520135,5.769425345532,6.186487707595,6.100191608972,6.211057165575,6.396729215139,6.388481377244,6.13421624901,5.883989483825,6.056874880631,6.031498788745,5.922620252492,6.513171453239,6.097083522541,6.228689154322,5.997951263518,5.1924911883,5.19000630822,4.632666893237,4.486022189841,5.188975599249,5.060744805915,4.965900797521,5.166567689276,4.592391823707,4.251671007813,4.49983872882,4.474068051364,4.702032162747,4.265907586929,4.050660134646,3.831813189566,3.953651930635,3.834001228,3.530571172688,3.520700854433,3.567828469429,3.685454868999,3.784651041581
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,34.045751589541,34.731377669657,33.986743018246,31.158358884703,31.387569503805,31.784162391292,30.042806287159,30.383254324696,30.429471899002,30.541729961739,30.936101413801,30.408742853017,30.234526668942,28.840539118143,29.05202410677,28.374414101095,30.112187735922,30.937648129544,32.217327121482,32.45208964125,32.835514185656,31.77071898837,32.906825858509,34.073575497261,33.99119893063,33.669454558757,34.336563901576,33.413693310872,33.198416491201,32.667110127593,32.857125777885,33.273351619008,33.617624188644,34.703701026163,36.35510877638,37.586831813758,37.787040774496,37.328003093552,35.54086206203,34.806148982986
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,60.034542704562,59.379328810209,60.243831636222,62.655153407703,62.512238887223,62.004780443133,63.560464497702,63.22826429806,63.436311851989,63.574280554436,63.007023705568,63.559758358238,63.842853078566,64.646289428618,64.850892370689,65.396896744583,63.88986100056,63.869860682156,62.592666570297,62.915243465513,62.678463624503,63.040305412381,62.032429335576,60.960523705218,60.842233380095,61.738153617536,61.411765090612,62.086467960308,62.327515457435,62.63085770966,62.876966635186,62.675988246346,62.55056262179,61.342647043202,59.810889995621,58.882597013554,58.69225837107,59.104168437019,60.773683068971,61.409199975434
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,38.335793811307,42.141650390013,42.251395235686,40.564679846261,42.090477413053,43.020552012894,41.529577944354,42.504634718134,43.110784619371,44.741147874884,47.190079796287,49.078680217201,50.717386062903,52.368446604695,54.551195019576,52.575753150905,56.008865497681,59.42538903535,63.543909001624,64.568713870318,68.279736745037,68.62323910766,71.659706138059,73.725601443014,75.844553085309,76.462204468919,80.334104464965,82.198068655136,84.602274383535,81.011558679478,86.981157677373,92.194034314887,96.021776254325,100,104.29033329276,109.969194965123,113.245207338939,118.43397770361,119.932630863794,118.1738523004
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,57.39924033435,62.77349471425,61.65597650821,63.473694102129,64.942483971143,67.583872463905,67.19192007537,68.680822719711,66.887748380332,66.585639861275,72.293771416352,74.872043740011,75.975281365093,86.270788997206,84.125562422836,82.829249811772,84.969150414335,78.045769921336,83.414851472387,75.657986169234,77.473793730132,90.064659084417,91.725698669022,92.60148071375,99.112421693432,88.815203964939,86.389542854228,93.553519444285,95.738405791152,96.346102577622,93.850846499835,94.456139792637,93.062696259615,100,101.134159740954,98.201378482317,100.844106975972,106.876408144194,111.79696799912,113.122450089965
