Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,113570.475,123728.168,124113.065,119358.099,123578.637,126596.75899999999,122854.54000000001,125801.434,127642.848,131979.422,139043.935,144872.855,150770.648,154946.229,159184.242,138608.711,154443.41999999998,160529.72,175554.392,177904.424,181839.607,179798.182,179047.723,179553.378,191549.579,190073.779,195404.535,201655.418,208800.335,195581.126,206303.584,214569.188,222797.005,230982.767,243064.784,258695.052,268833.622,270118.073,276996.193,273154.93100000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,7478.228,8111.689,7902.594,8066.179,8173.992,8430.027,8268.386,8349.401,7959.814,7748.786,8364.877,8436.637,7836.853,7937.571,8320.202,8328.931,8980.113,8269.467,7646.672,8170.284,9139.318,9424.246,9190.895,10032.916,10025.754,9928.484,10950.176,10667.766,10899.583,10097.418,10304.073,9041.252,10407.18,10711.134,10743.849,10541.935,10546.335,10440.395,10374.572,9882.852
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43714.396,49186.71,48539.831,43228.146,45340.243,47063.138,43586.177,45268.867,46357.725,48725.38,52704.342,55742.789,60041.926,62166.859,64687.144,49763.057,60330.86,61512.859,70001.641,69711.538,67862.15,66262.885,65251.703,65078.822,74253.757,71022.176,70076.389,74125.087,75881.564,69870.736,70683.702,72819.796,74831.688,75661.767,81101.855,88010.897,90305.581,86820.629,87483.48800000001,85428.095
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,62377.851,66429.769,67670.64,68063.774,70064.402,71103.594,70999.977,72183.166,73325.309,75505.256,77974.716,80693.429,82891.869,84841.799,86176.896,80516.723,85132.447,90747.394,97906.079,100022.602,104838.139,104111.051,104605.125,104441.64,107270.068,109123.119,114377.97,116862.565,122019.188,115612.972,125315.809,132708.14,137558.137,144609.866,151219.08000000002,160142.22,167981.706,172857.04899999997,179138.133,177843.98400000003
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.584658556724,6.556056822889,6.367253922865,6.757965372756,6.614405368462,6.658959570995,6.73022421475,6.636968065086,6.236004699613,5.871207709941,6.015995591609,5.823476730682,5.197863844162,5.122790694054,5.226774896475,6.008952063626,5.8145002228,5.151362003248,4.355728109611,4.592513112546,5.026032639853,5.241569127768,5.133209652714,5.58770662616,5.23402559919,5.223489558757,5.603849470536,5.290096396021,5.220098425608,5.162777312163,4.994616574378,4.213676755863,4.671148968093,4.637200488641,4.420158619111,4.075043151579,3.922997027507,3.865122716169,3.745384327358,3.618039024161
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,38.49098632369,39.75384974584,39.10936451372,36.217187071654,36.689385884714,37.175626273339,35.477872449809,35.984380750382,36.318309820226,36.918922102872,37.904811885538,38.477041817116,39.823352089062,40.121569528485,40.636650454384,35.901825102464,39.063405873815,38.318673327282,39.874616751257,39.184825443126996,37.31978479254,36.854035042468,36.443749133855,36.244832998909,38.764771704353,37.365583182307,35.862212205055,36.758291810439,36.341686903903,35.724682349973,34.261984513076,33.937676084229,33.587385072793,32.756455376604,33.366353473895,34.021097937351,33.591624562496,32.141732700722,31.582920708228,31.274593757929
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,54.924355119585,53.690093431271,54.523381563416,57.02484755559,56.696208746824,56.165414155666,57.79190333544,57.378651184533,57.445685480161,57.209870187187,56.079192522853,55.699481452202,54.978784066777,54.755639777461,54.136574649142,58.08922283391,55.122093903386,56.529964669471,55.769655139132,56.222661444327,57.654182567608,57.904395829764,58.423041213431,58.167460374931,56.001202696457,57.410927258936,58.53393832441,57.95161179354,58.438214670489,59.112540337865,60.743398912546,61.848647159908,61.741465959114,62.606344134755,62.213487906994,61.90385891107,62.485378409997,63.99314458311,64.671694964414,65.107367217911
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,49.168375838185,53.565973603563,53.732608112708,51.674027699218,53.501236739449,54.807880537685,53.187751448142,54.463558313855,55.26076670473,57.13821152727,60.19667042953,62.720200680599,65.27354830761,67.081293991079,68.916068530775,60.008247714861,66.863611517824,69.498569995051,76.003242267853,77.020648038215,78.724317559154,77.840517859932,77.515619595985,77.734534195791,82.92808224953,82.289160125959,84.597018876304,87.303230721104,90.396499146623,84.673470900104,89.315573918984,92.894024427372,96.456115706675,100,105.230700608933,111.997555211554,116.386874004328,116.942954882864,119.920718154701,118.257710108737
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,69.817332133087,75.731374474449,73.779246903269,75.306489490282,76.313040243918,78.703403393142,77.194310144939,77.950672636529,74.313457379956,72.343283166843,78.095157804953,78.765114879526,73.165483692016,74.105794960646,77.678068447281,77.759563086411,83.839050094976,77.204402447024,71.389938731044,76.278422060633,85.32540065319,87.985511151294,85.806927632499,93.668102742436,93.601237740094,92.693117274044,102.231715147995,99.59511289841,101.759374871045,94.270298551022,96.199646087893,84.409848667751,97.16226125077,100,100.305429845243,98.420344661919,98.461423412311,97.47235913583,96.857830366047,92.267093288162
