Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,506057.73600000003,553579.081,553396.75,528016.232,546213.108,557080.3570000001,536270.037,547525.729,554367.4480000001,573268.1980000001,601299.742,622365.431,641685.005,657579.3470000001,681207.201,625082.763,660456.829,708779.99,760051.4340000001,790148.8740000001,827464.121,810364.845,802784.0989999999,794957.322,819238.31,842128.813,886009.726,913139.834,918573.456,870319.1,925371.837,953148.056,995285.999,1018578.607,1067256.7619999999,1104884.87,1149129.5480000002,1176616.034,1208076.0219999999,1217549.85
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,26727.661,28845.433,28570.8,29342.567,29970.451,30992.151,30927.675,31506.137,30981,30993.86,32880.264,33691.427,33644.046,35262.161,35642.189,34980.281,36902.146,36282.309,42167.558,40918.577,39737.095,44263.78,46064.621,45266.923,48731.225,46693.767,50078.72,53074.537,53142.478,50839.069,55802.037,52703.563,57514.461,57476.853,61023.777,62310.448,63564.395,67405.231,69931.177,70997.084
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,197765.651,220616.189,215974.968,190437.925,198279.048,204471.822,187345.441,193312.342,196157.363,203732.116,216573.976,221780.114,229340.922,228934.464,236986.231,204893.07,222808.608,246231.445,271406.737,280705.564,298815.472,275519.387,265074.978,256279.691,257616.373,270439.665,289305.508,297560.385,287315.605,264119.718,283245.139,289495.552,301333.246,310653.507,336331.99,355392.87599999993,356082.161,362417.7139999999,363683.28300000005,364220.053
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,281564.424,304117.459,308850.982,308235.74,317963.609,321616.384,317996.921,322707.25,327229.085,338542.222,351845.502,366893.89,378700.037,393382.722,408578.781,385209.412,400746.075,426266.236,446477.139,468524.733,488911.554,490581.678,491644.5,493410.708,512890.712,524995.381,546625.498,562504.912,578115.373,555360.313,586324.661,610948.941,636438.292,650448.247,669900.9949999999,687181.5460000001,729482.9920000002,746793.0889999999,774461.5619999999,782332.713
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.281543803927,5.210715865183,5.162805889265,5.557133516304,5.486951990175,5.563317860802,5.7671831104,5.754275156629,5.588531597909,5.406520038636,5.468198587719,5.413447682315,5.243078104965,5.362419175857,5.23220966362,5.596103919442,5.587366861794,5.118980432842,5.547987427388,5.178590813255,4.802274079507,5.462203879291,5.738108298032,5.69425826359,5.948357688497,5.544729770456,5.652163687422,5.812312093265,5.785326982059,5.841428620836,6.030228581508,5.529420394684,5.778686835521,5.642849025593,5.717815915792,5.639542154288,5.531525589141,5.728736397621,5.788640427134,5.831143915791
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,39.079661653468,39.852696131775,39.0271478826,36.066680048579,36.300675523151,36.704188081792,34.934907429855,35.306531138375,35.383997330233,35.538708881946,36.017639934394,35.635030956596,35.740420956229,34.814728449797,34.789155289625,32.778550638102,33.735529442152,34.740180094531,35.708996109861,35.525655131162,36.11219682116,33.999424913355,33.019460441505,32.238169761772,31.445840588192,32.113812141944,32.652633431701,32.586507993693,31.278457168917,30.347457386607,30.608791803981,30.372569106934,30.276045910699,30.498726840039,31.513690236052,32.165602557305,30.987120783705,30.801697709994,30.104337506667,29.914179940969
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,55.638794542605,54.936588003043,55.810046228136,58.376186435117,58.212372486674,57.732494057406,59.297909459745,58.939193704996,59.027471071859,59.054771079417,58.514161477887,58.951521361089,59.016500938806,59.822852374346,59.978635046754,61.625345442456,60.677103696054,60.140839472627,58.743016462752,59.295754055583,59.085529099334,60.538371207354,61.242431260463,62.067571974637,62.605801723311,62.3414580876,61.695202880877,61.601179913043,62.936215849024,63.811113992557,63.360979614511,64.098010498382,63.94526725378,63.858424134368,62.768493848156,62.194855288407,63.481353627154,63.469565892385,64.107022066199,64.25467614324
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,49.682737544477,54.348194355902,54.33029382287,51.838535422922,53.625032397721,54.691935720185,52.64886119879,53.753900311397,54.425593095143,56.281193622202,59.033219220164,61.101364855192,62.998083858245,64.55852719475,66.878216007928,61.368141712798,64.841026942951,69.585202862993,74.618829492067,77.573676549836,81.237139216689,79.558400248239,78.814152730384,78.045750866629,80.429561780498,82.676860402587,86.984914066627,89.648440260242,90.181891676034,85.444470757474,90.849329707157,93.576288511231,97.713224306899,100,104.779027820285,108.473205936869,112.816972603078,115.515486572555,118.60410317846,119.534205964332
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,46.501608221313,50.186173206108,49.708358249885,51.051102258504,52.143514189964,53.921099333674,53.808922002045,54.815348014965,53.901698480256,53.924072704537,57.206096513322,58.617382896729,58.534947972882,61.350194312135,62.011378737107,60.859770801996,64.203490751312,63.12507923842,73.364416802708,71.191401171529,69.135822380533,77.01148843344,80.144647098198,78.756787536715,84.784086908864,81.239254696147,87.128500232955,92.340714965727,92.458920811131,88.451378853327,97.086103513705,91.695282968955,100.065431557291,100,106.171047673748,108.409637528346,110.591293159352,117.273697987606,121.668416675492,123.522914520042
