Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,627012.4879999999,683842.913,683337.6699999999,654966.8230000001,675440.2779999999,684397.273,658113.3740000001,668796.199,675674.727,699639.1510000001,734269.922,764049.2220000001,789865.89,814132.7390000001,845472.311,780739.76,849423.271,921089.101,967724.419,1003185.409,1061054.125,1066663.977,1048741.186,1048403.59,1073840.81,1099376.794,1150701.95,1184658.428,1198144.35,1138727.918,1226813.687,1283448.197,1339994.611,1365154.229,1402291.945,1445183.5050000001,1485467.443,1556925.971,1608137.236,1577636.5300000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8618.621,9596.395,9088.484,9266.384,9384.763,9775.882,9525.95,9703.538,9231.877,9121.319,10195,10630.778,10488.548,11302.847,11634.66,12060.016,13591.151,14634.517,14962.28,17642.021,17362.387,20136.548,18632.347,19512.859,20341.809,17816.53,19393.066,22297.792,20584.935,17579.481,19125.925,16241.237,19620.513,19904.044,20825.717,21386.248,22804.939,22580.656,20204.542,19810.784
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,284630.985,307535.458,304898.268,282403.874,290421.615,296554.941,279998.262,285032.97,286603.338,292601.946,304026.011,307582.713,312591.792,310657.382,316147.943,274938.591,311728.631,342925.366,356603.967,368958.526,384199.5,368030.33,348426.038,333112.582,337044.492,340528.528,348648.686,351911.728,348496.193,322571.924,357699.011,371542.845,377182.262,382416.135,376975.699,377591.89300000004,380010.63099999994,406527.007,416107.08300000004,387652.57200000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,333762.882,366711.06,369350.918,363296.565,375633.9,378066.45,368589.162,374059.691,379839.512,397915.886,420048.911,445835.731,466785.55,492172.51,517689.708,493741.153,524103.489,563529.218,596158.172,616584.862,659492.238,678497.099,681682.801,695778.149,716454.509,741031.736,782660.198,810448.908,829063.222,798576.513,849988.751,895664.115,943191.836,962834.05,1004490.529,1046205.3640000001,1082651.873,1127818.308,1171825.611,1170173.174
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1.374553324686,1.403304007042,1.33001360806,1.414786776154,1.389428985163,1.428392891916,1.447463366699,1.450896104749,1.366319714368,1.303717636007,1.388453985999,1.391373447403,1.327889725685,1.38832974754,1.376113664354,1.544690896746,1.600044578953,1.588827506928,1.546130252191,1.758600238971,1.636333773265,1.887806135221,1.776639198377,1.861197270414,1.894303961124,1.620602699387,1.685324857579,1.882212752046,1.718068027446,1.54378238402,1.558991817802,1.265437673134,1.464223276641,1.458006983913,1.485119919162,1.479829234558,1.535202882262,1.450335881127,1.256394140232,1.255725487036
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,45.394787256614,44.971652429774,44.618975564453,43.117279239654,42.997378814889,43.330818619437,42.545596710515,42.618808304561,42.417353579661,41.821837097278,41.405211066238,40.256923787562,39.575299548636,38.158075104753,37.393056979722,35.21513890877,36.698856935367,37.230422727584,36.84974358387,36.778697406274,36.209227309681,34.502930438796,33.223262579105,31.773315656044,31.386820919946,30.974687646536,30.298782929846,29.705754813572,29.086327786798,28.327392250692,29.156750922359,28.94879948162,28.148043201347,28.012668962695,26.882825672938,26.127608825704,25.581888905794,26.110875826607,25.875097826539,24.571728952042
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,53.230659418701,53.625043563185,54.051010827487,55.467933984192,55.613192199948,55.240788488647,56.006939922786,55.93029559069,56.216326705971,56.874445266714,57.206334947763,58.351702765035,59.096810725679,60.453595147707,61.230829355924,63.240170194483,61.701098485681,61.180749765489,61.604126163938,61.462702354755,62.154438917053,63.609263425983,65.000098222518,66.365487073542,66.718875118929,67.404709654077,68.015892212575,68.412032434382,69.195604185756,70.128825365288,69.284257259839,69.785762845246,70.387733522012,70.529324053392,71.6320544079,72.392561939738,72.882908211944,72.438788292266,72.868508033229,74.172545560922
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,45.929791277818,50.092722014342,50.055712056839,47.977496541162,49.477213903866,50.133329880341,48.207987055212,48.990523179927,49.494387714342,51.2498248284,53.786591024068,55.967978252514,57.859095567436,59.6366858561,61.932365811834,57.190590148331,62.221780730388,67.471431537425,70.887552369001,73.485133598044,77.72412101578,78.135052753809,76.822176111795,76.797446598248,78.660768665428,80.531325373054,84.290985264201,86.778358286139,87.766226302332,83.413865906868,89.866306746796,94.014886357577,98.157012778078,100,102.72040442106,105.862288252854,108.813159088122,114.047624651207,117.798941821979,115.564710307908
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,43.300853836537,48.213292735888,45.661494719365,46.555282936473,47.150031420751,49.115054207075,47.859369683869,48.751590380327,46.38191615734,45.826461195524,51.220746899474,53.410141175331,52.695562771063,56.786686162872,58.453749398866,60.590782456068,68.283364928253,73.52534489976,75.172060511924,88.635359728907,87.230449249409,101.168124427378,93.610861189817,98.034645622769,102.199377171795,89.51211120715,97.432793054517,112.02644045602,103.420867638757,88.321152224141,96.090648714402,81.597674321861,98.575510584683,100,104.630581604422,107.446748007591,114.574400056592,113.447578793536,101.509733398901,99.531452000408
