Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,170037.051,182319.675,184550.907,181925.84,188116.89299999998,192987.883,191185.123,196024.863,199623.877,205670.986,214055.51,220604.343,225299.861,225202.13100000002,240370.265,235076.181,245257.23100000003,271580.059,273828.927,290304.71900000004,295434.826,288426.891,284937.994,294468.306,301021.642,306026.395,320451.426,328272.19,334657.914,317003.042,329767.26,343275.664,352030.387,359465.987,379655.442,386038.362,402111.981,414856.586,424359.973,424974.326
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,18184.726,19501.426,19822.796,20562.745,21220.832,22033.497,22342.975,22914.79,22932.009,23146.586,24279.573,24839.199,24825.483,25667.936,26701.878,27576.502,28106.674,34012.728,32390.332,35897.939,32076.468,33031.34,31720.781,32803.547,30908.902,30183.248,34472.557,36053.211,38699.199,35964.264,33923.768,38108.062,37810.691,39538.431,43856.361,42818.867,49935.608,53403.536,55395.638,55443.989
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,39819.847,44849.001,44291.329,39475.488,41515.39,43236.219,40164.386,41828.039,42811.309,44709.637,47620.121,48909.69,49513.686,45601.101,51263.882,47407.161,53426.33,57803.358,58556.236,64950.099,69064.1,62554.555,60285.836,62920.685,67431.774,67491.648,69989.451,73824.211,73008.125,60790.66,66485.293,66962.787,67719.208,68417.837,73054.11000000002,70765.09199999999,70069.117,68298.232,67998.766,66418.62100000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,112032.478,117969.248,120436.782,121887.607,125380.671,127718.167,128677.762,131282.034,133880.559,137814.763,142155.816,146855.454,150960.692,153933.094,162404.505,160092.518,163724.227,179763.973,182882.359,189456.681,194294.258,192840.996,192931.377,198744.074,202680.966,208351.499,215989.418,218394.768,222950.59,220248.118,229358.199,238204.815,246500.488,251509.719,262744.97099999996,272454.40300000005,282107.256,293154.818,300965.56899999996,303111.716
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10.69456679768,10.696281682161,10.741099202509,11.302817125923,11.280662603757,11.417036477881,11.686565695805,11.689736520821,11.487608268424,11.25418147215,11.342652660518,11.25961468492,11.018862989889,11.397732288777,11.10864440741,11.730878850716,11.460079641852,12.524015248115,11.828674331401,12.365606430256,10.85737535899,11.452240075632,11.132520642368,11.139924511944,10.267999933374,9.862955775432,10.757498392284,10.982718639675,11.563808110033,11.345084820984,10.287184967968,11.101300207521,10.740746366307,10.999213397066,11.5516218519,11.091868377579,12.418333787473,12.87277044699,13.053926271223,13.046432597907
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,23.41833545443,24.599101002127,23.999518463488,21.698670183411,22.068932427031,22.403592561301,21.008112644832,21.338129439223,21.445986143231,21.738426926198,22.246622383138,22.17077385462,21.976793851639,20.248965139677,21.327048085586,20.166722463472,21.783794011766,21.284095088881,21.38424038743,22.373077235441,23.377101790972,21.68818406048,21.157528048015,21.367557634539,22.400972086917,22.054191763426,21.84089235415,22.488719193667,21.8157473485,19.176680329774,20.161277684146,19.507000939047,19.236750718341,19.03318797169,19.242213311933,18.331103580841,17.425274627667,16.46309454998,16.023840683956,15.628854953464
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,65.88709774789,64.704617315712,65.259382334003,66.998512690666,66.650404969212,66.179370960818,67.305321659364,66.972134039956,67.066405588346,67.007391601653,66.410724956344,66.56961146046,67.004343158472,68.353302571546,67.564307507004,68.102398685812,66.756126346383,66.191889663004,66.787085281169,65.261316334303,65.765522850038,66.859575863889,67.709951309617,67.492517853517,67.331027979709,68.082852461142,67.401609253566,66.528562166658,66.620444541467,69.478234849242,69.551537347886,69.391698853432,70.022502915352,69.967598631244,69.206164836167,70.577028041581,70.156391584861,70.66413500303,70.922233044821,71.324712448629
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,47.302681519072,50.719590056792,51.340297461857,50.610028926047,52.332320665432,53.687383502017,53.185872909862,54.532242295291,55.533453572619,57.215701467744,59.548195863104,61.370018577029,62.676266781257,62.649079229852,66.868709055358,65.395945514033,68.228216262364,75.550975286015,76.176588857627,80.759996633562,82.187143341604,80.237602841684,79.267025060705,81.918266720462,83.741342125924,85.13361654993,89.14652222715,91.322183981763,93.098631331704,88.187214775344,91.738098158366,95.496006969917,97.931487186853,100,105.616513308671,107.392180612626,111.863707705953,115.409134939935,118.052886322177,118.223793451701
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,45.992533188785,49.322710858203,50.135514987937,52.006982775821,53.671406434919,55.726786427109,56.509513490811,57.955739316009,57.999289349646,58.541994243525,61.407527779744,62.822925371014,62.788235071847,64.918954421838,67.533984846288,69.746070601537,71.08697358274,86.02447578155,81.921136425469,90.792522849478,81.127316357091,83.542364136807,80.227718191448,82.966233536177,78.174326138536,76.339013047837,87.187468314056,91.185234436845,97.877427154355,90.960271033517,85.79947949882,96.382332419817,95.630226196887,100,110.92084306532,108.296828976345,126.296382372887,135.067413271913,140.105807435808,140.228096051662
