Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,94761.08600000001,102352.407,102342.388,98322.863,101540.738,103829.047,101000.251,103523.72200000001,105304.879,108944.997,114155.97399999999,117824.62400000001,121265.96600000001,125976.69900000001,129202.367,114284.73300000001,121778.691,129847.06700000001,140497.35199999998,147510.638,150129.837,155324.354,151225.16999999998,158055.834,159734.875,171279.471,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.143,185662.448,187472.397,194412.07800000004,203238.504,201316.45400000003,201083.49999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4078.828,4414.816,4279.079,4352.075,4394.639,4519.792,4414.334,4443.765,4216.349,4089.437,4410.613,4430.907,4053.468,4362.915,4532.881,4386.028,4362.014,3970.276,3688.164,4378.691,4475.274,4865.929,4821.431,5113.053,5235.684,5697.548,5724.729,5983.812,5229.43,5614.585,5822.891,5349.988,5223.279,6056.056,5692.656,5384.508,5853.908,6057.976,6557.924,6533.374
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,33838.544,38055.618,37605.821,33607.769,35351.039,36847.813,34366.847,35869.729,36823.451,38537.703,41034.245,41984.762,43453.322,45849.737,47031.405,36689.656,42014.809,45796.718,51554.238,54224.647,51418.394,54089.241,49685.256,53199.839,52038.303,60804.927,54497.191,55524.17,56967.156,60724.166,62962.832,58397.593,54868.363,55777.993,58884.787000000004,55625.86100000001,57387.67899999999,63920.663,60754.009999999995,61684.310999999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,56843.714,59881.973,60457.488,60363.019,61795.06,62461.442,62219.07,63210.228,64265.079,66317.857,68711.116,71408.955,73759.176,75764.047,77638.081,73209.049,75401.868,80080.073,85254.95,88907.3,94236.169,96369.184,96718.483,99742.942,102460.888,104776.996,107955.89,107817.38,107475.921,102009.597,106198.744,110930.507,115626.195,120292.094,121085.00499999999,126462.02799999999,131170.49100000004,133259.865,134004.52000000002,132865.81499999997
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.304328044531,4.313348488229,4.181140467428,4.426310287568,4.327956529132,4.353109395293,4.37061686114,4.292508918874,4.003944584562,3.753671221818,3.863672522298,3.76059506882,3.342626240243,3.463271410215,3.508357551994,3.837807452374,3.581918941796,3.057655511002,2.625077232772,2.968389981474,2.980935761623,3.132753412256,3.188246374595,3.234966322091,3.277733807348,3.326462866061,3.4039740439,3.533913602382,3.082072689596,3.335099552031,3.327661648962,3.062769956584,2.972537728199,3.325198623462,3.066132145365,2.87216042797,3.011082469886,2.980722589849,3.25752012302,3.249085081571
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,35.709324817151,37.180970253098,36.74510799963,34.181031730128,34.814636663366,35.488925367869,34.026496627221,34.648801556807,34.968418699764,35.373540833637,35.945771002751,35.633266268688,35.833072900273,36.395410710039,36.401349365372,32.103724650606,34.500953044404,35.269736204361,36.694099401959,36.759821349291,34.249283838229,34.823412817799,32.855149708213,33.658889807256,32.57792200983,35.500417326721,32.404507467424,32.791407822297,33.574771191422,36.070544630471,35.981954901174,33.43155038427,31.225266561869,30.626022207037,31.716045777873,29.671493985325,29.518577029972,31.451059588591,30.178362867449,30.675968440971
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,59.986347138318,58.505681258673,59.073751532943,61.392657982305,60.857406807502,60.157965236838,61.602886511639,61.05868952432,61.027636715674,60.872787944544,60.190556474951,60.606138662492,60.824300859484,60.141317879745,60.090293082634,64.05846789702,61.9171280138,61.672608284637,60.680823365269,60.271788669235,62.769780400148,62.043833769944,63.956603917192,63.106143870653,64.144344182822,61.173119807219,64.191518488676,63.674678575322,63.343156118982,60.594355817498,60.690383449864,63.505679659145,65.802195709932,66.048779169501,65.217822076762,67.456345586705,67.470340500141,65.56821782156,66.564117009532,66.074946477458
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,52.030468794367,56.198635360109,56.193134227852,53.98613366561,55.752972268237,57.009414074068,55.456207075115,56.84176927856,57.819749139474,59.818428703012,62.679619806147,64.693965434715,66.583503061392,69.17002519512,70.9411427002,62.750317509332,66.865024973378,71.295128124467,77.142880031232,80.993664923767,82.431788499469,85.283941910525,83.033202981738,86.783715614073,87.705626643617,94.044417884587,92.341388902086,92.971475270302,93.162082172904,92.435026200495,96.078720011108,95.910496495827,96.481391471624,100,101.94167896039,102.935467644533,106.745838240257,111.592163899282,110.536823919892,110.408915868822
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,67.351226606887,72.899193798736,70.657850587907,71.863189508155,72.566023167553,74.632599170153,72.891234823456,73.377211175062,69.622027933692,67.526406625038,72.829792194788,73.164894776402,66.932472222846,72.042183889977,74.848729932484,72.423834918303,72.027306220418,65.558772904346,60.900427605029,72.302683462636,73.897500287316,80.348150677603,79.613382042702,84.428760236035,86.453691973786,94.080173631155,94.528997089855,98.807078402181,86.350423443905,92.710255651533,96.149886989156,88.341124982992,86.248855690899,100,93.99939498578,88.911132922153,96.662052002161,100.031703801946,108.287043580839,107.881664238244
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,60.666478265003,68.226940327523,67.42053447495,60.2527398216,63.378112224296,66.061561232582,61.613631383259,64.308030946901,66.01788450868099,69.091232809327,73.5670876505,75.271195218516,77.904061553452,82.200406529507,84.318926641911,65.778013920293,75.325064134165,82.105352912214,92.427560095251,97.215127478681,92.184016015062,96.972368654426,89.076808482514,95.377829388734,93.295402364155,109.012396699178,97.703750294493,99.544940600498,102.131957311551,108.86760662041,112.881135755458,104.696475902243,98.369195535594,100,105.569927910457,99.727254438861,102.885880099702,114.598356021881,108.921111593241,110.588975476403
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,47.254738121027,49.780472688421,50.258903964212,50.18037095605,51.370840713771,51.924810619724,51.723324394037,52.547283780761,53.424191784375,55.130686310939,57.120226039128,59.362966114797,61.316727930599,62.983396897223,64.541299779851,60.859401948727,62.682313934946,66.571351729898,70.873277839855,73.909512290974,78.339453463999,80.112649797251,80.40302548894,82.917287980705,85.17674320309,87.102146546722,89.744792371808,89.6296476475,89.345789424865,84.801580559401,88.284059632381,92.217620719114,96.121192303794,100,100.659154707208,105.129126773701,109.043318341437,110.780235482475,111.399274502612,110.452657844663
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,8.011010975539,-0.009788729248,-3.92752707705,3.272763731463,2.253587126775,-2.72447458754,2.49847992952,1.720530295462,3.456742018573,4.783126479869,3.213717049972,2.920732426865,3.884629097005,2.560527482943,-11.545944820036,6.557269552356,6.625441556109,8.202176026048,4.991756712966,1.775600075704,3.460016412327,-2.639112215461,4.516883003008,1.062308778808,7.227348442223,-1.810877265028,0.682344478145,0.205016540877,-0.780420483797,3.941897309263,-0.175089255208,0.595237222885,3.646929708109,1.94167896039,0.974860032008,3.701708150667,4.540060520314,-0.945711546863,-0.115715330452
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,8.237366223827,-3.074578872596,1.705881101985,0.978016233636,2.847856217541,-2.333248963669,0.666714389985,-5.117642359576,-3.009997512066,7.853795033399,0.460117448527,-8.51832367504,7.634129589773,3.895698174271,-3.239727669886,-0.547511324597,-8.980668104229,-7.105601726429,18.722784561641,2.20575053138,8.729186190611,-0.914481078536,6.048453249668,2.398390941772,8.821464397011,0.477064870713,4.525681477673,-12.607047146535,7.365143046183,3.710087210364,-8.121446889526,-2.368397835659,15.943567249615,-6.00060501422,-5.41307958886,8.717602425328,3.486013104408,8.252723351826,-0.374356274943
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,12.462338805121,-1.181946381741,-10.631471122516,5.187104207959,4.234031141206,-6.733007465056,4.373057557477,2.658849192867,4.655326845928,6.478180601475,2.316399387877,3.49784047841,5.514917823774,2.577262329771,-21.989028394963,14.514044503443,9.001371397404,12.571905261857,5.179805004586,-5.175235165662,5.194341542445,-8.14207209896,7.073694055234,-2.183344953356,16.846483252922,-10.373725142372,1.88446226522,2.598842990359,6.595045748817,3.686614650253,-7.250688787315,-6.043451140187,1.657840602972,5.569927910457,-5.534410780835,3.167264233447,11.383948808942,-4.95403653745,1.531258595112
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,5.344934006247,0.961082227534,-0.156256905679,2.372381341629,1.07837422603,-0.388034589403,1.593013203187,1.668797967316,3.194235550539,3.608770108479,3.926350141075,3.291213265899,2.718130961767,2.47351359148,-5.704715962776,2.99528409391,6.204362204926,6.462128225083,4.284032774637,5.993736172395,2.263478049495,0.36245922763,3.127074480686,2.72495070378,2.260480116081,3.033961767715,-0.128302402027,-0.316701259111,-5.086091795389,4.106620478071,4.455573410548,4.232999674292,4.035330402423,0.659154707208,4.440700976971,3.723222752683,1.592868932693,0.55879915532,-0.849751187497
