Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bP---Producto interno bruto<C1>,7642962.149,8368150.276000001,8367515.687,8002442.601000001,8281464.676,8437038.38,8124165.396,8292363.75,8398436.362,8705395.354,9158809.971,9528605.918,9862877.352,10165571.175999999,10667860.247999998,9996720.538,10673824.277,11404645.261999998,11993572.61,12323822.134000001,12932921.343000002,12880621.886000002,12875489.671,13061718.521,13573815.057,13887072.52,14511307.247,14843825.975,15013577.681,14219998.379,14947794.696,15495333.601,16059723.651,16277187.078,16741050.002,17292358.146,17747239.234,18122261.317,18520043.997,18487337.7
"Valores constantes|Millones de pesos|D.21-D.31---Impuestos sobre los productos, netos",285646.439,312749.466,312725.749,299081.585,309509.697,315324.075,303630.827,309917.036,313881.372,325353.592,342299.413,356120.088,368613.077,394682.956,425329.256,386641.487,410052.602,440359.474,459035.634,478609.323,488418.822,492640.777,495816.686,502613.351,523127.863,539350.648,579923.499,589361.736,610821.055,571451.401,595394.031,619537.009,628731.148,634567.233,673892.217,712944.627,764688.949,792451.962,818779.401,817493.833
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,7357315.71,8055400.8100000005,8054789.938,7703361.016000001,7971954.979,8121714.305000001,7820534.569,7982446.714,8084554.99,8380041.762,8816510.558,9172485.83,9494264.275,9770888.219999999,10242530.991999999,9610079.051,10263771.675,10964285.787999999,11534536.976,11845212.811,12444502.521000002,12387981.109000001,12379672.985,12559105.156,13050687.197,13347721.874,13931383.746,14254464.21,14402756.617,13648546.979,14352400.663,14875796.603,15430992.521,15642619.842,16067157.783,16579413.533999996,16982550.313,17329809.356000006,17701264.607,17669843.873
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,307461.375,331315.385,323831.005,330311.637,334968.962,345105.808,340507.922,344777.074,333104.264,328403.635,352253.712,360149.919,352125.029,369721.915,370145.455,375365.752,390093.92,390019.665,401975.526,407417.594,410959.44,432955.923,429031.052,445468.034,455970.664,439348.683,466935.892,486682.223,486464.961,476156.112,488029.03,469661.57,499515.551,510905.697,530062.5140000001,541029.394,560060.261,578962.41,594040.6259999999,592193.0869999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,2928846.957,3252881.231,3217709.022,2908089.424,3038140.124,3146659.421,2941596.813,3044010.776,3102456.029,3226680.418,3429034.357,3530898.205,3666119.537,3683940.187,3888576.356,3465384.444,3875010.979,4180869.464,4430591.775,4498700.051,4696501.735,4593954.783,4524900.909,4604522.23,4781935.701,4884760.028,5086479.816,5133607.878,5079733.56,4699986.664,4913184.23,5053169.757,5196909.908,5185312.409,5318730.110999999,5377312.159000001,5394332.891,5380885.569,5404453.392,5306376.931000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,4121007.378,4471204.194,4513249.911,4464959.955,4598845.893,4629949.076,4538429.834,4593658.864,4648994.697,4824957.709,5035222.489,5281437.706,5476019.709,5717226.118,5983809.181,5769328.855,5998666.776,6393396.659,6701969.675,6939095.166,7337041.346,7361070.403,7425741.024,7509114.892,7812780.832,8023613.163,8377968.038,8634174.109,8836558.096,8472404.203,8951187.403,9352965.276,9734567.062,9946401.736,10218365.158,10661071.980999995,11028157.161,11369961.377000004,11702770.589,11771273.854999999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.178988466977,4.112959650483,4.020353199681,4.287889874484,4.201842118808,4.24917443584,4.354023615595,4.319190423098,4.120254787209,3.918878262507,3.995386946828,3.926415648657,3.708818490836,3.783913055552,3.613808494103,3.905959045789,3.800687820737,3.557182588462,3.484973231577,3.439512657988,3.302337231292,3.49496757535,3.46560892618,3.546972721915,3.493844095082,3.291563063325,3.351683511942,3.414244238367,3.377582319386,3.488694530873,3.400330310302,3.157219626849,3.237092820311,3.26611336311,3.299043434806,3.263260144217,3.297857216247,3.340846965518,3.355921959186,3.351433613428
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,39.808635002833,40.381370309493,39.947770789401,37.750917008301,38.110352253659,38.743783674622,37.613756285411,38.133806401254,38.375099592216,38.504347706615,38.893327858475,38.494452544714,38.614045604919,37.703227220012,37.96499477558,36.059895299606,37.754259366842,38.131708210085,38.411526914507,37.979056373072,37.739569959303,37.083966649436,36.551053606042,36.662820900104,36.641255964661,36.596207758232,36.510944703971,36.014036040713,35.269175860434,34.435802369523,34.232490754428,33.969069972232,33.678390427107,33.148618718442,33.103117445125,32.433669309066,31.763974147456,31.049883229887,30.531453610737,30.030695059555
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,56.01237653019,55.505670040024,56.031876010917,57.961193117215,57.687805627534,57.007041889539,58.032220098994,57.547003175648,57.504645620575,57.576774030879,57.111285194698,57.579131806628,57.677135904246,58.512859724436,58.421196730317,60.034145654605,58.44505281242,58.311109201452,58.103499853916,58.58143096894,58.958092809406,59.421065775214,59.983337467779,59.790206377981,59.864899940257,60.112229178443,60.137371784088,60.57171972092,61.35324182018,62.075503099604,62.367178935269,62.873710400919,63.084516752583,63.585267918448,63.597839120069,64.303070546717,64.938168636297,65.609269804595,66.112624430077,66.617871327017
