Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,53013.261,57468.97900000001,57691.591,56284.613,58025.225,59071.768000000004,57563.038,58681.246,59353.06,61366.54,64805.681000000004,67813.36,70780.361,73131.897,75590.711,66390.735,68038.844,69126.63500000001,75088.907,77290.973,78547.34,80899.114,78930.713,76105.196,86879.422,90269.847,92165.697,91675.276,98292.89,93038.497,97786.134,100704.16,100800.218,103627.459,108986.73199999999,114062.99899999998,119473.24300000002,121000.11400000002,120639.992,120945.60200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4525.348,5016.108,4970.949,5169.123,5336.727,5603.525,5609.75,5775.548,5649.2,5645.071,6185.588,6451.29,6594.482,7431.278,7094.368,6404.816,6883.361,6792.622,6862.021,7482.771,7878.304,8156.154,7831.377,6334.566,7249.249,7111.632,7071.672,7689.549,8259.986,7374.004,7593.762,8483.448,8349.491,7865.074,7183.08,7179.88,8187.56,8379.081,8301.523,8552.596
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,10068.13,11398.266,11167.31,9698.729,10190.813,10604.083,9544.44,9972.52,10230.227,10938.389,12311.291,13365.683,14822.808,15286.144,17001.982,11661.758,11585.156,11358.944,12743.798,13374.334,12953.922,14169.97,13380.156,12816.746,20621.012,22020.459,21054.208,20576.559,22933.924,20239.989,20077.607,20061.298,20655.25,21059.554,24614.390999999996,24290.908,24749.390000000003,22824.213999999996,21484.637,22130.762
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,38419.783,41054.605,41553.332,41416.761,42497.685,42864.16,42408.848,42933.178,43473.633,44783.08,46308.802,47996.387,49363.071,50414.475,51494.361,48324.161,49570.327,50975.069,55483.088,56433.868,57715.114,58572.99,57719.18,56953.884,59009.161,61137.756,64039.817,63409.168,67098.98,65424.504,70114.765,72159.414,71795.477,74702.831,77189.26099999998,82592.21099999998,86536.293,89796.81900000002,90853.832,90262.244
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8.536256617,8.728375007324,8.616418638897,9.183900758099,9.197253435898,9.48596121247,9.74540294416,9.842238182877,9.517959141449,9.198939682765,9.54482370149,9.513302393511,9.316824479039,10.161473043698,9.385237823732,9.647153326439,10.116810626589,9.826345517903,9.138528278218,9.681300040045,10.030007381536,10.081882973403,9.921837396806,8.323434315838,8.344034563213,7.878192149811,7.672780904592,8.38781112587,8.403441998704,7.925755722387,7.76568383407,8.424128655658,8.283207284333,7.589758617935,6.590783913036,6.294661777217,6.853049096524,6.924853806336,6.881236364803,7.071440266179
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,18.991719826479,19.833771537859,19.356911131121,17.231581569194,17.562728968307,17.951186089436,16.580848286708,16.994390337247,17.23622505731,17.824679377394,18.997240380824,19.70951299272,20.941978524241,20.902157098427,22.492157799654,17.565339501061,17.027267541465,16.432080051343,16.971612065148,17.303875835539,16.491865924422,17.51560591875,16.951773893136,16.840829107122,23.735208551457,24.394036028443,22.843865652098,22.445047233891,23.332230845995,21.754423870368,20.532161543476,19.921022130565,20.491275127996,20.322368417815,22.584759216379,21.296045354725,20.71542495921,18.862969005137,17.808884635868,18.298112237269
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,72.472023556521,71.437853454818,72.026670229982,73.584517672708,73.240017595796,72.562852698094,73.673748769132,73.163371479876,73.245815801241,72.976380939841,71.457935917686,70.777184613769,69.741196996721,68.936369857875,68.122604376615,72.787507172499,72.855921831947,73.741574430753,73.889859656633,73.014824124416,73.478126694042,72.402511107847,73.126388710058,74.83573657704,67.92075688533,67.727771821747,69.48335344331,69.167141640239,68.264327155301,70.319820407245,71.702154622454,71.654849213776,71.22551758767,72.08787296425,70.824456870585,72.409292868058,72.431525944265,74.212177188527,75.309878999329,74.630447496553
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,51.157542133693,55.45728859375,55.672108104089,54.314381094687,55.994063310961,57.003972277271,55.548055076792,56.627120423748,57.275417705649,59.218416230779,62.537170770539,65.439566553494,68.30270826191,70.571929202664,72.944672897943,64.066740264277,65.657157530033,66.706870618144,72.460434449136,74.585417558101,75.797805676196,78.067256285807,76.16775877907,73.441148450818,83.838224770136,87.109968603978,88.939454744326,88.466200835823,94.852166547865,89.781702550479,94.363149442852,97.179030511594,97.271726020031,100,105.171672693432,110.070245956721,115.291105420234,116.764528598545,116.417012598948,116.711924780477
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,57.537259026425,63.776996885217,63.202825555106,65.722496698696,67.853487456062,71.245674230147,71.32482161007,73.43285009143,71.826406210546,71.773908293806,78.646278471124,82.024530220568,83.84513610425,94.484527418305,90.200905929175,81.433639403774,87.518070395778,86.36437495693,87.246744277295,95.13923200214,100.168212021909,103.700918770758,99.571561564456,80.54045009621,92.170130884973,90.420407996161,89.91233903203,97.768298174944,105.021084353434,93.75632066526,96.550420250337,107.86227821887,106.159090175121,100,91.328829201098,91.288142997765,104.100228427603,106.535310411574,105.549203987146,108.741456215161
