Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,381010.99600000004,423892.62,425114.881,404003.995,421664.06799999997,431473.522,413147.458,423751.744,431007.153,450380.778,477816.594,500770.53500000003,522743.051,544561.159,576754.044,536276.36,570937.658,622671.3,669903.995,709152.631,756722.157,754129.608,772298.86,803888.528,849841.554,885438.787,946837.916,1004636.521,1020366.768,952725.778,1025184.258,1069812.268,1113817.766,1124999.893,1161168.6690000002,1228082.513,1257648.4210000003,1306549.097,1353169.9910000002,1373592.856
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4594.095,4947.083,4910.386,5043.756,5158.44,5334.733,5352.578,5469.356,5436.867,5489.96,5785.374,5921.322,5794.457,5275.831,6390.826,7033.451,7218.52,6896.978,7950.214,6774.494,6295.642,7297.309,7687.872,7729.586,7384.516,6856.09,6813.11,7527.158,6888.669,7210.986,7725.279,6789.656,6904.717,6847.625,6848.678,6353.505,6111.508,6078.034,6101.985,6359.395
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,162282.845,182387.347,181054.21,162916.644,171436.003,178537.836,165520.04,171423.051,173886.827,180161.618,191477.245,195943.681,202849.207,205684.04,218184.104,190114.002,215790.029,240893.667,258444.854,275533.645,291480.976,287741.086,290069.409,303749.704,322967.946,342797.192,368939.253,392755.054,391188.157,361886.21,392824.53,401705.249,410827.732,407371.037,418977.151,449083.91300000006,442567.559,454895.32399999996,473632.59400000004,481032.65800000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,214134.056,236558.19,239150.285,236043.595,245069.625,247600.953,242274.84,246859.337,251683.459,264729.2,280553.975,298905.532,314099.387,333601.288,352179.114,339128.907,347929.109,374880.655,403508.927,426844.492,458945.539,459091.213,474541.579,492409.238,519489.092,535785.505,571085.553,604354.309,622289.942,583628.582,624634.449,661317.363,696085.317,710781.231,735342.8400000001,772645.095,808969.3540000003,845575.7390000002,873435.4120000001,886200.8029999998
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1.205764413161,1.167060422047,1.155072715509,1.248442110084,1.223352993881,1.236398696094,1.295561160151,1.290698168784,1.261433125218,1.218959659952,1.210793863723,1.182442173839,1.108471358713,0.968822493637,1.108067826569,1.311534784043,1.264327181585,1.107643470961,1.18676915787,0.955294206615,0.83196215966,0.967646532186,0.99545297788,0.96152460581,0.868928562653,0.774315525891,0.71956455111,0.749241924085,0.675116949712,0.75687948899,0.753550294956,0.634658640875,0.619914425032,0.60867783567,0.589809058997,0.517351638245,0.485947256638,0.465197520243,0.450940017927,0.462975252981
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,42.59269330904,43.026780461524,42.589478301514,40.325503216868,40.65701016763,41.378630876914,40.063187318461,40.453650852703,40.344301896076,40.002066429221,40.073376982801,39.128436540301,38.804763948933,37.770604201318,37.829661754396,35.450751922013,37.795725325934,38.687131878408,38.579386886624,38.85392692,38.51889009773,38.155389066756,37.559217554717,37.785052705715,38.003313026983,38.714950941041,38.965407570349,39.094244116176,38.337994657231,37.984299192543,38.317456294769,37.549134648735,36.884645275087,36.21076228849,36.082367892412,36.567894115108,35.190085846734,34.81655033435,35.001706891976,35.020032020318
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,56.201542277798,55.806159116429,56.255448982977,58.426054673049,58.119636838489,57.384970426992,58.641251521388,58.255650978513,58.394264978707,58.778973910827,58.715829153476,59.68912128586,60.086764692354,61.260573305045,61.062270419035,63.237713293944,60.939947492481,60.20522465063,60.233843955506,60.190778873385,60.649147742611,60.876964401058,61.445329467403,61.253422688475,61.127758410364,60.510733533068,60.315027878541,60.156513959739,60.986888393057,61.258821318468,60.928993410275,61.816206710391,62.495440299881,63.18055987584,63.327823048591,62.914754246647,64.323966896628,64.718252145407,64.547353090097,64.516992726701
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,33.867647310079,37.679347583725,37.78799301628,35.911469637802,37.481254053773,38.353205603372,36.72422198177,37.666825271423,38.311750577207,40.033850740997,42.472590172949,44.51294067812,46.466053397216,48.405440959451,51.267031009398,47.669014311631,50.750018871335,55.348565264264,59.547027441362,63.035795417627,67.264198130906,67.033749308988,68.648794084819,71.456764840777,75.541478651501,78.70567744134,84.163378315984,89.301032582409,90.699276893176,84.686743876873,91.127498267238,95.094432866759,99.006033061018,100,103.215002616894,109.162900427049,111.79098138812,116.137708557098,120.281788417912,122.097154368352
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,67.090341541775,72.245238312554,71.709329877147,73.657012467826,75.331812124642,77.90632518574,78.166926489111,79.872306091528,79.397849619394,80.173198736788,84.487307643161,86.472638323506,84.619952173199,77.046143735967,93.3290885526,102.713729212683,105.416403497563,100.720731640532,116.101772512367,98.932023876892,91.939059162848,106.56700680893,112.270633978934,112.879808692795,107.840543254048,100.123619503112,99.495956627298,109.923630455815,100.599390299556,105.306379949252,112.816910972783,99.153443712236,100.833748927548,100,100.015377594421,92.784067468648,89.250039247184,88.761198225662,89.110969131633,92.870082692905
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,39.836618281726,44.77180025933,44.444546508101,39.99220101649,42.08350310383,43.826835926973,40.631273450105,42.080323692722,42.685122703016,44.225436183869,47.003156240585,48.099561137922,49.794705213665,50.490589982714,53.559061441081,46.668512175057,52.971372385514,59.133724570606,63.442127821178,67.637023738632,71.551718096248,70.633663138894,71.205211626275,74.563402012304,79.281028022618,84.148641131795,90.565901718732,96.412120236226,96.027483907748,88.834545692064,96.429174958749,98.609182419613,100.848537251312,100,102.849027777102,110.239529129804,108.639917618886,111.666093728701,116.265652435178,118.082193948413
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,30.126577160561,33.281434523417,33.646117056797,33.209036016315,34.478910572134,34.835043780159,34.085711528868,34.730705628326,35.409412632619,37.244821395685,39.471213189646,42.053098613686,44.190726105428,46.93445373208,49.548173001771,47.712135915981,48.950238670554,52.742058829069,56.769778013455,60.052864845555,64.569169666215,64.58966457993,66.76338067233,69.277186358344,73.087058203426,75.37980487276,80.346177992986,85.026768102716,87.550137068828,82.110860071374,87.879986380788,93.040915285508,97.93242795968,100,103.455579287799,108.703643442155,113.814113079753,118.964275099155,122.883859886278,124.679826133451
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,11.254694602042,0.288342127778,-4.965924963704,4.371261972298,2.326367064314,-4.247320650188,2.566707308653,1.712183867732,4.494966003499,6.091693371514,4.803922946217,4.387741383386,4.173772938399,5.911711562227,-7.018188155088,6.463327602209,9.061171789092,7.585494144342,5.85884489314,6.707939013484,-0.342602496308,2.409300975224,4.09034243557,5.716343049991,4.188690566195,6.934316623742,6.104382178121,1.565764997707,-6.629085944516,7.605386741199,4.353169652357,4.113385059817,1.003945828603,3.215002616894,5.762629132736,2.407485465107,3.888262823176,3.568246620586,1.509260856791
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,7.683515469314,-0.741790667349,2.716079754219,2.273781681747,3.417564224843,0.334505963091,2.181715053942,-0.594018747363,0.976536670844,5.380986382414,2.349856724907,-2.142511418903,-8.950381373095,21.134016612738,10.055429454659,2.631268775456,-4.45440339571,15.270978100844,-14.788532736352,-7.068454116278,15.910482203404,5.352151046365,0.542594881913,-4.464275318238,-7.155865056017,-0.626887920083,10.48050009467,-8.482471073412,4.67894451018,7.132075974076,-12.111187181719,1.694651393237,-0.826855032581,0.015377594421,-7.230198295204,-3.80887399947,-0.547720791661,0.394058341891,4.218463336111
