Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,139873.635,148792.319,149098.544,145958.282,149547.696,151914.20400000003,149121.114,151544.00400000002,152896.542,156534.123,162675.297,167527.99,171905.748,175814.832,189696.707,173883.88400000002,180582.641,184085.703,188679.539,193874.658,200660.573,201968.348,202435.633,202963.936,210757.192,213677.217,218023.575,219815.363,226633.787,224510.705,228089.144,234955.838,239680.171,245515.976,250239.106,260612.90700000006,256580.339,250518.62,260740.41700000002,252621.56999999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,9364.565,10182.673,9935.541,10168.509,10332.754,10692.914,10511.026,10646.944,10156.445,9896.348,10779.621,10990.342,10353.951,11880.881,11169.17,11269.635,11445.937,10909.638,11852.579,12202.556,13293.419,13544.446,12477.375,11682.515,11837.134,11404.286,12589.966,12712.193,13085.15,13283.059,13369.979,13123.146,13916.918,14506.536,14576.097,14446.317,14905.512,15092.53,15558.32,15248.047
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,33383,37020.359,36808.464,33751.933,35376.798,36808.826,35058.149,36524.985,37572.768,39345.485,42107.71,43937.832,46777.119,47279.545,59049.241,43549.832,48303.099,49965.984,48284.51,49948.751,52111.779,51989.044,54935.005,54970.524,56426.537,54197.605,54586.496,54440.609,58286.944,61021.766,59466.75,62519.185,63785.017,68077.11,70159.191,72004.421,66303.985,55455.12,62722.344000000005,54980.142
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,97126.07,101589.287,102354.539,102037.84,103838.144,104412.464,103551.939,104372.075,105167.329,107292.29,109787.966,112599.816,114774.678,116654.406,119478.296,119064.417,120833.605,123210.081,128542.45,131723.351,135255.375,136434.858,135023.253,136310.897,142493.521,148075.326,150847.113,152662.561,155261.693,150205.88,155252.415,159313.507,161978.236,162932.33,165503.818,174162.16900000005,175370.842,179970.96999999997,182459.753,182393.38099999994
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.695017971042,6.843547481776,6.663741129491,6.966722861263,6.909336804493,7.0387848657,7.048650401042,7.025645171682,6.642691108083,6.322166573227,6.626464619272,6.560301953124,6.02303943903,6.757610188428,5.887909271931,6.481126796087,6.338337359902,5.92639070944,6.281857091033,6.294043855902,6.624828585534,6.706222105654,6.163625847432,5.755956072905,5.61647927061,5.337155809175,5.774589284668,5.783123084077,5.773697811439,5.91644794844,5.86173404202,5.585367068002,5.806453634414,5.908591463718,5.824867756681,5.543208571784,5.809296245415,6.024514265646,5.966976726895,6.035924406613
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,23.866542111385,24.880557846538,24.687339669796,23.124369879881,23.655862942884,24.230009459813,23.509849182055,24.101900461862,24.573981535828,25.135404502186,25.884513983706,26.227158816864,27.210910364673,26.891670322786,31.128237244519,25.045352679148,26.748473016296,27.14278359792,25.590750462879,25.763424428581,25.970113720347,25.741183960172,27.13702335201,27.083887454764,26.773243875825,25.364241336034,25.03696951121,24.766516888085,25.71855890137,27.179891488916,26.071714311839,26.608908947391,26.612554861704,27.728179285571,28.036861272994,27.628877567449,25.841412969682,22.136127047163,24.05547429956,21.763835130943
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,69.438439917573,68.275894671687,68.648919200713,69.908907258856,69.434800252623,68.731205674487,69.441500416903,68.872454366456,68.783327356089,68.542428924587,67.489021397023,67.212539230012,66.766050196297,66.350719488786,62.983853483551,68.473520524766,66.913189623802,66.93082569264,68.127392446088,67.942531715517,67.405057694119,67.552593934174,66.699350800558,67.16015647233,67.610276853565,69.298602854791,69.188441204122,69.450360027839,68.507743287191,66.903660562644,68.066551646141,67.805723984607,67.580991503882,66.363229250711,66.138270970326,66.827913860767,68.349290784903,71.839358687191,69.977548973545,72.200240462444
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,56.971296645885,60.603925424389,60.728652541943,59.449606652074,60.91159460841,61.875486261635,60.737845426401,61.724701776637,62.275597902436,63.757204541345,66.258538303837,68.235066707024,70.01815148681,71.610342782744,77.264506404259,70.823857100037,73.552297468414,74.979113782803,76.850208313939,78.966208699999,81.730148998532,82.262812909576,82.453140646131,82.668321347854,85.842557145854,87.031899300924,88.802194688952,89.531999742453,92.30918113451,91.444438222627,92.901956001429,95.698798028524,97.62304470158,100,101.923756684575,106.149062576685,104.506575572092,102.03760426572,106.200998097167,102.894147303881
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,64.55410857561,70.193690623316,68.490099910826,70.096051876203,71.228265659011,73.711008610188,72.457173787043,73.394116969068,70.012889362423,68.219925142708,74.308718497648,75.761312004465,71.374386000903,81.90019312674,76.994052887609,77.686602783738,78.901930826215,75.204983464006,81.705094862068,84.117641868465,91.637445355666,93.367886034268,86.012091377294,80.532768126036,81.59862561262,78.614811971652,86.788231180759,87.630796214892,90.201754574628,91.56602927122,92.165207462347,90.463677889746,95.935501073447,100,100.479514889013,99.584883668989,102.75031889074,104.039517083885,107.250414571749,105.111564883581
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,49.037040497166,54.380039046898,54.068781709447,49.57897448937,51.965775280414,54.069313459399,51.497704588224,53.652373022298,55.191485067448,57.795468990972,61.852963499773,64.541270920578,68.711963536643,69.449988402857,86.738759915043,63.971328982679,70.953509924261,73.396159149529,70.92620412353,73.370845207736,76.548165749104,76.367877543568,80.695266000569,80.74744065957,82.886210945206,79.612082534056,80.183333281921,79.969036582193,85.619004684541,89.636246309516,87.352048287596,91.83583880103,93.695247932822,100,103.058415670113,105.768915572356,97.395416756087,81.459274637246,92.134263631344,80.761568756371
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,59.611293842051,62.350601013316,62.820275754971,62.625901194686,63.730840895727,64.083330791378,63.555182080806,64.058541972609,64.546630493776,65.850828991398,67.382554462948,69.108332275123,70.443157598004,71.596843916735,73.330011299783,73.075992346025,74.161834548122,75.620400813025,78.893151531068,80.845435034287,83.013220887469,83.737130623493,82.870755607558,83.661049344842,87.455645543153,90.881488038623,92.582677115094,93.696911472389,95.292133243292,92.189119249691,95.286438854707,97.778941110092,99.414423153465,100,101.578255217979,106.892333154507,107.634158303634,110.457494838501,111.984989719352,111.944253789288
