Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,212517.276,231428.648,231617.03600000002,220757.677,228979.79499999998,235084.89299999998,227190.53,233572.13,237804.798,246392.093,258674.688,265913.098,272619.19800000003,279617.549,294136.914,269044.7,294957.013,320869.123,346669.894,374452.803,387659.658,393378.558,386066.757,395907.258,405907.943,428179.294,447201.403,465818.722,468969.471,432578.676,469967.84,493353.224,524226.058,519256.535,526200.669,540604.128,555309.088,589080.273,603843.688,596318.409
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,14475.517,15265.512,15152.311,15423.71,15634.602,15985.592,15923.051,16093.371,15837.953,15772.675,16417.377,16642.101,16494.966,16954.697,15753.864,16309.689,16890.48,15916.034,16194.006,18283.085,17890.166,18961.737,17603.421,18753.415,19165.917,19391.578,20228.143,21332.959,21285.441,19981.701,20962.941,19806.127,22127.802,22182.283,22043.806,24075.282,23969.542,24053.682,24613.971,24378.452
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,69705.676,80667.078,78807.854,66894.103,71013.419,74449.754,66185.931,69438.041,70846.115,74349.43,80120.821,80620.452,81682.13,83203.393,91888.852,75642.698,89163.049,97974.073,111989.453,126461.653,125882.245,127798.485,123374.064,128316.879,129721.293,147165.657,155027.544,163319.387,163704.33,140226.894,158684.715,169474.253,186368.821,172755.591,173433.129,178423.51,182140.312,206637.519,210072.90899999999,207508.38999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,128336.083,135496.058,137656.871,138439.864,142331.774,144649.547,145081.548,148040.718,151120.73,156269.988,162136.49,168650.545,174442.102,179459.459,186494.198,177092.313,188903.484,206979.016,218486.435,229708.065,243887.247,246618.336,245089.272,248836.964,257020.733,261622.059,271945.716,281166.376,283979.7,272370.081,290320.184,304072.844,315729.435,324318.661,330723.73400000005,338105.336,349199.23399999994,358389.07200000004,369156.80799999996,364431.567
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.811454236784,6.59620670644,6.541967405196,6.986715121124,6.82793955685,6.799923123941,7.008677254285,6.890107565487,6.66006452906,6.401453394042,6.346727283962,6.258473585983,6.050551876394,6.063531084024,5.355962903724,6.062074071706,5.726420886965,4.960288435108,4.671304396568,4.882614004628,4.614915591759,4.820226373396,4.559683184533,4.736820207524,4.721739825623,4.528845339261,4.523273599837,4.57966972826,4.538769006565,4.619206194991,4.460505425222,4.014593608899,4.221041984143,4.271931406699,4.189239447736,4.453403285888,4.316432509025,4.083260482905,4.076215664608,4.08816022314
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,32.800004457049,34.856133282168,34.025068000611,30.30205060547,31.012962955967,31.669305947278,29.132345877269,29.728735615846,29.791709669373,30.175249982555,30.973583700621,30.31834558221,29.961987489964,29.75614130714,31.240163211884,28.115290135803,30.229167326155,30.533967271136,32.30434916278,33.77238786486,32.472361361883,32.487404918496,31.956665981474,32.410842793895,31.958303659015,34.370101278181,34.666157789313,35.060717675491,34.907246659559,32.416506355944,33.765015708309,34.351504106113,35.551231793212,33.269796209691,32.95950370599,33.004466810139,32.799807519088,35.077989956727,34.789286229982,34.798253226491
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,60.388541306167,58.547660011392,59.432964594193,62.711234273407,62.159097487182,61.530770928781,63.858976868446,63.381156818667,63.548225801567,63.423296623403,62.679689015417,63.423180831807,63.987460633642,64.180327608837,63.403873884391,65.822635792491,64.04441178688,64.505744293757,63.024346440652,61.344998130512,62.912723046358,62.692368708108,63.483650833993,62.852336998581,63.319956515362,61.101053382558,60.81056861085,60.359612596249,60.553984333876,62.964287449065,61.774478866469,61.633902284988,60.227726222644,62.458272383611,62.851256846274,62.542129903973,62.883759971888,60.838749560368,61.13449810541,61.113586550369
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,40.927222225523,44.569231661187,44.605511994182,42.514183668387,44.097624115602,45.273362423836,43.753042029601,44.982029932469,45.797169986508,47.45093732908,49.816356764773,51.210351738761,52.501832836827,53.849596519763,56.645779913006,51.813445159626,56.803717068289,61.793949882595,66.762740694251,72.113257659819,74.656673892414,75.758037017291,74.349908181704,76.245021740555,78.170984020452,82.460068413005,86.123403916332,89.708783732496,90.315564540753,83.307314755317,90.507833473872,95.011461723828,100.957045827069,100,101.33732240847,104.111184272337,106.943110114156,113.44686745252,116.290050735712,114.840809658756
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,65.25711082128,68.818489061744,68.308167378443,69.531661822185,70.482384522819,72.064683333091,71.782742109998,72.550562085967,71.399111624354,71.104831725391,74.011214265006,75.024293036023,74.360993410823,76.433507768339,71.020029813883,73.525745749434,76.144010965869,71.751108756479,73.004234956339,82.422016705855,80.650697676159,85.481449317007,79.358021895222,84.542312439166,86.40191363531,87.41921649814,91.19053706059,96.171160560886,95.956944557961,90.079551324812,94.503081580918,89.288045779598,99.754394081078,100,99.375731524118,108.533833059474,108.057146327094,108.436458050779,110.962298154793,109.90055441994
