Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,66743.109,72711.61200000001,72306.231,69600.571,71865.704,72839.614,70962.036,72840.808,74748.442,78704.239,83809.29000000001,88937.081,94163.314,98973.80900000001,102795.432,98446.76000000001,107832.469,118424.158,127273.468,127122.692,132052.641,138808.533,138511.958,144233.02,156941.599,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.849,215709.871,225272.667,233252.369,244081.49599999998,261497.59800000006,272211.72599999997,286533.451,290271.733
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1269.215,1346.584,1311.522,1327.182,1336.469,1365.931,1341.804,1350.076,1299.465,1273.873,1353.929,1373.396,1402.636,1839.16,1643.425,1342.484,1652.641,1394.774,1413.599,1714.612,1302.383,1276.943,1328.11,1517.316,1648.179,1756.109,1972.215,1596.014,1337.603,1588.44,1930.093,1990.04,1888.669,1980.193,1932.831,1969.224,1951.874,2117.442,2549.294,2100.533
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,11148.677,12633.461,12411.825,10899.69,11468.548,11942.438,10953.149,11419.161,11686.702,12297.109,13403.197,14209.393,15614.817,16307.564,16232.565,13337.801,16441.396,16285.876,18045.8,17917.744,18283.975,19760.308,18017.013,18094.012,20410.348,25215.709,27847.641,27856,29338.494,26522.353,23191.02,24080.554,23594.318,25476.781,28051.250999999997,26634.507,32924.634,29754.636000000006,31413.716,32742.467999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,54325.217,58731.567,58582.884,57373.699,59060.687,59531.245,58667.083,60071.571,61762.275,65133.257,69052.164,73354.292,77145.861,80827.085,84919.442,83766.475,89738.432,100743.508,107814.069,107490.336,112466.283,117771.282,119166.835,124621.692,134883.072,136709.846,144544.666,163452.568,172342.484,157560.953,170027.715,179983.255,190226.884,197815.693,203268.287,215477.76499999998,226621.09000000005,240339.648,252570.441,255428.73200000002
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1.901642010713,1.851951790039,1.813843678285,1.906855045773,1.859675652798,1.875258427372,1.890875848038,1.85346104343,1.738450949921,1.618557038586,1.615487972753,1.544233276556,1.489577990002,1.858228978537,1.59873349236,1.363664990092,1.53260053797,1.177778270545,1.110678464423,1.348785156312,0.986260471686,0.919931197602,0.958841401982,1.051989343356,1.050186190597,1.072880710695,1.131087320619,0.827359300361,0.658857427439,0.855509809231,0.989036429161,0.96578637558,0.875559839355,0.879020533814,0.828643673926,0.806789548684,0.746421387779,0.777865829336,0.889702054369,0.72364366254
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,16.70386226689,17.374750266849,17.165636803832,15.660345660095,15.958304673395,16.39552620364,15.435223701868,15.67687305171,15.634709817765,15.624455755172,15.992495581337,15.976905066178,16.582696951384,16.476645856885,15.791134571038,13.548237646419,15.247166417009,13.752156886773,14.178760336758,14.094843114241,13.845974500427,14.235657976444,13.007550582745,12.544985884647,13.005059289602,15.405335199916,15.970933008952,14.440299816207,14.451137356733,14.284539016507,11.883760839189,11.686534426251,10.937987163323,11.309308554508,12.026137663794,10.912136903651,12.59079787035,10.930695909845,10.963367763996,11.279936789436
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,81.394495722397,80.773297943113,81.020519517882,82.432799294132,82.182019673807,81.729215368989,82.673900450094,82.469665904859,82.626839232315,82.756987206242,82.39201644591,82.478861657265,81.927725058615,81.665125164578,82.610131936602,85.088097363489,83.220233045021,85.070064842682,84.71056119882,84.556371729447,85.167765027888,84.844410825954,86.033608015273,86.403024771997,85.944754519801,83.52178408939,82.897979670429,84.732340883432,84.890005215828,84.859951174262,87.127202731651,87.347679198169,88.186452997323,87.811670911678,87.145218662281,88.281073547665,86.662780741871,88.291438260819,88.146930181635,87.996419548024
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,29.627699573513,32.277156819917,32.097205561117,30.896145514183,31.901652764647,32.333977739075,31.500508670233,32.33450776343,33.181318885882,34.937322866604,37.203488162192,39.479747891474,41.799706663925,43.935116638007,45.631559908686,43.701156163788,47.867533347932,52.569252886769,56.497519070967,56.430588625295,58.619025005817,61.618009343317,61.486357774599,64.025974354004,69.667395112786,72.659353742192,77.401543792261,85.631596841707,90.121266687006,82.420893964912,86.627832217213,91.468641865904,95.755012746398,100,103.542241544998,108.349361354167,116.080482147441,120.836553153606,127.194059898976,128.853507558465
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,64.095519982143,68.002664386754,66.232028898193,67.022860902952,67.491855591854,68.979690363515,67.761273774829,68.179010833793,65.623148854682,64.33074957845,68.373587827045,69.356673819168,70.833297562409,92.877815445262,82.993172887693,67.795613861881,83.458582067506,70.436265555933,71.386930465869,86.588125500898,65.770508228238,64.485784971465,67.069725021753,76.624652243493,83.23325049629,88.683729313254,99.597109978674,80.59891131824,67.549122737026,80.216423348633,97.469943586307,100.497274760592,95.378026283297,100,97.60821293682,99.446064095773,98.569886874663,106.931092070318,128.739673355072,106.077185405665
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43.760147720389,49.588136743021,48.71818382393,42.782838224342,45.015687028907,46.875772885122,42.992672425924,44.821836008246,45.871972601248,48.267907158287,52.609460355294,55.773894669032,61.290384369988,64.009515173836,63.71513339931,52.352771725753,64.534824866611,63.924386679777,70.832339454502,70.329701385744,71.767210308084,77.562027950077,70.719346372683,71.021578432534,80.113527686249,98.97525515488,109.305963732231,109.338773999745,115.157774445681,104.104019263658,91.028061983184,94.519609836109,92.611064168586,100,110.105162029693,104.544239713801,129.233885552496,116.791191163436,123.303316851528,128.518858014284
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,27.462541609376,29.690044358614,29.614881969956,29.003613479746,29.856421451861,30.094298433644,29.657446338193,30.36744460916,31.222131097557,32.926233511716,34.907323555973,37.082139888669,38.998857891421,40.859794172144,42.928566845301,42.34571773838,45.36466780722,50.927965558324,54.502283092373,54.338629241109,56.854075272987,59.535864022679,60.24134546292,62.998890588524,68.186234344916,69.109707084766,73.070373643207,82.628716418368,87.122756231479,79.650380923014,85.952591739018,90.985326932581,96.16369718453,100,102.756401131431,108.928549465487,114.561734998446,121.496755062805,127.679678578383,129.124604891686
