Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,99632.046,111991.12100000001,111694.868,103658.274,108566.696,111798.755,105476.18299999999,108649.22399999999,110537.731,115676.399,123821.207,130464.03,138542.851,144989.578,155797.17599999998,146113.688,161164.076,180672.697,198181.505,204774.075,213806.309,212920.05,211977.015,212106.713,227917.275,243311.19,258448.271,271622.051,278348.405,270311.398,287403.169,308865.228,318294.372,319989.728,342666.454,362418.9110000001,377947.864,395109.80799999996,406744.73,403161.492
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3221.594,3555.254,3500.016,3615.671,3709.554,3867.406,3854.288,3944.99,3867.95,3881.784,4176.119,4311.292,4328.931,4576.141,5113.397,5227.524,4906.66,4842.47,5635.914,4804.505,5188.017,6136.075,6497.471,6498.753,6309.11,5559.968,5959.255,6741.912,6520.043,6394.13,7067.547,6612.966,7658.781,7861.136,8569.548,9083.603,8907.12,9909.08,9905.647,9810.079
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,47874.478,55380.673,54047.943,45783.568,48362.977,50318.989,44249.876,45829.215,46234.688,48341.564,52665.281,55180.164,59776.114,62015.208,66470.337,58118.325,68206.814,78959.765,88455.317,90811.215,91252.239,89278.905,83407.931,82772.045,90154.034,96990.245,100791.988,103663.741,102606.649,99340.845,107725.094,116821.677,120843.314,119646.255,134169.66100000002,143100.89800000002,151946.819,161573.61500000002,164694.24699999997,161811.47300000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,48535.974,53055.194,54146.909,54259.035,56494.165,57612.36,57372.019,58875.019,60435.093,63453.051,66979.807,70972.574,74437.806,78398.229,84213.442,82767.839,88050.602,96870.462,104090.274,109158.355,117366.053,117505.07,122071.613,122835.915,131454.131,140760.977,151697.028,161216.398,169221.713,164576.423,172610.528,185430.585,189792.277,192482.337,199927.245,210234.41000000006,217093.92500000002,223627.11299999998,232144.836,231539.94
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,3.233491762279,3.174585599514,3.133551310522,3.488067918245,3.41684341209,3.459256769004,3.654178498287,3.63094171754,3.4992124092,3.355726866982,3.372700929979,3.304582880047,3.124615213816,3.156186163946,3.282085806228,3.577709981559,3.044512227402,2.680244486526,2.843814310523,2.346246711162,2.426503232886,2.881868100256,3.065177137248,3.063907270111,2.76815787658,2.285126302658,2.305782498348,2.482093031541,2.342403578709,2.365468140563,2.459105452661,2.141052277986,2.4061942886,2.456683859552,2.50084240811,2.506382179378,2.356706003239,2.507930656077,2.435347349184,2.433287700999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,48.051284623825,49.450949776635,48.388922398834,44.16778924951,44.546789007929,45.008541463633,41.952481348325,42.180894913709,41.827064461817,41.790343075946,42.533328721307,42.29530852297,43.146299912653,42.772183253061,42.664661007719,39.776098868985,42.321350820142,43.703208238487,44.633487368057,44.347027327556,42.679862641471,41.930717656698,39.347629741838,39.023774320618,39.555594897315,39.862632294059,38.998902027865,38.164700037553,36.862668208931,36.750520227786,37.482222055805,37.82286460553,37.96589717898,37.390654927523,39.154594630964,39.484942329624,40.20311621605,40.893344515508,40.49081275128,40.135646933264
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,48.715223613896,47.374464623852,48.477526290644,52.344142832245,52.036367579981,51.532201767363,54.393340153388,54.188163368751,54.673723128983,54.853930057072,54.093970348714,54.400108596983,53.729084873531,54.071630582993,54.053253186053,56.646191149456,54.634136952456,53.616547274988,52.52269832142,53.306725961282,54.893634125642,55.187414243046,57.587193120915,57.912318409272,57.676247226104,57.852241403283,58.695315473788,59.353206930906,60.79492821236,60.884011631652,60.058672491534,60.036083116485,59.62790853242,60.152661212925,58.344562960925,58.008675490998,57.440177780711,56.598724828415,57.073839899536,57.431065365737
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,31.136013841044,34.998348759495,34.905766725112,32.39425048044,33.928181594629,34.938232454762,32.962365279426,33.953972422515,34.544149804709,36.150035103627,38.695369308855,40.771318134312,43.296030740087,45.310697598393,48.688180390591,45.661993249983,50.365390479034,56.462030243671,61.933708384539,63.99395264338,66.816616375886,66.539651547815,66.244943650191,66.285475576266,71.226434806057,76.037187668724,80.767677329942,84.884615733665,86.98666883457,84.475023523255,89.816373418087,96.523482153777,99.470184242914,100,107.08670435821,113.259545318905,118.112498911215,123.475778572492,127.11180841405,125.99201059354
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,40.98127802394,45.225702748305,44.523030768072,45.994255792038,47.188523388986,49.196528338907,49.029656782429,50.183459489824,49.20344845834,49.379428113189,53.123607071548,54.843116821793,55.06749915025,58.212210041907,65.046540347349,66.498327977025,62.416678709031,61.600130057539,71.6933786669,61.117184590115,65.995767024003,78.055830607688,82.653079656681,82.669387732257,80.256975582155,70.727284199129,75.806537375769,85.762566631591,82.940213729924,81.338498659736,89.90490687351,84.122269351402,97.425880941381,100,109.011572882087,115.550767726191,113.305761406494,126.051501971216,126.007831438103,124.792129280043
