Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,184694.565,200605.869,200500.107,194538.73700000002,200554.633,204971.121,199050.104,203337.661,205035.20500000002,211145.163,223018.377,231353.21300000002,236512.691,243240.785,249242.414,236299.97600000002,241122.48,247006.776,256351.876,263681.824,282724.645,276543.93,267364.69299999997,268247.066,284658.629,285708.482,294951.695,305622.537,316380.798,303066.175,312655.113,318762.638,330191.387,334097.307,340077.85699999996,358848.31399999995,376438.398,380987.655,390894.97000000003,399005.392
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,24862.628,27042.44,25878.076,26208.26,26335.003,27060.661,26157.329,26225.979,24460.741,23428.4,25777.013,26328.904,24445.612,25601.722,23374.768,24615.826,25289.484,26485.387,26634.854,25245.438,29754.695,31470.619,30214.883,29402.89,34594.54,32781.305,37268.739,40423.406,39832.299,37419.257,33660.45,30583.539,36053.687,36391.883,36997.539,42047.079,44884.773,42998.898,45396.391,48031.127
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43495.344,49755.898,48804.577,42147.854,44543.971,46607.678,42182.844,44489.772,46118.111,49402.026,54499.71,57362.245,60490.876,61137.854,65553.364,57273.836,57937.771,59869.004,64840.074,71584.456,76105.364,62898.965,53701.437,54453.244,61843.431,58720.154,59590.343,66000.468,73288.457,70805.221,72667.116,72556.471,69291.384,68644.477,69484.19600000001,72821.104,76321.454,74880.57100000001,78464.88599999998,76884.15
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,116336.593,123807.531,125817.454,126182.623,129675.659,131302.782,130709.931,132621.91,134456.353,138314.737,142741.654,147662.064,151576.203,156501.209,160314.282,154410.314,157895.225,160652.385,164876.948,166851.93,176864.586,182174.346,183448.373,184390.932,188220.658,194207.023,198092.613,199198.663,203260.042,194841.697,206327.547,215622.628,224846.316,229060.947,233596.12199999994,243980.13099999994,255232.171,263108.186,267033.693,274090.115
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,13.461483287286,13.480383268348,12.90676418442,13.472000694648,13.131086829592,13.202182272302,13.141077786124,12.897747948424,11.930020017782,11.095873411033,11.55824616193,11.380392629343,10.335856353687,10.525258747212,9.378326756216,10.417193609872,10.488231541082,10.722534591521,10.389958683197,9.574204856835,10.524266464284,11.379970986888,11.300999642462,10.961122683817,12.15299185608,11.473689815061,12.63553986357,13.226578902458,12.589986260797,12.346893215648,10.76600017093,9.59445535772,10.9190270914,10.892599921495,10.879137891062,11.717229079694,11.923537353913,11.286165689542,11.613449771431,12.037713766034
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,23.549877604682,24.802812723291,24.341421922533,21.665532865056,22.210392417113,22.738655949489,21.192073328432,21.879750057713,22.492776789235,23.397185755091,24.437318006309,24.794228814103,25.576164959368,25.134705103011,26.301046819423,24.237766321229,24.028357289623,24.237798237567,25.293387749579,27.148043393389,26.918546135234,22.744655794832,20.085463191656,20.299660612131,21.725472091696,20.552471382351,20.20342449634,21.595419188605,23.16463497889,23.362957281524,23.241940713121,22.761911952806,20.985218490875,20.546252711938,20.431849522035,20.293004358382,20.274619806452,19.654330007097,20.073137804766,19.268950129877
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,62.988639108032,61.716804008361,62.751813893047,64.862466440296,64.658520753295,64.05916177821,65.666848885444,65.222501993863,65.577203192983,65.506940833876,64.004435831761,63.825378556554,64.087978686945,64.340036149777,64.320626424361,65.3450400689,65.483411169295,65.039667170912,64.316653567224,63.277751749776,62.557187400483,65.87537321828,68.613537165882,68.739216704052,66.121536052224,67.973838802588,67.16103564009,65.178001908936,64.245378760313,64.290149502827,65.99205911595,67.643632689475,68.095754417725,68.561147366567,68.689012586903,67.989766561924,67.801842839635,69.059504303361,68.313412423803,68.69333610409
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,55.281668283546,60.044144264832,60.012488217991,58.228166741853,60.028808612935,61.350725284356,59.578482025897,60.861807844503,61.369906522473,63.198702466644,66.752521593956,69.247254662846,70.79155864013,72.805371340512,74.601742898814,70.727890063478,72.171333006285,73.932585155498,76.72970437921,78.92366040532,84.623443253315,82.773468748732,80.025994642333,80.290101230897,85.202311732492,85.5165474291,88.283170447704,91.477102807057,94.697200896624,90.711947881699,93.582051231559,95.410118944778,98.830903476872,100,101.790062318581,107.408322809378,112.673281140814,114.034937432166,117.00033547412,119.427898291919
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,68.319157873749,74.308988078468,71.109472406251,72.016773630537,72.365046348385,74.359056935856,71.876822092443,72.065463059441,67.214826449074,64.378092224577,70.831764874601,72.348287116663,67.173253991831,70.350088782161,64.23071870175,67.640979171097,69.492100752247,72.778281354664,73.188996568273,69.371068268163,81.761900036885,86.477028407681,83.026434768435,80.795187212489,95.061143167557,90.078617256491,102.409482356272,111.078082989001,109.453800453249,102.823085576528,92.494389476906,84.039451874474,99.070682877278,100,101.664261231,115.539718018988,123.337319478632,118.155188617198,124.743176933164,131.983077105408
