Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,128925.72699999998,141415.626,140984.462,133967.308,138617.202,141215.576,135400.479,138376.241,140315.13199999998,145901.19,154325.367,161068.505,166945.209,172437.262,184720.676,165745.098,178316.553,189892.922,200417.267,205890.044,216125.565,214292.425,214907.08000000002,224280.267,237464.465,247240.388,258649.446,264315.631,270024.005,255845.961,269397.22,283881.746,297293.962,307896.47,316716.343,329359.358,342065.043,354677.904,369840.93999999994,368700.80299999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5464.759,5952.514,5819.802,5963.488,6070.144,6285.514,6206.823,6304.543,6084.785,6004.87,6489.638,6649.618,6604.318,7698.929,8067.338,6317.372,6434.309,6234.473,7389.951,6969.006,7014.596,7838.793,8256.864,9115.138,9253.648,9352.102,9480.871,9783.812,10156.886,9398.953,10242.671,9084.733,9560.369,11505.111,12797.498,12718.868,13198.595,13846.161,14902.269,14381.121
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,50040.92,55930.721,54908.496,48582.899,50740.893,52512.685,48286.459,50071.171,51111.066,53533.712,57556.581,59623.675,61916.519,61624.501,68430.038,57533.989,65635.406,70132.833,73422.587,75955.404,79678.547,74950.191,73315.621,76821.585,83296.495,88270.713,92615.879,92883.101,96216.144,91221.121,95900.704,103786.458,112441.671,117201.817,120452.99,126859.641,133293.691,140412.91199999998,146493.169,144419.555
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,73420.048,79532.391,80256.164,79420.921,81806.165,82417.377,80907.197,82000.527,83119.281,86362.608,90279.148,94795.212,98424.372,103113.832,108223.3,101893.737,106246.838,113525.616,119604.729,122965.634,129432.422,131503.441,133334.595,138343.544,144914.322,149617.573,156552.696,161648.718,163650.975,155225.887,163253.845,171010.555,175291.922,179189.542,183465.855,189780.84900000002,195572.757,200418.83099999998,208445.50199999998,209900.127
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.238687752368,4.209233568008,4.127974045821,4.451450200074,4.379069778078,4.451006169461,4.58404803723,4.556087775213,4.336513755338,4.115710091193,4.205166089124,4.128440876756,3.955979353681,4.464771077147,4.367317278549,3.811498545797,3.60836326844,3.283151859657,3.687282593271,3.384819326184,3.245611411126,3.657988843983,3.842062346201,4.064172975146,3.896855893786,3.782594775737,3.665529212075,3.701563907887,3.761475206621,3.673676521319,3.802070043633,3.200182163174,3.215796558963,3.736681683944,4.040681285588,3.861699293208,3.858504477466,3.903869072148,4.029372464822,3.900485402523
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,38.813758250128,39.550594642207,38.94648759237,36.264742290709,36.60504776312,37.186184759109,35.661955819226,36.18480357477,36.425911640093,36.691758305741,37.295606107323,37.017587640737,37.087928051892,35.737346026754,37.045142688846,34.712332186138,36.808364055804,36.93283154598,36.634860907469,36.891246669509,36.866784824831,34.975660478899,34.115032878396,34.252494001178,35.077456747055,35.70238411048,35.807491735358,35.140979233271,35.632440900949,35.654704355485,35.59825301835,36.559750481456,37.821713647854,38.065333129672,38.031820164077,38.517090199089,38.967352475126,39.588852425383,39.609776300049,39.169850953647
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,56.947553997504,56.240171789785,56.925538361809,59.283807509217,59.015882458802,58.36280907143,59.753996143544,59.259108650018,59.237574604569,59.192531603066,58.499227803554,58.853971482507,58.956092594427,59.797882896099,58.587540032606,61.476169268065,59.583272675757,59.784016594363,59.677856499261,59.723934004308,59.887603764043,61.366350677118,62.042904775403,61.683333023676,61.025687359159,60.515021113783,60.526979052567,61.157456858842,60.60608389243,60.671619123196,60.599676938017,60.24006735537,58.962489793183,58.197985186384,57.927498550335,57.621210507703,57.174143047409,56.507278502469,56.360851235128,56.92966364383
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,41.873077336678,45.929602895415,45.789567512742,43.510504683604,45.020718165428,45.864629756879,43.975976405316,44.942457768353,45.572179505663,47.38644454092,50.122486626755,52.312553307285,54.221215657328,56.004949325986,59.994411757952,53.831438210383,57.914451893521,61.674277071121,65.092421163516,66.869894286219,70.194232821182,69.598857369167,69.798487783897,72.842753604808,77.124776714718,80.299844944634,84.00533010333,85.845619145942,87.69961052168,83.094801639006,87.496040471006,92.200389955754,96.556469777,100,102.864558011984,106.970813273696,111.097422779806,115.193884489809,120.118603503314,119.748304681765
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,47.49853347786,51.737997138837,50.584492405158,51.833380833962,52.760412307191,54.632362955907,53.948397368787,54.797759013364,52.887668793461,52.19306445631,56.406565742825,57.797078185513,57.40334013292,66.9174682452,70.119601627485,54.90926597753,55.92565773594,54.188725341285,64.231896589264,60.573131367442,60.969390038914,68.133136655526,71.766921675071,79.226858393631,80.430758121325,81.286499539205,82.405732547909,85.0388318722,88.281512451292,81.693718556909,89.027137591284,78.962584541775,83.096712408946,100,111.233155421099,110.549720033123,114.719406010077,120.347913201359,129.527381352514,124.997672773431
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,42.696368777286,47.721718341619,46.849526232174,41.452342842091,43.2936061051,44.80535058599,41.199411609805,42.722179810574,43.60944847809,45.676520526981,49.10894939453,50.872654132999,52.828975339179,52.579817085942,58.38649924685,49.089673242865,56.002037920624,59.83937348002,62.64628730116,64.807360452441,67.984054376904,63.949683476324,62.555020798014,65.54641128132,71.070992866945,75.315140378754,79.022562423243,79.250564007894,82.094413263235,77.832514320149,81.825270678184,88.553625410091,95.938504946557,100,102.773995389508,108.240336410484,113.730055055375,119.804381531047,124.99223369549,123.222965903336
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,40.973400110594,44.3845048725,44.788419627748,44.322297001016,45.653426024159,45.994524055427,45.151740496106,45.761893291741,46.386234415399,48.196232344854,50.381929097179,52.902201178683,54.927520267896,57.544559157364,60.395991190156,56.863662835859,59.292990435792,63.355045575149,66.747605728017,68.623220210028,72.232129484432,73.387899501412,74.409808469738,77.20514403681,80.872086831943,83.496822041099,87.367094224729,90.21102247139,91.328418597108,86.626644204493,91.106792939959,95.435566769851,97.824861899586,100,102.386474652634,105.910672510118,109.142952661824,111.847392857335,116.326823358921,117.138603434792
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,9.687670017948,-0.304891342064,-4.977253450809,3.47091694938,1.874496067234,-4.11788640086,2.197748502795,1.4011733416,3.981080244432,5.773891905885,4.369429427633,3.648574251062,3.289733819196,7.123410484214,-10.272579340279,7.584812553551,6.492032739103,5.542252385795,2.730691363035,4.971353058723,-0.848182860737,0.28683001744,4.361506842864,5.878447612157,4.116794064325,4.614560789316,2.190681282186,2.15968082493,-5.250660584788,5.296647618369,5.376642713685,4.724578522213,3.56633815523,2.864558011984,3.991904832016,3.857696674281,3.687269792137,4.2751566503,-0.308277661202
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,8.925462220749,-2.229511765953,2.468915609156,1.78848351837,3.548021266052,-1.251942164157,1.574396434376,-3.485708638993,-1.313357826119,8.072914151347,2.465160614506,-0.681242140526,16.574171625291,4.785198045079,-21.691988113055,1.851038691405,-3.105788049657,18.533691620767,-5.696181206073,0.654182246363,11.749742964527,5.333359357748,10.394672844315,1.519560098816,1.063947969493,1.37689901158,3.195286593394,3.813176295702,-7.462257625024,8.976723258431,-11.305039476519,5.235552877558,20.341704384004,11.233155421099,-0.614416974318,3.77177434344,4.90632525659,7.627442725821,-3.497105038166
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,11.769969456996,-1.827662833097,-11.520251802198,4.441879847475,3.491842368639,-8.048009733267,3.696092107313,2.076833793242,4.739963748751,7.514646098145,3.591412075015,3.845526126996,-0.471631811213,11.043557172171,-15.922903623114,14.081097349256,6.852135568416,4.690747342261,3.449642819042,4.901748662939,-5.934289941306,-2.180875029391,4.78201500878,8.428503525409,5.971701450343,4.922545487992,0.288527197372,3.588427780851,-5.191460385276,5.129933669638,8.222832232806,8.339443475371,4.233435840704,2.773995389508,5.318797814816,5.071786384765,5.341003723875,4.3302691422,-1.415502179491
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,8.325168896648,0.910035509935,-1.040721308335,3.00329430831,0.747146623974,-1.832356300298,1.351338373519,1.364325378055,3.902015225565,4.534995052488,5.002333429199,3.828421207603,4.764531289059,4.955172260498,-5.848613930642,4.272196827956,6.850818468593,5.354838153884,2.810010129282,5.259020581311,1.600077452,1.392476110188,3.756676202451,4.749609421601,3.245539112414,4.63523292147,3.255148030156,1.238647002446,-5.148205197066,5.171790707822,4.751318414583,2.503568858659,2.22350234713,2.386474652634,3.442054108651,3.051892765007,2.477888062906,4.004948517038,0.697844273944
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,9.687670017948,-0.304891342064,-4.977253450809,3.47091694938,1.874496067234,-4.11788640086,2.197748502795,1.4011733416,3.981080244432,5.773891905885,4.369429427633,3.648574251062,3.289733819196,7.123410484214,-10.272579340279,7.584812553551,6.492032739103,5.542252385795,2.730691363035,4.971353058723,-0.848182860737,0.28683001744,4.361506842864,5.878447612157,4.116794064325,4.614560789316,2.190681282186,2.15968082493,-5.250660584788,5.296647618369,5.376642713685,4.724578522213,3.56633815523,2.864558011984,3.991904832016,3.857696674281,3.687269792137,4.2751566503,-0.308277661202
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.378322473993,-0.093845357655,0.101916195559,0.079613453157,0.155370326981,-0.055724022965,0.072171088848,-0.158811945181,-0.056953942786,0.33225774238,0.103664098204,-0.028124678999,0.65567080754,0.213648138301,-0.947357944922,0.070552312805,-0.112068115179,0.60848924111,-0.210034298093,0.022142887103,0.381350998435,0.195093690316,0.399369811362,0.061757550877,0.041460519156,0.052082510079,0.11712416349,0.141147157506,-0.280690970419,0.329775774729,-0.429825519358,0.167547229331,0.654147829615,0.419747261149,-0.024826631697,0.145654583162,0.189310779705,0.297765377569,-0.140911387474
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,4.568367491152,-0.722851518544,-4.486733438753,1.61083627955,1.278190566853,-2.992747768844,1.318098734348,0.751498228659,1.726575006892,2.757255783863,1.339438901188,1.423521004308,-0.174918466813,3.946674240281,-5.89866236739,4.887877287327,2.52215900562,1.732425814165,1.263771848561,1.808316190364,-2.187781903543,-0.762775445749,1.631385992495,2.88697266443,2.094720993307,1.757466098136,0.103314352353,1.26100866127,-1.84984405368,1.829062683542,2.927184623509,3.048879726138,1.601157981137,1.055930586018,2.022835619821,1.953504536525,2.081247746792,1.714303860327,-0.560677246819
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,4.740980052802,0.511805534135,-0.592436207616,1.780467216674,0.440935173399,-1.069414609051,0.807478679599,0.808487058121,2.311459180326,2.684378379641,2.92632642824,2.253177925753,2.808981478468,2.963088105633,-3.426559027967,2.626382953419,4.081941848663,3.201337330519,1.676953812568,3.140893981255,0.958248044372,0.854511772873,2.330751039007,2.92971739685,1.980612551861,2.8050121811,1.970242766343,0.757525006154,-3.120125560689,3.137809160098,2.879283609534,1.508151566744,1.311032344478,1.388880164816,1.993895843891,1.758537554594,1.416711265641,2.263087412403,0.39331097309
