Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,221500.467,245893.63799999998,244165.605,227462.571,236403.169,242828.734,228241.709,233792.153,235394.75900000002,243762.016,260798.505,272610.30199999997,286551.069,294343.952,320743.84400000004,304399.502,318748.724,351715.556,375189.623,389003.503,421682.694,407775.04000000004,376131.733,365533.727,384484.325,404881.254,429625.189,435397.343,436717.189,410374.271,431501.919,471510.171,495926.031,510315.674,522896.949,549606.8230000001,578945.379,575986.463,581413.804,580480.5819999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,19533.33,21367.857,20469.82,20795.017,20951.499,21601.412,20904.769,21009.516,19584.297,18759.484,20777.278,21320.481,20933.738,20842.015,22348.621,22318.855,23524.098,22371.238,22506.308,22101.2,20091.445,22673.513,22233.966,24566.362,22402.721,24960.046,23896.859,27050.252,27929.827,28031.463,28628.166,27827.145,31064.156,29942.431,30501.329,33468.708,34995.562,38176.837,39473.148,40516.849
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,113029.825,129260.046,127260.174,110494.618,116348.493,120829.154,107603.047,111117.366,112100.917,117122.69,127241.148,132949.463,142475.53,144651.422,162394.591,148518.741,156430.966,179585.163,188943.02,196857.811,217610.33,198356.589,173853.358,153963.981,167916.813,179740.87,199852.804,198602.064,193866.043,173918.607,179471.684,208191.031,218906.577,228563.888,234614.78100000002,248732.17500000002,266045.851,258986.8,254569.90800000002,254679.446
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,88937.312,95265.735,96435.611,96172.936,99103.177,100398.168,99733.893,101665.271,103709.545,107879.842,112780.079,118340.358,123141.801,128850.515,136000.632,133561.906,138793.66,149759.155,163740.295,170044.492,183980.919,186744.938,180044.409,187003.384,194164.791,200180.338,205875.526,209745.027,214921.319,208424.201,223402.069,235491.995,245955.298,251809.355,257780.83899999998,267405.94,277903.96599999996,278822.826,287370.748,285284.287
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,8.818640549412,8.6898779382,8.383580480142,9.142170911275,8.862613427995,8.895739661518,9.159048576875,8.986407683238,8.319767646144,7.695819187843,7.96679336793,7.820864011221,7.305412634842,7.080836843558,6.967747446464,7.332093138576,7.380138720179,6.360605215881,5.998648848558,5.68149125382,4.764588465658,5.560299374871,5.911217812617,6.720682712816,5.826692934751,6.164781835022,5.56225743086,6.212773788103,6.395403639585,6.830706742821,6.634539671653,5.901706200946,6.263868814743,5.86743314492,5.833143424977,6.089572872715,6.044708753086,6.628078861638,6.78916594832,6.979880164191
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,51.029158778252,52.56746252215,52.120434407623,48.577054903684,49.216130854828,49.759001749768,47.144339862965,47.528270121196,47.622520346768,48.047965766742,48.789063418903,48.769053122578,49.720816082525,49.143670531406,50.630618182652,48.790730610328,49.076577950474,51.059772573722,50.359340562039,50.60566536852,51.605231397047,48.643631792667,46.221401372694,42.120321499088,43.673253259414,44.393477896114,46.517943807061,45.613981617706,44.391667624514,42.380485154733,41.59232580377,44.154091216836,44.140973313821,44.78872581131,44.868263517063,45.256384126076,45.953532172506,44.964042844181,43.784634325607,43.873895854108
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,40.152200672335,38.74265953965,39.495985112236,42.280774185042,41.921255717177,41.345258588714,43.69661156016,43.485322195566,44.057712007089,44.256215045415,43.244143213168,43.410082866201,42.973771282633,43.775492625036,42.401634370885,43.877176251097,43.543283329348,42.579622210398,43.642010589403,43.71284337766,43.630180137295,45.796068832462,47.867380814689,51.158995788096,50.500053805835,49.441740268864,47.919798762079,48.173244594191,49.212928735901,50.788808102446,51.773134524577,49.944202582218,49.595157871437,49.343841043769,49.29859305796,48.654043001209,48.001759074408,48.407878294181,49.426199726073,49.146223981701
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,43.404598033177,48.184614059101,47.845993654508,44.572914881701,46.324888896123,47.584024236732,44.725592535886,45.813241668137,46.127283756524,47.766907508312,51.105329169255,53.419935128232,56.151727959663,57.678799025091,62.852046359054,59.649255844726,62.461088349797,68.921174465043,73.521085499718,76.228013917519,82.631734725044,79.906430622392,73.705698680931,71.628943734932,75.34244872126,79.339372593913,84.18812333011,85.319218119881,85.577851367348,80.415768495482,84.555881973557,92.395784613898,97.180246711372,100,102.465390667189,107.699381187339,113.448480714312,112.868659997302,113.932186217741,113.749314703589
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,65.236286258788,71.363133474366,68.36392141974,69.449995559813,69.972605096761,72.143146960913,69.81653894435,70.166366919239,65.406502898846,62.651840126141,69.390751873153,71.204909848502,69.913287935773,69.60695676313,74.638632380918,74.539221614972,78.564422507979,74.714167329967,75.165266307201,73.812310029202,67.100246469634,75.723687899623,74.255714240437,82.045315559047,74.819312433249,83.360118622299,79.809348145446,90.340867780575,93.27842151494,93.617859551885,95.610693734253,92.935490107667,103.746272305011,100,101.866575228979,111.776856060886,116.876154778481,127.500793105276,131.830137639793,135.315829900385
