Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,260401.114,283903.456,284156.587,270729.478,281155.501,288891.07200000004,281594.48099999997,290266.005,297533.658,309911.698,326245.946,339938.637,352529.132,364000.636,365675.13399999996,360899.36399999994,392397.20700000005,403061.685,417344.87,411433.725,409384.762,397437.80700000003,374453.37200000003,374891.404,391243.029,421079.732,445309.616,454079.113,475202.827,495944.159,525011.917,549751.131,564003.811,553628.205,564794.2379999999,562212.3049999999,534685.495,509388.36100000003,467226.44600000005,448090.72
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5802.136,5991.582,5907.885,5948.646,5977.819,6055.562,6016.251,6053.513,5972.873,5956.982,6154.337,6238.464,6227.086,6405.807,7285.432,7240.545,6930.303,6705.549,6191.874,6713.374,7156.31,7705.974,8172.208,7782.003,8729.628,7684.964,8277.707,7384.184,7262.804,7017.114,7148.114,6829.508,7692.769,7594.783,7512.501,7666.25,7773.657,8817.553,9122.144,8624.106
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,182807.387,199997.519,199977.405,187844.476,196213.055,203763.268,198675.027,206780.841,213620.743,223333.326,236147.333,245874.238,255581.479,262744.102,259218.814,255595.37,286210.895,289685.881,302983.834,293750.681,284930.026,271809.977,247742.708,246556.346,257398.454,282578.432,300337.281,306777.842,323711.461,350470.786,373455.023,390965.103,396940.424,381269.553,390177.14099999995,381719.80299999996,355071.833,329725.51,288192.472,266150.876
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,71791.591,77914.355,78271.297,76936.356,78964.627,79072.242,76903.203,77431.651,77940.042,80621.39,83944.276,87825.935,90720.567,94850.727,99170.888,98063.449,99256.009,106670.255,108169.162,110969.67,117298.426,117921.856,118538.456,120553.055,125114.947,130816.336,136694.628,139917.087,144228.562,138456.259,144408.78,151956.52,159370.618,164763.869,167104.59599999996,172826.25199999998,171840.00499999998,170845.29800000004,169911.83000000002,173315.738
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2.228153294306,2.110429398929,2.079094861876,2.197265714818,2.126161138138,2.096140236553,2.13649464245,2.085505328121,2.007461286951,1.922154613215,1.886410260558,1.835173563986,1.766403237279,1.759834013037,1.992323601637,2.00625041833,1.766144833951,1.66365329416,1.483634865333,1.63170240845,1.748064575007,1.938913174408,2.182436749428,2.075801930097,2.231254579107,1.825061482655,1.85886554042,1.626188870749,1.528358752798,1.414900019016,1.361514618724,1.24229085033,1.363956918369,1.37182010082,1.330130602359,1.363586305711,1.453874674494,1.731007945036,1.952403182246,1.924633922345
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,70.202229242383,70.445609158065,70.37577664881,69.384566980918,69.788090327993,70.532905911333,70.553594052861,71.238394244617,71.797168910551,72.063535336443,72.383223729008,72.329006249443,72.49939247574,72.18231948364,70.88773337265,70.82178454601,72.939075481238,71.871351651795,72.59795334252,71.396840645477,69.599568046453,68.390568841882,66.161163585409,65.76740447215,65.789914431932,67.10805829049,67.444598142251,67.560438966943,68.120693440235,70.667388583964,71.132675451251,71.116743732538,70.379032243809,68.867436585894,69.083059767334,67.8960242608,66.407605278314,64.72969059456,61.681541031605,59.396649856975
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,27.569617463311,27.443961443006,27.545128489314,28.418167304264,28.085748533869,27.370953852115,27.309911304689,26.676100427262,26.195369802498,26.014310050342,25.730366010433,25.835820186571,25.734204286981,26.057846503323,27.119943025713,27.17196503566,25.294779684811,26.464995054045,25.918411792147,26.971456946073,28.65236737854,29.670517983711,31.656399665163,32.156793597753,31.978830988961,31.066880226855,30.696536317329,30.813372162309,30.350947806967,27.91771139702,27.505809930025,27.640965417132,28.257010837822,29.760743313286,29.586809630307,30.74038943349,32.138520047192,33.539301460404,36.366055786149,38.67871622068
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,47.035377108361,51.280526070741,51.326248271618,48.900954748142,50.784172204521,52.181422368104,50.863463684983,52.429771889964,53.742503599505,55.978307319079,58.928707579123,61.401972285715,63.676151037139,65.748210209052,66.050669148982,65.188037881849,70.877387289183,72.803676069936,75.383599721044,74.315889487603,73.945792194601,71.787853908202,67.636252744746,67.715372991158,70.668912000248,76.058215278248,80.43477770429,82.018782442632,85.834287832211,89.580724847644,94.831136177392,99.299697167705,101.874110803296,100,102.016882972933,101.550517101996,96.578442025005,92.009105822201,84.393540968528,80.937119162851
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,76.396336801196,78.89075961749,77.788726814183,78.325424176043,78.709543116637,79.733180000008,79.215574691206,79.706200953997,78.644419465309,78.435183730727,81.033743821252,82.141438405811,81.991625040505,84.344832498835,95.926796065141,95.335771937131,91.250836264841,88.291515373119,81.527990990658,88.394546624966,94.226655323793,101.464044463153,107.602916370356,102.465113223116,114.942428243177,101.187407197809,108.992014650057,97.227057046923,95.628854701971,92.393870897957,94.118739139749,89.923675238647,101.290175110994,100,98.916598407091,100.941001210963,102.355221999101,116.100130839815,120.110660172911,113.553027124014
