Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,202148.87900000002,221052.973,221369.064,210483.54599999997,219047.449,225716.153,217158.391,223405.46600000001,226770.704,234558.243,247200.298,254454.63900000002,261905.02599999998,265972.07,285145.729,265067.246,288134.319,308451.314,337995.713,360018.466,379569.364,361511.30999999994,375490.517,391574.439,410112.746,436490.981,449609.24,464007.812,483350.662,439739.323,448215.116,456768.535,466371.322,473241.401,477891.309,492586.952,500458.04800000007,498369.426,508491.92799999996,517770.157
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,10770.541,11602.03,11284.066,11474.405,11601.451,11923.549,11727.179,11846,11419.762,11246.487,12038.212,12297.156,12052.001,14475.386,16324.346,14798.029,15930.266,13048.58,13855.223,13358.778,12352.481,11233.343,10700.964,14656.871,16375.782,14853.59,15124.652,16633.801,16693.497,16254.413,17531.956,15588.875,15684.243,14373.989,17619.59,16039.126,17271.892,16221.025,14994.273,15058.703
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,88053.295,100260.083,99230.27,87605.525,92791.025,97165.149,88370.889,91856.197,92836.802,96166.723,102712.013,103786.263,106107.627,101769.475,109375.772,96926.898,112698.474,124248.48,141946.661,156703.333,163849.256,146388.338,152724.655,159938.238,170067.117,190489,196103.529,202936.104,219839.068,190057.632,185238.668,183129.489,183669.349,184994.252,184394.63400000002,188856.178,184818.52099999998,178258.11800000002,183442.66,189357.81
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,103325.043,109190.86,110854.728,111403.616,114654.973,116627.455,117060.323,119703.269,122514.14,127145.033,132450.073,138371.22,143745.398,149727.209,159445.611,153342.319,159505.579,171154.254,182193.829,189956.355,203367.627,203889.629,212064.898,216979.33,223669.847,231148.391,238381.059,244437.907,246818.097,233427.278,245444.492,258050.171,267017.73,273873.16,275877.085,287691.648,298367.63500000007,303890.28299999994,310054.99499999994,313353.64400000003
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5.328024104452,5.248529274474,5.09739969809,5.451449872476,5.296318698512,5.282541298673,5.400288216355,5.302466502767,5.035818912482,4.794752406122,4.869820990264,4.832749777456,4.601668468936,5.442445892909,5.724913382799,5.582745217793,5.52876382629,4.230353189547,4.099230394677,3.710581334459,3.254340885109,3.107328232691,2.849862650459,3.743061226731,3.992995136025,3.402954619124,3.363954886692,3.58481055056,3.453703141923,3.696374681506,3.911504849828,3.412860958122,3.363037618338,3.037348163036,3.686945058045,3.256100457976,3.451216754136,3.254819447933,2.948773062923,2.908376003602
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,43.558636305868,45.355681780403,44.825716930348,41.621079967933,42.361152993843,43.047494700125,40.694208772251,41.1163605997,40.938622301054,40.999080556721,41.550116982464,40.787726805798,40.513780365559,38.26321876579,38.357850346761,36.566908760957,39.113172769954,40.281391052852,41.996586211139,43.526470944965,43.167144543309,40.493432418477,40.673372052163,40.844912759998,41.468381233877,43.640993351934,43.616436575013,43.735492970537,45.48231445269,43.220522263823,41.328072478484,40.092404569855,39.382642185705,39.09088503438,38.585057005086,38.339663126116,36.929872891164,35.768269219629,36.075825376721,36.571789130751
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,51.113339589679,49.395788945123,50.076883371563,52.927470159592,52.342528307645,51.669964001203,53.905503011394,53.581172897533,54.025558786465,54.206167037157,53.580062027272,54.379523416745,54.884551165505,56.294335341301,55.917236270441,57.850346021251,55.358063403756,55.488255757601,53.904183394184,52.762947720576,53.578514571582,56.399239348833,56.476765297378,55.412026013271,54.538623630098,52.956052028942,53.019608538294,52.679696478903,51.063982405387,53.08310305467,54.760422671689,56.494734472023,57.254320195958,57.871766802584,57.72799793687,58.404236415909,59.6189103547,60.976911332438,60.975401560357,60.519834865647
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,42.715806050114,46.710404570035,46.777197331474,44.476993254443,46.286620007703,47.695774825077,45.887445718216,47.207506682198,47.918610569746,49.564184896832,52.235560430183,53.768465409475,55.342796603715,56.202198167358,60.253758102622,56.011001032431,60.885273011015,65.178429729144,71.421416698916,76.075014831595,80.206288629426,76.390465676945,79.344392989826,82.743064781012,86.660369344989,92.234318484743,95.006320040879,98.048862804377,102.136174260882,92.920721236729,94.71172958513,96.519140978538,98.5482929039,100,100.982565766684,104.08788220116,105.751112844838,105.309768956584,107.448741155257,109.409311168868
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,74.930772522506,80.715450665783,78.50337161104,79.827562133239,80.711422556397,82.952261894732,81.586113639018,82.412752646464,79.447410179596,78.241934093591,83.749973650321,85.551449914147,83.845903875396,100.705420047281,113.568655158982,102.950050956627,110.827036252776,90.779114969408,96.390939216664,92.937165876501,85.936346549312,78.150491140629,74.446724566159,101.968013193832,113.926495978256,103.336589446395,105.222370769868,115.721537006881,116.136842737253,113.082130506709,121.9700112474,108.451975300663,109.115451528452,100,122.579681951892,111.584376473365,120.160743131221,112.849849822481,104.315322628952,104.763562849533
