Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,48014.674,52400.614,52438.25199999999,50152.905,51967.69,53215.919,51541.456,52747.009999999995,53498.337,55287.104,58147.663,60743.993,63371.953,64426.392,66648.219,62646.66100000001,68466.659,75028.603,75936.84599999999,81438.95499999999,84470.63399999999,87301.193,84518.041,83254.186,89789.73,79279.279,77889.934,79019.573,83246.79,81739.53,88809.886,86031.739,89918.601,87657.644,90362.51800000001,96458.62,96859.66700000002,95585.22700000001,98881.59900000002,103823.011
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,2295.869,2500.355,2427.331,2477.377,2509.212,2590.167,2533.49,2557.134,2425.67,2353.755,2556.92,2586.121,2397.737,2686.106,2709.199,2662.954,2689.661,2511.595,2357.757,2102.715,2834.255,3211.734,2458.856,3334.045,2770.412,3052.572,3226.241,3000.407,3584.674,3185.464,3559.012,2346.447,3557.616,3235.906,3361.955,3372.538,3296.615,3240.95,3282.368,3415.34
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,25021.498,27689.848,27545.6,25310.211,26425.641,27329.967,25933.11,26713.714,27176.22,28108.285,29668.053,30985.985,32746.468,32247.489,32586.106,28685.36,32218.188,35314.382,35316.383,39879.644,39804.856,41809.587,39383.789,36489.62,42524.514,31010.406,26499.224,27399.417,28932.571,29194.251,34176.213,30452.286,31934.601,28331.63,30547.3,34680.756,34327.05700000001,32312.226000000002,35027.978,39665.069
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,20697.307,22210.411,22465.321,22365.317,23032.837,23295.785,23074.856,23476.162,23896.447,24825.064,25922.69,27171.887,28227.748,29492.797,31352.914,31298.347,33558.81,37202.626,38262.706,39456.596,41831.523,42279.872,42675.396,43430.521,44494.804,45216.301,48164.469,48619.749,50729.545,49359.815,51074.661,53233.006,54426.384,56090.108,56453.263000000006,58405.326,59235.995,60032.05100000001,60571.253000000004,60742.60199999999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,4.781598642115,4.771613935669,4.62893194838,4.939648062261,4.828407804926,4.867278529945,4.915441271197,4.847922185542,4.534103555406,4.257330968177,4.397287643357,4.257410275943,3.783593350831,4.169263428565,4.064923325258,4.250751688107,3.928424490525,3.347516679739,3.104891925588,2.581952334727,3.355313989948,3.678911925064,2.909267620152,4.00465749554,3.085444181645,3.850403331746,4.142051269423,3.797042790904,4.306080750982,3.897091162624,4.007450251653,2.727420167573,3.956485043623,3.691527461085,3.720519386146,3.496357298083,3.403496111545,3.390639015797,3.319493245654,3.289579031762
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,52.112189702673,52.842602187829,52.529592328898,50.46609164514,50.850135920992,51.356750975211,50.315051247291,50.644982530763,50.798251915756,50.840581195933,51.021918112169,51.010780605088,51.673439825975,50.053228186362,48.892688340254,45.789128330399,47.056755025829,47.067892227715,46.50757156809,48.968757027887,47.122714859699,47.891197775499,46.59808549041,43.8291715446,47.36010900133,39.115398615066,34.021371747471,34.674215463047,34.75517914865,35.716196312849,38.482442146137,35.396571490901,35.515010959746,32.320775128293,33.805277537751,35.954024637715,35.4399907239,33.804623385997,35.424162184109,38.204506513493
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,43.106211655212,42.385783876502,42.841475722722,44.594260292599,44.321456274081,43.775970494844,44.769507481512,44.507095283695,44.667644528838,44.90208783589,44.580794244474,44.731809118969,44.542966823194,45.777508385073,47.042388334488,49.960119981494,49.014820483646,49.584591092546,50.387536506323,48.449290637386,49.521971150353,48.429890299437,50.492646889438,52.16617095986,49.554446817025,57.034198053189,61.836576983105,61.528741746048,60.938740100369,60.386712524528,57.51010760221,61.876008341526,60.528503996631,63.987697410622,62.474203076103,60.549618064202,61.156513164556,62.804737598207,61.256344570237,58.505914454745
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,54.775227588823,59.778715932635,59.821653431616,57.214525409786,59.284835444585,60.708817362237,58.798586920725,60.173885120618,61.031000331243,63.071628984233,66.334959903782,69.296857898668,72.294839455188,73.497745387727,76.032409677814,71.467425020002,78.106889343273,85.592767015276,86.628892284625,92.905708257457,96.364253184811,99.593360049695,96.418335176793,94.976527089868,102.432287593766,90.441945941417,88.856978633831,90.145672863396,94.968089719591,93.248604765148,101.31447977315,98.145164613368,102.579303865388,100,103.085725187868,110.040169457441,110.497684605806,109.043801131593,112.804308315656,118.441480129217
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,70.949805093226,77.26908630844,75.012407653374,76.558991515823,77.542796360587,80.04456866176,78.293065373345,79.023741727974,74.961077361333,72.738670406372,79.017128433273,79.919534127382,74.097856983485,83.009395204929,83.723043870867,82.293923247462,83.119256245392,77.61643879643,72.862345197914,64.980719464657,87.587680235458,99.253006731345,75.986632491797,103.032813684946,85.614724284327,94.334384249728,99.701320124874,92.722316408449,110.778063392447,98.441178452032,109.985024286861,72.512829482686,109.941883355079,100,103.89532328813,104.222372343325,101.876105177344,100.155875974148,101.435826627844,105.545093089849
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,88.316478790666,97.734750877376,97.22560968077,89.335527112277,93.272575563072,96.464506277966,91.534126345713,94.28936492535,95.921837183388,99.211676137236,104.717070638011,109.368874999426,115.58271797281,113.821509740174,115.016700415754,101.248533882449,113.718088228598,124.646488747735,124.653551525274,140.760146874712,140.496173358187,147.572119923915,139.009965187319,128.794636948174,150.095543390903,109.45507194609,93.532295882729,96.709638661807,102.12109575058,103.044727747751,120.629180177773,107.48511822299,112.717132759393,100,107.820481913677,122.410027238108,121.161602774002,114.050007006304,123.635590327842,140.002777814054
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,36.900101886058,39.597732634068,40.052197795733,39.873906108364,41.063991176483,41.532786850758,41.138904564063,41.854371184309,42.603674430436,44.259255125699,46.216152766188,48.443278091032,50.325715186714,52.581102179372,55.897403513646,55.800118979981,59.830175402764,66.32653657932,68.216495500419,70.345016985883,74.57914504283,75.378482066749,76.083640273968,77.429911527359,79.327363748346,80.61368147125,85.869809699778,86.681503626272,90.442944057088,88.000927008377,91.058232585325,94.906228385226,97.033837053764,100,100.647449279292,104.127676131413,105.608630669779,107.02787557478,107.989189466349,108.294678270186
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,9.134582482014,0.071827402633,-4.358167774166,3.618504252147,2.401932816333,-3.146545303483,2.338998727549,1.424397326029,3.343593652266,5.174007667321,4.465063368067,4.326287868498,1.663889070927,3.448628630329,-6.003998396416,9.290196647512,9.584145182256,1.210529003186,7.2456380398,3.722639859512,3.350938504854,-3.187988507786,-1.495367125227,7.850108581928,-11.705627135754,-1.752469267537,1.450301652586,5.349582185163,-1.810592336353,8.649861333923,-3.12819566056,4.517939594363,-2.514448595569,3.085725187868,6.746272829626,0.415771032179,-1.315759221018,3.448620779025,4.997301874133
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,8.906692847022,-2.92054528257,2.061770726778,1.285028479719,3.226311686697,-2.188160068443,0.93325807483,-5.141068086381,-2.96474788409,8.631527070574,1.142038077061,-7.284423273312,12.026715190198,0.859720353553,-1.7069620947,1.002908799776,-6.620388219928,-6.125111731788,-10.81714527833,34.790259260052,13.31845581996,-23.441480521114,35.59334096832,-16.90538070122,10.184766742275,5.689267935367,-6.999911041984,19.472924839863,-11.136577552101,11.726643277086,-34.070270063714,51.61714711647,-9.042853416445,3.89532328813,0.314787080731,-2.251212588264,-1.688550225004,1.277958623243,4.05109969388
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,10.664229615669,-0.520941826766,-8.115230744656,4.407035563631,3.422153506134,-5.111081912393,3.010067053277,1.731342934943,3.429708031507,5.549139693155,4.442259827431,5.681546027987,-1.523764333912,1.050056951721,-11.970580344887,12.315787565504,9.61008111319,0.005666246687,12.921088209968,-0.187534271871,5.036398071632,-5.80201378215,-7.348630168621,16.538659487273,-27.076401155343,-14.54731679424,3.397054192983,5.595571613805,0.904447793457,17.064873491702,-10.896254070046,4.867664122161,-11.282342309522,7.820481913677,13.531330101187,-1.019871077782,-5.869512786954,8.404719625321,13.238249150436
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,7.310632247954,1.147705010952,-0.445148324389,2.984621232956,1.141622284741,-0.948364693441,1.73914844799,1.790262820643,3.886004475896,4.42144278057,4.818932757364,3.88585820337,4.481579614498,6.307021338125,-0.174041239038,7.222307938499,10.858001222332,2.849476270842,3.120244553535,6.019087404296,1.071796979517,0.93549006014,1.769462197843,2.450541636376,1.621530909542,6.520144140052,0.945261121845,4.339380690756,-2.700063641415,3.474174285297,4.225862605334,2.241800885714,3.056833612169,0.647449279292,3.457839097804,1.422248717523,1.343872083182,0.898190201764,0.282888319976
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,9.134582482014,0.071827402633,-4.358167774166,3.618504252147,2.401932816333,-3.146545303483,2.338998727549,1.424397326029,3.343593652266,5.174007667321,4.465063368067,4.326287868498,1.663889070927,3.448628630329,-6.003998396416,9.290196647512,9.584145182256,1.210529003186,7.2456380398,3.722639859512,3.350938504854,-3.187988507786,-1.495367125227,7.850108581928,-11.705627135754,-1.752469267537,1.450301652586,5.349582185163,-1.810592336353,8.649861333923,-3.12819566056,4.517939594363,-2.514448595569,3.085725187868,6.746272829626,0.415771032179,-1.315759221018,3.448620779025,4.997301874133
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.425882304231,-0.139357145701,0.095437963874,0.063475884398,0.155779485292,-0.106503845212,0.045873752577,-0.249234980333,-0.134424739221,0.367472675002,0.050218699245,-0.310127784981,0.45504199626,0.035844006289,-0.069386700341,0.042631162737,-0.260076952199,-0.205039136874,-0.335860670326,0.898267911222,0.446876011372,-0.862391422303,1.035505543722,-0.677002595401,0.314245292864,0.219059762135,-0.289939904173,0.73939528881,-0.479550022289,0.456997978824,-1.365349123407,1.407816480381,-0.357779142938,0.143796928879,0.011711714364,-0.078710435625,-0.057469741249,0.043330963685,0.134475980713
