Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,411742.58499999996,442572.805,444623.143,434154.351,447494.321,456578.074,448836.66500000004,458544.086,465543.897,480047.163,501400.216,519830.748,535733.763,547798.5889999999,580628.683,563393.427,585546.212,603388.8260000001,623931.966,613825.6780000001,617345.854,605429.892,602163.463,613590.201,643859.491,648906.398,684557.368,705608.578,704314.03,688981.395,718148.55,746817.731,779730.434,781357.276,780785.3559999999,785745.9309999999,784930.108,776072.856,794018.6469999999,801505.7019999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,28341.787,30193.778,29498.905,29961.348,30278.454,31064.904,30610.828,30909.641,29812.883,29282.767,31304.483,31856.516,30382.121,30889.253,32260.701,32662.871,33691.007,34277.267,34226.796,35260.702,39024.894,38569.441,39119.219,39098.009,37761.426,34803.598,36684.161,37075.337,36824.357,37917.135,37213.107,37996.254,38985.281,40750.571,39480.522,41596.43,40491.676,41933.775,43507.044,42783.666
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,150506.8,164761.821,164811.417,154764.797,161753.876,168079.169,163635.123,170353.866,175885.638,183901.13,194946.996,203442.495,213588.684,216824.008,232665.73,218611.013,235531.682,241088.991,251695.801,234742.437,221761.629,208625.037,204359.903,211686.515,230022.363,230152.957,247922.098,258176.923,254258.264,249469.854,257279.004,269809.359,284936.904,284598.411,274393.358,265583.825,264150.502,242499.05800000002,250453.892,249951.13700000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,232893.998,247617.206,250312.821,249428.206,255461.991,257434.001,254590.714,257280.579,259845.376,266863.266,275148.737,284531.737,291762.958,300085.328,315702.252,312119.543,316323.523,328022.568,338009.369,343822.539,356559.331,358235.414,358684.341,362805.677,376075.702,383949.843,399951.109,410356.318,413231.409,401594.406,423656.439,439012.118,455808.249,456008.294,466911.4759999999,478565.6759999999,480287.93,491640.023,500057.7109999999,508770.8989999999
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.883375203952,6.822330170061,6.634586045378,6.901082053189,6.766220838811,6.803853660305,6.82003730689,6.740822080955,6.40388225302,6.099977097459,6.243412348271,6.128247727278,5.671123064909,5.638797474157,5.556167296682,5.7975243293,5.753774221325,5.680792471288,5.485661556888,5.744416251026,6.32139889612,6.370587496529,6.49644513553,6.372006745916,5.864855069753,5.363423462501,5.358814719528,5.254377307187,5.228400320238,5.503361233724,5.181811896717,5.087754671963,4.999840880906,5.215356950231,5.056514149069,5.293877875646,5.158634582533,5.403329684294,5.479347892443,5.337911619748
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,36.553615167107,37.228184637328,37.06766496408,35.647413562372,36.146576260126,36.812799074535,36.457610476185,37.151033281454,37.780677425571,38.308971320803,38.88051695614,39.136294992693,39.868438159273,39.580972341643,40.071346251422,38.802549430524,40.224268755068,39.955826261854,40.340263797287,38.242524777531,35.92178153674,34.458991826588,33.937612551561,34.499657043904,35.725552890856,35.467820583886,36.216409257902,36.589255155002,36.100127666064,36.208503714386,35.825318313321,36.127872679017,36.543001475302,36.423595164679,35.143251072962,33.800216395903,33.652741729204,31.246944938891,31.542570561318,31.185197606991
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,56.563009628941,55.949485192611,56.297748990542,57.45150438444,57.087202901062,56.38334726516,56.722352216925,56.108144637591,55.81544032141,55.591051581738,54.87607069559,54.73545728003,54.460438775818,54.7802301842,54.372486451897,55.399926240176,54.021957023607,54.363381266858,54.174074645824,56.013058971443,57.75681956714,59.170420676883,59.56594231291,59.12833621018,58.409592039391,59.168755953613,58.42477602257,58.156367537811,58.671472013698,58.288135051891,58.992869789962,58.784372649021,58.457157643792,58.361047885091,59.800234777969,60.905905728451,61.188623688264,63.349725376814,62.978081546239,63.476890773261
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,52.695815044794,56.641541404166,56.903948636168,55.564127235439,57.271408962985,58.433969711955,57.443205405052,58.685584697876,59.581437493391,61.437600665537,64.170416197673,66.529200401277,68.564506846673,70.108592551201,74.310267637413,72.104457756403,74.939624930299,77.22316596179,79.852326863083,78.558899603822,79.009420269352,77.484386540735,77.066341031935,78.528762686021,82.402699863001,83.048615266238,87.61131290726,90.30549783989,90.139818445871,88.177510616795,91.91039388235,95.579545227144,99.791792813612,100,99.926804290743,100.561670715152,100.45725970817,99.323687106742,101.620432981032,102.578644445873
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,69.549423000723,74.094122509351,72.388936586925,73.523750133464,74.301913462759,76.231825070623,75.117543751718,75.85081691248,73.159423950158,71.858544018929,76.81974075897,78.174403985652,74.556307444134,75.80078571169,79.166255118241,80.153161534841,82.676159310749,84.114813998557,83.990960519302,86.528117606009,95.765269154143,94.647608741482,95.996738303373,95.944689952933,92.664777629742,85.406405716376,90.021219579966,90.981147233495,90.365254023066,93.046880251077,91.319228385781,93.241034585749,95.668060700303,100,96.883359008638,102.075698522114,99.364683748849,102.90352741315,106.764256137662,104.989120275149
