Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,87934.56599999999,95449.57,95772.004,92941.08,96022.621,97940.726,95553.67799999999,97635.025,99038.93400000001,102418.83,107448.339,111614.691,115190.89,119713.936,127858.80099999999,119697.96100000001,126563.705,133911.571,142108.83899999998,147533.593,158132.945,160886.253,159571.75300000003,161636.497,169013.747,176907.681,185462.602,191217.075,193158.623,189365.458,196149.981,202893.85,214700.599,215788.237,223858.76799999998,230374.52599999995,242505.30599999998,252391.12399999998,261283.809,264440.67
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,5981.814,6402.885,6225.055,6316.392,6369.985,6532.189,6395.474,6434.796,6134.372,5964.412,6409.758,6494.716,6222.702,7441.517,7148.432,7093.227,7096.27,6857.875,6460.221,6721.486,7211.523,6813.076,6867.902,7195.134,8309.648,7820.443,8406.84,8746.538,7817.634,8200.144,8534.028,8701.738,8919.566,8695.222,9083.825,9147.755,9401.523,9235.684,9893.435,9986.279
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,20962.006,23794.388,23312.93,20361.656,21410.365,22270.528,20418.19,21283.623,21802.02,22883.841,24599.121,25456.49,26626.259,27230.778,30009.787,25419.577,28521.328,30720.466,34905.471,37877.618,40933.339,41570.504,38859.387,41180.89,42280.618,45805.503,50014.851,52509.467,51665.955,52441.103,52907.431,54251.873,58652.639,54505.899,58991.465000000004,59724.15700000001,64686.669,68778.004,69416.262,70245.40999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,60990.746,65252.297,66234.019,66263.032,68242.271,69138.009,68740.014,69916.606,71102.542,73570.577,76439.46,79663.485,82341.929,85041.641,90700.582,87185.157,90946.107,96333.23,100743.147,102934.489,109988.083,112502.673,113844.464,113260.473,118423.481,123281.735,127040.911,129961.07,133675.034,128724.211,134708.522,139940.239,147128.394,152587.116,155783.47799999997,161502.61399999994,168417.11399999997,174377.436,181974.11200000002,184208.981
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.802574086736,6.70813393921,6.499869210213,6.796125028889,6.633837874515,6.669532958128,6.693069418008,6.590663545178,6.193899461802,5.823550220209,5.965432373971,5.818871997773,5.402078237263,6.216082478484,5.590879895706,5.925938036655,5.606875999719,5.121196733627,4.54596705276,4.555902058184,4.560417818058,4.234716063653,4.303958483178,4.451429060604,4.916551551277,4.420635076891,4.532903080913,4.574140672322,4.047261198378,4.330327234231,4.350766671754,4.28881309118,4.154420640438,4.02951621501,4.057837484391,3.970818804853,3.876831874351,3.659274483836,3.786470749131,3.776377892251
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,23.838186680764,24.928753476836,24.342113588852,21.908133626164,22.297209529409,22.738781821977,21.368293117927,21.799167870342,22.0135850816,22.343392323462,22.893905321328,22.807472539614,23.114899971691,22.746539717815,23.471037398513,21.236432757614,22.535155714666,22.940859979904,24.56249114807,25.673893809392,25.885395987534,25.838443760636,24.352296862967,25.477469980063,25.016082271698,25.892320073994,26.967620674275,27.460657998246,26.747941250337,27.693066916143,26.972947297915,26.739042607748,27.31833971269,25.258976002478,26.352090439451,25.92480949912,26.674331406176,27.250563692565,26.567379840976,26.563769483718
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,69.359239232499,68.363112583954,69.158017200935,71.295741344947,71.068952596076,70.591685219895,71.938637464065,71.610168584481,71.792515456598,71.833057456329,71.140662304701,71.373655462613,71.483021791046,71.0373778037,70.938082705781,72.837629205731,71.857968285616,71.937943286469,70.89154179917,69.770204132424,69.554186194408,69.926840175711,71.343744653855,70.071100959334,70.067366177025,69.687044849115,68.499476244812,67.965201329432,69.204797551285,67.976605849627,68.676286030331,68.972144301072,68.527239646872,70.711507782512,69.590072076158,70.104371696027,69.448836719474,69.090161823599,69.646149409893,69.659852624031
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,40.750398271246,44.232981059111,44.382402549589,43.070503421371,44.498542800551,45.387425821547,44.281226506336,45.245758692583,45.896354396741,47.462656641474,49.793418072182,51.724177625122,53.38145007413,55.477507793903,59.251979059452,55.470104702695,58.651809180868,62.056937329721,65.855693051517,68.369617849003,73.281540828382,74.557471360221,73.948309332543,74.905147401524,78.323892604026,81.982078105583,85.946576411392,88.613298694312,89.513045606837,87.755227362092,90.899292624556,94.024518120513,99.495969745561,100,103.740023604716,106.759538519238,112.381151712176,116.962410698967,121.083434682308,122.546378651771
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,68.794264252253,73.636820313501,71.59167414012,72.642101604766,73.2584515956,75.123889878832,73.551589597137,74.003814968727,70.548768047555,68.594131351678,73.715863723778,74.692929059201,71.56461330142,85.581679225671,82.211034979901,81.576146071946,81.61114230321,78.869464172393,74.296216933852,77.30091307617,82.936617374462,78.354250184757,78.984780377085,82.748134550216,95.565679634172,89.939543809232,96.683442929922,100.590163195373,89.907238711099,94.306321333716,98.146177291391,100.074937707168,102.580083636738,100,104.469155589127,105.204386961023,108.122863338049,106.215620486745,113.780131203091,114.84789002512
