Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Total<C1>,52903.603,56625.33,57223.942,56881.98,58713.776,60179.363,59892.859000000004,61457.534,62688.035,64913.91099999999,68219.296,71392.919,74863.62,77488.535,80413.207,81493.113,80925.45000000001,83720.47200000001,90020.359,88345.985,87995.598,91169.187,98038.537,101406.31,105664.685,105661.441,112108.368,115935.139,126383.577,130512,144730.56,144876.886,148728.64,146858.788,156808.457,159905.359,157998.05599999998,157621.131,157631.239,151751.70800000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6540.295,7115.658,7027.326,7225.972,7384.305,7647.838,7617.173,7759.21,7611.266,7613.276,8092.061,8286.265,8211.272,8341.042,7623.532,8139.678,8554.473,7722.7,9414.239,8141.393,9106.846,9489.572,11506.008,11472.477,9741.376,8004.718,11223.698,9977.668,10386.295,10124.876,10694.795,8743.501,11078.216,12232.216,12144.73,11750.359,14000.055,13778.5,14197.386,12625.089
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,10937.297,12094.79,12150.163,11371.608,12005.892,12616.056,12299.17,13016.483,13686.818,14682.435,16121.794,17574.389,19820.039,20889.049,23262.914,21369.868,22941.647,24563.454,25893.54,25752.672,22348.055,24699.712,27461.302,29528.55,34109.688,33722.306,34367.017,37486.922,46416.419,51894.654,61465.586,60969.276,60051.351,55344.467,62796.369,63465.437,57153.29800000001,54651.572,52998.691000000006,48252.44
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,35426.011,37414.882,38046.453,38284.4,39323.579,39915.469,39976.516,40681.841,41389.951,42618.2,44005.441,45532.265,46832.309,48258.444,49526.761,51983.567,49429.33,51434.318,54712.58,54451.92,56540.697,56979.903,59071.227,60405.283,61813.621,63934.417,66517.653,68470.549,69580.863,68492.47,72570.179,75164.109,77599.073,79282.105,81867.358,84689.56300000001,86844.703,89191.059,90435.16199999998,90874.17900000003
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,12.362664599612,12.566210210166,12.280394803979,12.703446680302,12.576784364882,12.708406368476,12.717998651559,12.625319460426,12.141497177252,11.728265764175,11.861835982594,11.606564230831,10.96830743691,10.764227249876,9.480447658306,9.988179001089,10.57080683518,9.224386599254,10.457899862408,9.215351439004,10.34920633189,10.408749175311,11.736209405083,11.313375863889,9.219140718585,7.575817558649,10.011472114196,8.606250086093,8.218073302356,7.757812308447,7.389451819989,6.035124885277,7.448609763392,8.329236654193,7.744945797152,7.348320952771,8.860903326557,8.741530981655,9.006708372063,8.319569622241
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,20.674011560233,21.359328060428,21.232656429017,19.991582571493,20.448168756852,20.964090297865,20.535286184952,21.179637634013,21.833222240895,22.618318283118,23.632307785762,24.616431497919,26.474860553096,26.957599598444,28.92922054458,26.22291284909,28.349112670983,29.339841753401,28.764093242508,29.149793281494,25.396787462027,27.092170954645,28.010721947024,29.119045944971,32.281067226955,31.915432612735,30.655175535157,32.334391732605,36.726622320557,39.762362081648,42.468975453422,42.083508062149,40.376454057537,37.68549894338,40.046544811037,39.689374638157,36.173418488136,34.672744481195,33.621946599049,31.79696666083
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,66.963323840155,66.074461729406,66.486948767004,67.304970748205,66.975046878266,66.327503333659,66.746715163489,66.195042905561,66.025280581853,65.653415952707,64.505856231645,63.77700427125,62.556832009994,62.27817315168,61.590331797114,63.788908149821,61.080080493837,61.435771647346,60.778006895085,61.634855279501,64.254006206083,62.499079870044,60.253068647893,59.56757819114,58.49979205446,60.508749828615,59.333352350647,59.059358181302,55.055304377087,52.479825609906,50.141572726589,51.881367052575,52.174936179071,53.985264402427,52.208509391812,52.962304409072,54.965678185306,56.58572453715,57.371345028887,59.883463716929
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,36.023450636131,38.557672149657,38.965282758564,38.732431865092,39.979749798834,40.977706420946,40.782618334015,41.848046573829,42.685926973604,44.20158431377,46.45230764127,48.61331076762,50.976602094796,52.763975554531,54.755461416446,55.490797731492,55.104261108297,57.007464885248,61.297223152897,60.157097987218,59.918510290307,62.079490265166,66.757010823213,69.050215775988,71.949854985866,71.947646061195,76.337527720847,78.943276448666,86.05789188455,88.869043369744,98.550833743773,98.650470954452,101.273231262129,100,106.774990543978,108.883752329483,107.585019699332,107.328361582284,107.335244384558,103.331717540798
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,53.467785395549,58.171454787914,57.449328886933,59.073286475648,60.367679903625,62.522097386116,62.271406914332,63.432578365196,62.223116400168,62.2395484187,66.153679758435,67.741323403707,67.12824560979,68.189132696807,62.323392588882,66.542955094972,69.933959635768,63.134104237531,76.962661548815,66.556975449093,74.449682706715,77.578518888156,94.06315258004,93.789032175364,79.637050228675,65.439639064582,91.755230613979,81.568768896821,84.909349213585,82.772213963521,87.431377928578,71.479288789537,90.56589582787,100,99.284790262042,96.060754649853,114.452320004814,112.641078280501,116.065527292847,103.21178926206
